Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd
Helleborus viridis;Leipzig;Hel_vir_Lei;2019;323;37;51;72;NA;93;42;NA;NA;149;156;NA;NA
Helleborus viridis;Halle;Hel_vir_Hal;2019;NA;122;NA;NA;NA;NA;NA;156;156;254;338;100;345
Hemerocallis dumortieri;Leipzig;Hem_dum_Lei;2019;149;170;226;240;NA;254;28;268;NA;261;268;NA;NA
Hemerocallis fulva;Halle;Hem_ful_Hal;2019;NA;79;170;184;70;198;28;NA;NA;184;345;100;345
Hemerocallis fulva;Jena;Hem_ful_Jen;2019;17;332;156;177;50;198;42;NA;NA;205;317;95;317
Anemone hepatica;Jena;Ane_hep_Jen;2019;51;51;72;93;95;120;48;142;142;NA;NA;NA;NA
Anemone transsilvanica;Leipzig;Ane_tra_Lei;2019;16;100;149;156;NA;177;28;191;NA;226;283;NA;NA
Hibiscus moschatus;Jena;Hib_mos_Jen;2019;NA;156;198;261;75;267;69;338;353;288;353;100;353
Hibiscus moschatus;Halle;Hib_mos_Hal;2019;122;156;220;233;80;254;34;262;296;226;289;75;296
Hibiscus moschatus;Leipzig;Hib_mos_Lei;2019;65;100;247;268;NA;296;49;NA;NA;303;310;NA;NA
Homogyne sylvestris;Jena;Hom_syl_Jen;2019;93;93;128;135;100;156;28;NA;NA;296;353;75;353
Honckenya peploides;Halle;Hon_pep_Hal;2019;86;107;NA;NA;NA;NA;NA;NA;NA;198;296;100;296
Humulus lupulus;Halle;Hum_lup_Hal;2019;86;72;NA;NA;NA;NA;NA;NA;NA;220;289;75;296
Humulus lupulus;Jena;Hum_lup_Jen;2019;17;80;219;226;75;247;28;261;267;288;317;95;317
Humulus lupulus;Leipzig;Hum_lup_Lei;2019;NA;142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hyacinthoides non-scripta;Halle;Hya_non_Hal;2019;NA;79;122;135;100;135;13;184;198;156;184;100;198
Hydrocotyle vulgaris;Jena;Hyd_vul_Jen;2019;120;120;120;120;25;135;15;NA;NA;NA;NA;NA;NA
Hypericum olympicum;Leipzig;Hyp_oly_Lei;2019;65;93;149;163;NA;177;28;177;NA;219;303;NA;NA
Hypericum olympicum;Halle;Hyp_oly_Hal;2019;72;65;128;163;70;212;84;191;289;184;324;50;352
Hypericum perforatum;Halle;Hyp_per_Hal;2019;NA;45;163;177;95;317;154;198;282;205;220;5;282
Iberis sempervirens;Leipzig;Ibe_sem_Lei;2019;37;NA;86;107;NA;156;70;163;NA;247;NA;NA;NA
Iberis sempervirens;Halle;Ibe_sem_Hal;2019;23;45;72;100;100;149;77;156;296;205;275;50;352
Iberis sempervirens;Jena;Ibe_sem_Jen;2019;17;17;100;120;100;149;49;177;185;288;324;75;353
Iris pseudacorus;Jena;Iri_pse_Jen;2019;80;100;NA;NA;NA;NA;NA;NA;NA;288;296;95;296
Iris pseudacorus;Leipzig;Iri_pse_Lei;2019;65;107;142;149;NA;170;28;247;NA;268;283;NA;NA
Iris pseudacorus;Halle;Iri_pse_Hal;2019;2;79;156;156;100;156;0;275;296;184;310;100;310
Lamium album;Jena;Lam_alb_Jen;2019;37;45;115;226;75;353;238;192;205;192;346;50;353
Lamium album;Halle;Lam_alb_Hal;2019;65;45;107;114;90;275;168;156;205;156;247;95;345
Lamium galeobdolon;Halle;Lam_gal_Hal;2019;NA;79;114;114;80;317;203;NA;NA;177;240;10;330
Lathyrus vernus;Leipzig;Lat_ver_Lei;2019;58;NA;NA;107;NA;128;NA;149;NA;268;290;NA;NA
Lathyrus vernus;Halle;Lat_ver_Hal;2019;65;72;86;100;90;122;36;156;163;184;282;100;282
Lathyrus vernus;Jena;Lat_ver_Jen;2019;17;72;115;115;50;120;5;164;164;219;338;100;346
Lavandula angustifolia;Halle;Lav_ang_Hal;2019;23;45;177;177;95;198;21;220;268;184;282;100;282
Lavandula angustifolia;Jena;Lav_ang_Jen;2019;72;93;170;185;100;205;35;338;353;282;303;50;353
Lavandula angustifolia;Leipzig;Lav_ang_Lei;2019;37;93;NA;163;NA;205;NA;212;NA;254;290;NA;NA
Leonurus cardiaca;Jena;Leo_car_Jen;2019;17;65;164;164;50;205;41;240;296;233;310;50;317
Leonurus cardiaca;Leipzig;Leo_car_Lei;2019;44;79;NA;163;NA;191;NA;191;NA;296;317;NA;NA
Leonurus cardiaca;Halle;Leo_car_Hal;2019;45;72;163;170;90;212;49;212;282;198;282;25;317
Leucojum aestivum;Halle;Leu_aes_Hal;2019;NA;79;122;122;5;128;6;NA;NA;156;156;10;163
Leucojum vernum;Halle;Leu_ver_Hal;2019;NA;114;51;65;100;72;21;NA;NA;122;156;100;163
Leucojum vernum;Jena;Leu_ver_Jen;2019;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Leucojum vernum;Leipzig;Leu_ver_Lei;2019;NA;58;NA;51;NA;79;NA;NA;NA;120;128;NA;NA
Linum perenne;Jena;Lin_per_Jen;2019;17;17;128;128;95;296;168;185;353;177;303;75;353
Linum usitatissimum;Leipzig;Lin_usi_Lei;2019;120;135;NA;NA;NA;177;NA;177;NA;184;191;NA;NA
Lotus maritimus;Jena;Lot_mar_Jen;2019;17;17;149;156;75;205;56;NA;NA;317;338;50;353
Lunaria rediviva;Halle;Lun_red_Hal;2019;NA;79;128;128;5;135;7;NA;NA;177;268;95;352
Lupinus polyphyllus;Halle;Lup_pol_Hal;2019;NA;79;149;156;90;163;14;184;226;184;233;100;345
Lupinus polyphyllus;Leipzig;Lup_pol_Lei;2019;51;86;NA;149;NA;170;NA;177;NA;212;317;NA;NA
Lysichiton americanus;Jena;Lys_ame_Jen;2019;115;115;NA;NA;NA;NA;NA;NA;NA;219;219;10;219
Lysichiton americanus;Leipzig;Lys_ame_Lei;2019;51;100;NA;NA;NA;NA;NA;NA;NA;240;310;NA;NA
Lysichiton camtschatcensis;Halle;Lys_cam_Hal;2019;86;122;100;114;70;114;14;NA;NA;198;275;100;282
Lysichiton camtschatcensis;Jena;Lys_cam_Jen;2019;NA;212;NA;NA;NA;NA;NA;NA;NA;288;324;95;332
Papaver grande;Halle;Pap_gra_Hal;2019;93;79;100;NA;NA;100;0;NA;NA;268;324;95;324
Mentha longifolia;Halle;Men_lon_Hal;2019;86;107;184;205;95;282;98;317;317;262;324;100;324
