Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd
Securigera varia;Jena;Sec_var_Jen;2019;30;17;170;212;80;233;63;288;296;282;353;95;353
Phedimus spurius;Halle;Phe_spu_Hal;2019;23;65;177;184;30;205;28;220;262;198;330;95;352
Phedimus stoloniferus;Leipzig;Phe_sto_Lei;2019;NA;93;NA;184;NA;NA;NA;205;NA;268;310;NA;NA
Sempervivum tectorum;Jena;Sem_tec_Jen;2019;115;120;164;177;100;177;13;212;212;296;353;75;353
Senecio nemorensis;Halle;Sen_nem_Hal;2019;93;100;212;233;90;268;56;233;330;226;330;100;330
Senecio nemorensis;Jena;Sen_nem_Jen;2019;93;93;212;212;75;219;7;226;296;254;324;100;332
Silene coronaria;Leipzig;Sil_cor_Lei;2019;37;93;156;170;NA;191;35;198;NA;205;247;NA;NA
Silene coronaria;Halle;Sil_cor_Hal;2019;45;72;170;170;50;191;21;212;268;191;296;75;303
Silene coronaria;Jena;Sil_cor_Jen;2019;45;72;NA;NA;NA;NA;NA;NA;NA;317;317;5;353
Silene dioica;Halle;Sil_dio_Hal;2019;NA;79;107;135;90;289;182;177;296;177;247;95;352
Silene nutans;Leipzig;Sil_nut_Lei;2019;72;93;142;NA;NA;156;14;170;NA;226;338;NA;NA
Heliosperma pusillum;Leipzig;Hel_pus_Lei;2019;44;86;NA;156;NA;170;NA;177;NA;275;NA;NA;NA
Viscaria vulgaris;Halle;Vis_vul_Hal;2019;NA;79;86;114;90;128;42;156;198;163;247;50;345
Silene vulgaris;Halle;Sil_vul_Hal;2019;45;58;156;163;40;303;147;170;268;177;330;100;345
Silene vulgaris;Jena;Sil_vul_Jen;2019;65;72;156;164;50;240;84;226;282;282;353;100;353
Silene vulgaris;Leipzig;Sil_vul_Lei;2019;72;100;NA;156;NA;170;NA;177;NA;219;310;NA;NA
Silphium integrifolium;Halle;Sil_int_Hal;2019;NA;79;191;220;95;282;91;275;289;268;296;100;296
Silphium integrifolium;Jena;Sil_int_Jen;2019;65;72;219;226;100;247;28;NA;NA;NA;NA;NA;NA
Solanum dulcamara;Halle;Sol_dul_Hal;2019;93;100;128;163;90;233;105;184;310;184;324;100;324
Solidago canadensis;Jena;Sol_can_Jen;2019;17;37;198;233;75;254;56;261;296;261;317;95;317
Solidago virgaurea;Jena;Sol_vir_Jen;2019;80;86;142;149;95;219;77;177;192;282;346;95;353
Solidago virgaurea;Halle;Sol_vir_Hal;2019;NA;79;247;268;95;303;56;289;324;296;338;100;338
Tanacetum vulgare;Leipzig;Tan_vul_Lei;2019;44;93;184;198;NA;219;35;212;NA;226;240;NA;NA
Tanacetum vulgare;Jena;Tan_vul_Jen;2019;17;17;198;212;50;240;42;205;205;205;247;95;346
Tanacetum vulgare;Halle;Tan_vul_Hal;2019;65;65;191;198;100;205;14;220;268;170;268;95;289
Thalictrum minus;Leipzig;Tha_min_Lei;2019;79;107;NA;156;NA;184;NA;184;NA;247;268;NA;NA
Thalictrum minus;Jena;Tha_min_Jen;2019;93;100;164;164;25;177;13;192;296;247;303;100;296
Thymus serpyllum;Halle;Thy_ser_Hal;2019;58;58;177;177;100;324;147;NA;NA;275;282;5;352
Thymus serpyllum;Jena;Thy_ser_Jen;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trapa natans;Leipzig;Tra_nat_Lei;2019;120;135;NA;NA;NA;NA;NA;NA;NA;156;184;NA;NA
Trapa natans;Jena;Tra_nat_Jen;2019;NA;192;NA;NA;NA;NA;NA;NA;NA;212;212;5;212
Trapa natans;Halle;Tra_nat_Hal;2019;142;149;184;212;50;247;63;NA;NA;220;282;100;282
Trillium sessile;Jena;Tri_ses_Jen;2019;45;72;100;115;100;142;42;NA;NA;177;185;100;240
Trillium sessile;Leipzig;Tri_ses_Lei;2019;51;72;NA;100;NA;128;NA;184;NA;156;191;NA;NA
Trollius europaeus;Leipzig;Tro_eur_Lei;2019;58;93;NA;135;NA;163;NA;177;NA;184;219;NA;NA
Trollius europaeus;Halle;Tro_eur_Hal;2019;72;72;114;135;50;135;21;NA;NA;191;324;100;324
Trollius europaeus;Jena;Tro_eur_Jen;2019;65;86;142;142;75;156;14;185;185;212;338;100;346
Tulipa saxatilis;Halle;Tul_sax_Hal;2019;NA;65;107;114;70;114;7;NA;NA;122;156;100;163
Tulipa sylvestris;Jena;Tul_syl_Jen;2019;17;NA;93;100;95;107;14;177;212;115;149;100;267
Tulipa sylvestris;Halle;Tul_syl_Hal;2019;2;65;100;100;100;107;7;177;282;122;163;100;220
Tussilago farfara;Halle;Tus_far_Hal;2019;93;122;86;86;100;114;28;122;128;114;317;95;324
Tussilago farfara;Leipzig;Tus_far_Lei;2019;NA;93;NA;72;NA;107;NA;120;NA;226;296;NA;NA
Urtica dioica;Jena;Urt_dio_Jen;2019;51;51;156;164;50;233;77;226;296;254;353;95;353
Urtica dioica;Leipzig;Urt_dio_Lei;2019;16;79;135;149;NA;191;56;191;NA;226;NA;NA;NA
Vaccinium myrtillus;Jena;Vac_myr_Jen;2019;93;93;135;135;50;142;7;219;240;219;219;50;353
Vaccinium myrtillus;Leipzig;Vac_myr_Lei;2019;16;100;NA;NA;NA;NA;NA;NA;NA;296;163;NA;NA
Vaccinium oxycoccos;Leipzig;Vac_oxy_Lei;2019;16;93;NA;156;NA;191;NA;198;NA;283;NA;NA;NA
Vaccinium oxycoccos;Jena;Vac_oxy_Jen;2019;128;128;128;142;75;170;42;45;353;296;310;25;353
Vaccinium uliginosum;Halle;Vac_uli_Hal;2019;72;72;114;114;100;135;21;NA;NA;191;345;100;345
Veratrum album;Halle;Ver_alb_Hal;2019;79;86;163;191;80;220;57;NA;NA;184;254;100;254
Veratrum album;Jena;Ver_alb_Jen;2019;65;NA;170;177;75;233;63;254;261;212;303;100;317
Veratrum nigrum;Jena;Ver_nig_Jen;2019;65;NA;212;219;75;226;14;205;288;212;310;100;317
Veratrum nigrum;Halle;Ver_nig_Hal;2019;45;72;205;220;40;220;15;NA;NA;184;296;100;296
Veratrum nigrum;Leipzig;Ver_nig_Lei;2019;51;100;NA;NA;NA;NA;NA;NA;NA;247;283;NA;NA
Vinca minor;Jena;Vin_min_Jen;2019;45;45;51;93;95;120;69;NA;NA;324;324;5;332
Vinca minor;Halle;Vin_min_Hal;2019;51;79;93;NA;NA;93;0;NA;NA;310;345;25;352
Vinca minor;Leipzig;Vin_min_Lei;2019;37;NA;93;107;NA;142;49;NA;NA;317;NA;NA;NA
Vincetoxicum hirundinaria;Leipzig;Vin_hir_Lei;2019;93;107;128;142;NA;191;63;212;NA;268;283;NA;NA
Vincetoxicum hirundinaria;Jena;Vin_hir_Jen;2019;100;100;142;149;75;226;84;240;240;247;303;95;296
Vincetoxicum hirundinaria;Halle;Vin_hir_Hal;2019;100;114;135;205;95;247;112;233;289;262;296;100;296
Viola odorata;Halle;Vio_odo_Hal;2019;170;107;79;79;100;338;259;128;212;184;345;75;352
Salvia pratensis;Jena;Sal_pra_Jen;2019;NA;NA;149;NA;NA;163;14;NA;NA;178;NA;NA;219
Geum urbanum;Jena;Geu_urb_Jen;2019;NA;NA;149;NA;NA;178;29;191;226;205;NA;NA;226
Achillea millefolium;Halle;Ach_mil_Hal;2020;15;7;162;182;100;239;77;239;302;189;302;50;350
Achillea millefolium;Jena;Ach_mil_Jen;2020;38;38;189;267;80;309;120;246;323;260;317;100;323
Aconitum lycoctonum;Halle;Aco_lyc_Hal;2020;64;72;141;168;75;210;69;189;302;196;337;100;337
Aconitum lycoctonum;Jena;Aco_lyc_Jen;2020;NA;NA;NA;NA;NA;NA;NA;317;317;317;317;100;323
Acorus calamus;Halle;Aco_cal_Hal;2020;15;127;155;155;50;155;0;225;287;7;337;100;337
Acorus calamus;Jena;Aco_cal_Jen;2020;106;134;169;169;50;182;13;232;296;182;281;100;337
Acorus calamus;Leipzig;Aco_cal_Lei;2020;71;NA;NA;148;NA;169;NA;NA;NA;NA;NA;NA;NA
Actaea spicata;Jena;Act_spi_Jen;2020;57;64;NA;NA;NA;NA;NA;218;239;218;239;100;337
Adonis amurensis;Leipzig;Ado_amu_Lei;2020;NA;58;NA;NA;NA;65;NA;120;NA;120;134;NA;NA
Adonis vernalis;Jena;Ado_ver_Jen;2020;15;15;106;114;75;127;21;NA;NA;189;239;100;344
Adonis vernalis;Halle;Ado_ver_Hal;2020;64;78;78;98;95;119;41;162;176;182;282;100;282
Aegopodium podagraria;Halle;Aeg_pod_Hal;2020;49;56;155;162;95;176;21;210;225;232;239;10;315
Aegopodium podagraria;Jena;Aeg_pod_Jen;2020;57;57;169;169;50;182;13;218;351;218;351;100;351
Aegopodium podagraria;Leipzig;Aeg_pod_Lei;2020;65;99;NA;NA;NA;NA;NA;NA;NA;225;239;NA;NA
Agrimonia eupatoria;Jena;Agr_eup_Jen;2020;38;57;148;189;80;196;48;NA;NA;274;323;90;344
Alchemilla vulgaris;Leipzig;Alc_vul_Lei;2020;65;99;NA;134;NA;183;NA;190;NA;225;NA;NA;NA
Alchemilla xanthochlora;Jena;Alc_xan_Jen;2020;15;71;141;148;90;162;21;204;204;225;344;90;344
Alchemilla xanthochlora;Halle;Alc_xan_Hal;2020;15;30;106;155;75;302;196;189;302;182;350;99;350
Allium schoenoprasum;Halle;All_sch_Hal;2020;15;43;127;141;95;294;167;182;330;119;330;75;343
Allium ursinum;Halle;All_urs_Hal;2020;35;49;106;119;100;148;42;162;162;106;162;100;162
Allium ursinum;Jena;All_urs_Jen;2020;30;57;114;127;100;134;20;169;169;120;189;100;189
Allium ursinum;Leipzig;All_urs_Lei;2020;NA;78;NA;113;NA;141;NA;NA;NA;155;NA;NA;NA
Allium victorialis;Halle;All_vic_Hal;2020;78;106;133;155;75;162;29;189;239;196;287;100;287
Allium victorialis;Jena;All_vic_Jen;2020;57;92;148;155;75;155;7;189;296;204;296;100;351
Althaea officinalis;Halle;Alt_off_Hal;2020;78;98;196;218;75;287;91;253;302;204;302;20;302
Althaea officinalis;Jena;Alt_off_Jen;2020;64;120;196;218;80;225;29;232;323;225;302;100;344
Amorpha canescens;Halle;Amo_can_Hal;2020;119;127;189;196;75;210;21;210;287;204;287;80;287
Anemone nemorosa;Jena;Ane_nem_Jen;2020;85;85;92;99;100;120;28;NA;NA;155;239;100;344
Anemone nemorosa;Leipzig;Ane_nem_Lei;2020;NA;71;NA;113;NA;141;NA;NA;NA;155;NA;NA;NA
Anemone nemorosa;Halle;Ane_nem_Hal;2020;49;56;72;98;100;119;47;168;204;148;218;100;218
Pulsatilla vulgaris;Leipzig;Pul_vul_Lei;2020;71;NA;98;113;NA;127;29;134;NA;225;253;NA;NA
Pulsatilla vulgaris;Halle;Pul_vul_Hal;2020;30;78;78;85;75;98;20;119;148;7;7;95;350
Pulsatilla vulgaris;Jena;Pul_vul_Jen;2020;15;92;79;92;70;182;103;141;225;148;323;90;323
Anemone hupehensis;Leipzig;Ane_hup_Lei;2020;NA;113;183;204;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anemone hupehensis;Halle;Ane_hup_Hal;2020;72;85;189;218;95;232;43;282;315;246;294;15;315
Anemone sylvestris;Halle;Ane_syl_Hal;2020;35;78;119;119;100;302;183;162;343;189;350;99;350
Anemone sylvestris;Leipzig;Ane_syl_Lei;2020;NA;106;NA;127;NA;141;NA;NA;NA;225;NA;NA;NA
Anemone sylvestris;Jena;Ane_syl_Jen;2020;64;64;120;127;95;134;14;189;189;155;323;100;344
Anemone transsilvanica;Halle;Ane_tra_Hal;2020;64;98;72;85;75;106;34;NA;NA;232;330;30;330
Angelica archangelica;Jena;Ang_arc_Jen;2020;44;71;182;182;25;211;29;218;323;10;10;100;358
Angelica archangelica;Halle;Ang_arc_Hal;2020;15;49;133;133;25;133;0;168;225;119;246;100;246
Antennaria dioica;Jena;Ant_dio_Jen;2020;15;15;106;120;50;134;28;162;162;2;2;25;2
Anthericum ramosum;Leipzig;Ant_ram_Lei;2020;85;113;NA;169;NA;NA;NA;NA;NA;274;NA;NA;NA
Aquilegia chrysantha;Leipzig;Aqu_chr_Lei;2020;NA;113;120;127;NA;NA;NA;176;NA;232;260;NA;NA
Aquilegia vulgaris;Jena;Aqu_vul_Jen;2020;10;57;120;141;75;162;42;189;358;2;2;100;358
Aquilegia vulgaris;Halle;Aqu_vul_Hal;2020;43;56;119;133;95;162;43;168;210;182;343;100;343
Arctostaphylos uva-ursi;Jena;Arc_uva_Jen;2020;NA;148;120;120;5;120;0;NA;NA;2;127;80;344
Armoracia rusticana;Jena;Arm_rus_Jen;2020;15;71;162;162;25;162;0;NA;NA;176;302;90;309
Armoracia rusticana;Halle;Arm_rus_Hal;2020;64;85;NA;NA;NA;NA;NA;NA;NA;168;323;100;323
Arnica chamissonis;Jena;Arn_cha_Jen;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Arnica longifolia;Leipzig;Arn_lon_Lei;2020;71;106;141;155;NA;225;84;169;NA;245;274;NA;NA
Arnica longifolia;Jena;Arn_lon_Jen;2020;57;71;79;189;90;225;146;189;274;239;323;100;358
Artemisia absinthium;Jena;Art_abs_Jen;2020;148;148;211;232;70;246;35;351;351;2;2;100;358
Artemisia absinthium;Halle;Art_abs_Hal;2020;15;7;210;225;75;225;15;253;337;182;350;99;350
Arum italicum;Halle;Aru_ita_Hal;2020;7;7;148;148;5;148;0;NA;NA;168;218;100;218
Arum italicum;Jena;Aru_ita_Jen;2020;57;57;NA;NA;NA;NA;NA;NA;NA;114;120;90;120
Arum maculatum;Leipzig;Aru_mac_Lei;2020;NA;58;NA;NA;NA;NA;NA;NA;NA;141;148;NA;NA
Arum maculatum;Jena;Aru_mac_Jen;2020;44;57;141;141;10;141;0;NA;NA;114;120;50;120
Arum maculatum;Halle;Aru_mac_Hal;2020;7;35;119;119;50;133;14;196;210;141;162;100;162
Asarum canadense;Leipzig;Asa_can_Lei;2020;85;113;NA;141;NA;162;NA;169;NA;58;260;NA;NA
Asarum europaeum;Jena;Asa_eur_Jen;2020;NA;358;NA;NA;NA;NA;NA;NA;NA;323;351;30;351
Asarum europaeum;Leipzig;Asa_eur_Lei;2020;92;120;NA;134;NA;148;NA;NA;NA;225;NA;NA;NA
Asarum europaeum;Halle;Asa_eur_Hal;2020;49;98;98;106;95;141;43;155;182;148;148;5;330
Asphodelus albus;Jena;Asp_alb_Jen;2020;30;79;120;134;50;155;35;189;317;2;246;100;337
Asphodelus albus;Halle;Asp_alb_Hal;2020;56;72;127;133;50;141;14;189;210;155;218;100;218
Atropa belladonna;Halle;Atr_bel_Hal;2020;72;92;148;162;75;189;41;196;273;196;287;75;287
Aurinia saxatilis;Halle;Aur_sax_Hal;2020;30;7;92;106;95;162;70;155;182;7;7;95;350
Bergenia purpurascens;Jena;Ber_pur_Jen;2020;57;30;79;79;5;85;6;106;106;2;330;100;358
Bergenia purpurascens;Leipzig;Ber_pur_Lei;2020;NA;NA;78;92;NA;106;28;NA;NA;225;58;NA;NA
Stachys officinalis;Jena;Sta_off_Jen;2020;NA;NA;NA;NA;NA;NA;NA;323;358;317;317;100;358
Bistorta officinalis;Halle;Bis_off_Hal;2020;56;64;119;133;95;210;91;NA;NA;182;350;100;350
Bistorta officinalis;Jena;Bis_off_Jen;2020;10;30;127;141;95;260;133;155;274;134;302;100;323
Brunnera macrophylla;Halle;Bru_mac_Hal;2020;64;72;72;106;95;350;278;NA;NA;7;7;95;350
Brunnera macrophylla;Jena;Bru_mac_Jen;2020;30;57;120;127;50;148;28;NA;NA;2;2;100;358
Bunias orientalis;Halle;Bun_ori_Hal;2020;30;35;119;133;95;182;63;204;218;176;343;90;350
Bunias orientalis;Leipzig;Bun_ori_Lei;2020;NA;99;NA;155;NA;169;NA;169;NA;225;NA;NA;NA
Bunias orientalis;Jena;Bun_ori_Jen;2020;15;38;127;134;95;176;49;204;323;2;2;75;358
Cakile maritima;Halle;Cak_mar_Hal;2020;35;30;141;168;95;330;189;204;330;196;343;100;343
Calla palustris;Halle;Cal_pal_Hal;2020;30;98;148;162;50;210;62;196;302;141;310;100;310
Calla palustris;Jena;Cal_pal_Jen;2020;99;114;169;169;25;225;56;253;288;148;337;100;337
Caltha palustris;Leipzig;Cal_pal_Lei;2020;58;113;99;NA;NA;134;35;155;NA;232;245;NA;NA
Caltha palustris;Halle;Cal_pal_Hal;2020;30;78;98;113;95;141;43;155;210;162;323;100;337
Camassia cusickii;Jena;Cam_cus_Jen;2020;23;52;NA;NA;NA;NA;NA;NA;NA;162;211;100;232
Camassia cusickii;Halle;Cam_cus_Hal;2020;43;56;113;119;25;127;14;182;204;133;204;100;204
Campanula rotundifolia;Halle;Cam_rot_Hal;2020;35;64;189;225;75;239;50;218;253;189;246;90;253
Campanula rotundifolia;Jena;Cam_rot_Jen;2020;NA;99;141;162;90;253;112;204;302;169;260;100;358
Campanula rotundifolia;Leipzig;Cam_rot_Lei;2020;NA;127;NA;176;NA;197;NA;NA;NA;211;218;NA;NA
Carex sylvatica;Halle;Car_syl_Hal;2020;64;7;113;127;95;155;42;218;294;7;343;80;350
Centaurea jacea;Jena;Cen_jac_Jen;2020;71;44;182;189;50;323;141;211;358;211;211;25;358
Centaurea scabiosa;Jena;Cen_sca_Jen;2020;57;71;155;169;50;296;141;196;296;211;358;30;358
Centranthus ruber;Jena;Cen_rub_Jen;2020;57;10;134;162;50;196;62;NA;NA;2;2;50;358
Centranthus ruber;Halle;Cen_rub_Hal;2020;15;7;148;162;100;287;139;189;287;210;260;15;287
Chelidonium majus;Halle;Che_maj_Hal;2020;15;7;7;119;95;189;182;155;176;155;182;95;350
Chelidonium majus;Jena;Che_maj_Jen;2020;10;44;106;114;50;281;175;155;317;2;218;60;358
Clematis integrifolia;Halle;Cle_int_Hal;2020;56;92;141;155;95;260;119;182;287;225;287;10;287
Clematis recta;Halle;Cle_rec_Hal;2020;98;113;155;182;95;253;98;218;287;218;287;10;287
Clematis recta;Jena;Cle_rec_Jen;2020;30;99;155;169;90;182;27;232;323;288;323;90;323
Clematis stans;Leipzig;Cle_sta_Lei;2020;58;113;266;274;NA;NA;NA;NA;NA;NA;NA;NA;NA
Colchicum autumnale;Jena;Col_aut_Jen;2020;2;44;239;253;100;267;28;NA;NA;120;189;100;189
Colchicum autumnale;Halle;Col_aut_Hal;2020;7;49;239;253;100;260;21;NA;NA;141;168;100;168
Colchicum autumnale;Leipzig;Col_aut_Lei;2020;NA;85;NA;NA;NA;NA;NA;NA;NA;141;169;NA;NA
Comarum palustre;Halle;Com_pal_Hal;2020;30;98;133;162;25;162;29;189;273;168;337;100;337
Comarum palustre;Jena;Com_pal_Jen;2020;99;106;141;148;25;176;35;189;317;182;317;100;337
Conium maculatum;Halle;Con_mac_Hal;2020;15;7;155;162;75;168;13;182;218;7;218;100;218
Conium maculatum;Jena;Con_mac_Jen;2020;15;15;189;189;50;260;71;218;288;169;358;80;337
Convallaria majalis;Halle;Con_maj_Hal;2020;78;98;113;119;95;133;20;273;350;246;323;100;337
Convallaria majalis;Jena;Con_maj_Jen;2020;64;114;127;141;50;155;28;246;288;176;330;100;330
Convallaria majalis;Leipzig;Con_maj_Lei;2020;92;120;NA;134;NA;155;NA;176;NA;232;260;NA;NA
Corydalis solida;Halle;Cor_sol_Hal;2020;92;98;98;106;75;113;15;NA;NA;141;148;100;155
Crocus speciosus;Jena;Cro_spe_Jen;2020;10;23;44;296;50;302;258;NA;NA;148;162;100;351
Crocus speciosus;Halle;Cro_spe_Hal;2020;7;7;273;273;20;294;21;NA;NA;113;148;100;155
Crocus vernus;Leipzig;Cro_ver_Lei;2020;NA;58;NA;71;NA;85;NA;NA;NA;NA;113;NA;NA
Cyclamen coum;Leipzig;Cyc_cou_Lei;2020;58;106;NA;NA;NA;274;NA;NA;NA;NA;113;NA;NA
Cyclamen coum;Jena;Cyc_cou_Jen;2020;274;10;15;57;100;358;343;120;162;92;155;100;155
Cyclamen hederifolium;Leipzig;Cyc_hed_Lei;2020;NA;58;NA;NA;NA;NA;NA;127;NA;120;127;NA;NA
Dactylis glomerata;Halle;Dac_glo_Hal;2020;15;7;148;162;100;182;34;189;302;7;343;90;343
Dactylorhiza majalis;Jena;Dac_maj_Jen;2020;NA;99;162;162;15;162;0;225;260;169;260;100;337
Daphne laureola;Halle;Dap_lau_Hal;2020;30;30;30;35;100;113;83;155;239;7;7;5;337
Dianthus deltoides;Halle;Dia_del_Hal;2020;15;15;113;182;95;204;91;189;225;7;7;95;350
Dianthus superbus;Jena;Dia_sup_Jen;2020;71;79;232;288;70;296;64;NA;NA;2;2;95;351
Dianthus superbus;Leipzig;Dia_sup_Lei;2020;65;106;NA;NA;NA;176;NA;183;NA;58;NA;NA;NA
Dictamnus albus;Jena;Dic_alb_Jen;2020;99;120;148;155;50;162;14;127;358;2;2;100;358
Dictamnus albus;Halle;Dic_alb_Hal;2020;72;113;148;155;95;162;14;189;218;225;330;100;330
Dictamnus albus;Leipzig;Dic_alb_Lei;2020;78;NA;141;155;NA;176;35;211;NA;239;274;NA;NA
Doronicum pardalianches;Halle;Dor_par_Hal;2020;15;7;119;133;100;176;57;176;182;189;273;90;294
Dryas octopetala;Halle;Dry_oct_Hal;2020;15;30;113;119;95;239;126;148;350;246;343;99;350
Dryas octopetala;Jena;Dry_oct_Jen;2020;64;15;120;127;50;148;28;162;281;2;337;100;358
Dryas octopetala;Leipzig;Dry_oct_Lei;2020;NA;113;NA;58;NA;78;NA;162;NA;99;106;NA;NA
Epilobium angustifolium;Halle;Epi_ang_Hal;2020;98;106;168;182;75;232;64;189;232;189;239;100;239
Epilobium angustifolium;Jena;Epi_ang_Jen;2020;71;71;169;189;80;260;91;218;323;189;309;100;323
Eranthis hyemalis;Halle;Era_hye_Hal;2020;78;35;15;43;100;56;41;NA;NA;113;113;25;119
Eranthis hyemalis;Leipzig;Era_hye_Lei;2020;58;71;NA;58;NA;65;NA;NA;NA;106;113;NA;NA
Eranthis hyemalis;Jena;Era_hye_Jen;2020;10;44;44;57;100;52;8;114;120;114;134;100;141
Erica tetralix;Jena;Eri_tet_Jen;2020;337;344;182;189;50;274;92;260;358;323;323;20;344
Eryngium campestre;Halle;Ery_cam_Hal;2020;43;56;196;225;95;232;36;239;282;210;282;100;282
Eryngium campestre;Leipzig;Ery_cam_Lei;2020;58;99;197;211;NA;NA;NA;239;NA;274;NA;NA;NA
Eryngium maritimum;Halle;Ery_mar_Hal;2020;92;106;168;204;40;239;71;253;330;210;330;99;350
Eupatorium cannabinum;Halle;Eup_can_Hal;2020;98;113;182;196;75;225;43;239;315;239;310;50;315
Eupatorium cannabinum;Leipzig;Eup_can_Lei;2020;113;134;190;204;NA;NA;NA;218;NA;266;NA;NA;NA
Eupatorium cannabinum;Jena;Eup_can_Jen;2020;44;120;182;225;100;232;50;239;309;189;317;100;317
Filipendula vulgaris;Leipzig;Fil_vul_Lei;2020;58;99;NA;155;NA;176;NA;NA;NA;225;239;NA;NA
Fragaria vesca;Leipzig;Fra_ves_Lei;2020;71;99;NA;127;NA;155;NA;155;NA;260;58;NA;NA
Fragaria vesca;Jena;Fra_ves_Jen;2020;57;64;127;141;50;155;28;NA;NA;2;2;75;358
Fragaria vesca;Halle;Fra_ves_Hal;2020;7;15;78;98;75;189;111;204;210;7;350;60;350
Fuchsia magellanica;Halle;Fuc_mag_Hal;2020;113;119;182;225;95;330;148;NA;NA;282;310;2;330
Galanthus ikariae;Halle;Gal_ika_Hal;2020;7;21;35;43;100;56;21;NA;NA;119;148;100;155
Galanthus nivalis;Jena;Gal_niv_Jen;2020;358;NA;38;38;95;64;26;141;141;106;148;100;148
Galanthus nivalis;Leipzig;Gal_niv_Lei;2020;NA;NA;58;NA;NA;78;20;NA;NA;113;120;NA;NA
Galanthus nivalis;Halle;Gal_niv_Hal;2020;7;7;30;43;75;64;34;NA;NA;127;155;100;155
Galanthus plicatus;Halle;Gal_pli_Hal;2020;7;35;49;64;100;78;29;NA;NA;127;155;100;155
Galega officinalis;Jena;Gal_off_Jen;2020;15;30;169;182;90;260;91;2;323;2;2;100;323
Galega officinalis;Halle;Gal_off_Hal;2020;30;30;168;182;95;253;85;218;287;204;287;75;310
Galium mollugo;Jena;Gal_mol_Jen;2020;NA;317;NA;NA;NA;NA;NA;NA;NA;317;344;90;358
Galium mollugo;Leipzig;Gal_mol_Lei;2020;65;99;155;169;NA;183;28;169;NA;NA;NA;NA;NA
Galium odoratum;Jena;Gal_odo_Jen;2020;52;57;141;141;5;141;0;NA;NA;344;344;40;344
Galium odoratum;Halle;Gal_odo_Hal;2020;30;56;113;119;50;162;49;225;225;7;43;100;350
Gaultheria shallon;Jena;Gau_sha_Jen;2020;64;127;148;155;50;189;41;204;211;2;2;25;330
Gaultheria shallon;Leipzig;Gau_sha_Lei;2020;65;148;NA;162;NA;190;NA;204;NA;58;NA;NA;NA
Genista tinctoria;Leipzig;Gen_tin_Lei;2020;65;99;NA;176;NA;197;NA;218;NA;232;239;NA;NA
Genista tinctoria;Halle;Gen_tin_Hal;2020;30;72;168;182;100;196;28;225;273;7;7;75;350
Genista tinctoria;Jena;Gen_tin_Jen;2020;57;85;169;176;30;182;13;225;253;2;2;25;2
Gentiana cruciata;Jena;Gen_cru_Jen;2020;71;92;106;211;50;211;105;2;358;2;2;100;358
Gentiana lutea;Leipzig;Gen_lut_Lei;2020;99;113;NA;239;NA;253;NA;266;NA;NA;274;NA;NA
Gentiana lutea;Jena;Gen_lut_Jen;2020;10;71;NA;NA;NA;NA;NA;NA;NA;2;2;100;358
Gentiana tibetica;Leipzig;Gen_tib_Lei;2020;99;120;NA;162;NA;169;NA;190;NA;183;190;NA;NA
Geranium sanguineum;Jena;Ger_san_Jen;2020;64;64;134;141;50;296;162;218;351;2;337;100;358
Geranium sanguineum;Leipzig;Ger_san_Lei;2020;58;99;NA;134;NA;176;NA;169;NA;225;NA;NA;NA
Geum rivale;Halle;Geu_riv_Hal;2020;15;7;113;119;50;155;42;182;302;7;7;50;350
Geum rivale;Leipzig;Geu_riv_Lei;2020;71;99;NA;127;NA;162;NA;148;NA;204;266;NA;NA
Geum rivale;Jena;Geu_riv_Jen;2020;15;15;106;120;50;239;133;182;337;2;351;60;358
Geum urbanum;Halle;Geu_urb_Hal;2020;30;30;133;133;50;176;43;189;239;7;350;80;350
Glechoma hederacea;Jena;Gle_hed_Jen;2020;NA;351;NA;NA;NA;NA;NA;NA;NA;317;344;100;344
Globularia cordifolia;Jena;Glo_cor_Jen;2020;71;2;148;155;5;155;7;211;211;2;2;25;344
Globularia cordifolia;Leipzig;Glo_cor_Lei;2020;71;106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Glycyrrhiza glabra;Halle;Gly_gla_Hal;2020;78;113;168;182;95;210;42;225;302;204;302;40;302
Glycyrrhiza glabra;Jena;Gly_gla_Jen;2020;30;114;NA;NA;NA;NA;NA;309;309;288;337;100;351
Gratiola officinalis;Halle;Gra_off_Hal;2020;30;106;141;168;95;204;63;232;287;189;287;99;287
Gratiola officinalis;Jena;Gra_off_Jen;2020;99;114;169;176;60;239;70;267;330;182;296;100;337
Gunnera manicata;Jena;Gun_man_Jen;2020;57;79;99;114;75;155;56;239;309;232;232;50;309
Gunnera manicata;Leipzig;Gun_man_Lei;2020;NA;NA;127;141;NA;225;98;218;NA;232;NA;NA;NA
Gunnera manicata;Halle;Gun_man_Hal;2020;98;113;133;133;50;148;15;218;282;225;239;10;310
Helianthemum nummularium;Leipzig;Hel_num_Lei;2020;58;92;NA;106;NA;169;NA;169;NA;NA;58;NA;NA
