Species,Botanic_Garden,Species_ID,mean_Leaf_area_one_leaf_mm2,mean_SLA_mm2_mg,mean_LDMC_mg_g,mean_veg_height_cm,mean_gen_height_cm,mean_stomataldensity_number_mm,mean_stomatallength_mikrom,mean_stomatalwidth_mikrom,mean_weight_per_seed_mg,mean_CN_ratio
Hemerocallis dumortieri,Leipzig,Hem_dum_Lei,NA,NA,228.3594168,2.7,43.1,41.33673,18.7725,9.605,27.3,22.34
Hemerocallis fulva,Halle,Hem_ful_Hal,NA,NA,NA,NA,NA,62.515425,25.86375,13.50625,NA,NA
Hemerocallis fulva,Jena,Hem_ful_Jen,7005.907,10.574,189.514,88.8,125.6,36.8713425,27.9175,16.715,NA,25.9
Hibiscus moschatus,Halle,Hib_mos_Hal,NA,12.866,279.924,162.8,153.6,118.141395,25.235,15.45,7.72,NA
Hibiscus moschatus,Jena,Hib_mos_Jen,3632.295,18.48,263.134,110.8,114.6,NA,NA,NA,NA,34.81
Hibiscus moschatus,Leipzig,Hib_mos_Lei,NA,NA,254.9459045,34.5,87.4,NA,NA,NA,4.5,25.62
Homogyne sylvestris,Jena,Hom_syl_Jen,287.9666667,16.4425,165.265,15.125,19.875,51.6709125,25.228125,19.9875,0.31,24.52
Honckenya peploides,Halle,Hon_pep_Hal,NA,23.67526008,201.0687645,8.3,6.88,92.4973125,29.43,13.355,NA,NA
Humulus lupulus,Halle,Hum_lup_Hal,8296.405,12.52876335,259.8726274,242.6,158,90.66863,19.91583333,11.61166667,NA,12.88
Humulus lupulus,Jena,Hum_lup_Jen,3119.61875,19.44,245.726,200,215,240.70565,17.86666667,11.83333333,NA,9.42
Humulus lupulus,Leipzig,Hum_lup_Lei,NA,NA,300.2900604,93,NA,60.1764125,18.97083333,10.525,NA,12.58
Hyacinthoides non-scripta,Halle,Hya_non_Hal,1594.428,16.02146298,266.4193848,23.92,38.4,36.488595,39.3675,14.0475,4.61,18.09
Hydrocotyle vulgaris,Jena,Hyd_vul_Jen,208.935,18.418,139.962,10.5,NA,121.3309575,35.085,28.6325,NA,37.94
Hydrocotyle vulgaris,Leipzig,Hyd_vul_Lei,325.3647973,35.06923798,99.79219707,NA,NA,73.6151025,20.22875,10.08,NA,NA
Hypericum olympicum,Halle,Hyp_oly_Hal,NA,14.15,349.756,18.8,20.8,173.00187,23.97875,14.1275,0.28,NA
Hypericum olympicum,Jena,Hyp_oly_Jen,8.93725,15.205,335.2725,13,18.75,160.2755156,22.1078125,13.1109375,0.297,21.74
Hypericum olympicum,Leipzig,Hyp_oly_Lei,99.99764947,13.10946592,294.703044,20.5,28,115.2069975,20.478125,11.07125,0.2,31.27
Hypericum perforatum,Halle,Hyp_per_Hal,56.17713333,18.59813567,274.7982535,80,84,106.0210575,18.0575,11.845,0.11,11.65
Hypericum perforatum,Jena,Hyp_per_Jen,70.7476,23.604,341.022,113.6,115.6,161.6470275,15.93125,9.8025,0.125,25.06
Hyssopus officinalis,Halle,Hys_off_Hal,NA,NA,NA,NA,NA,206.938815,23.435,16.0375,NA,NA
Iberis sempervirens,Halle,Ibe_sem_Hal,NA,25.076,160.492,19.4,23.1,89.562915,15.51375,10.26375,3.73,NA
Iberis sempervirens,Jena,Ibe_sem_Jen,65.05583333,10.804,231.458,26,27.8,85.22511,27.8525,19.1775,4.2,9.3
Iberis sempervirens,Leipzig,Ibe_sem_Lei,118.7488665,11.90613714,244.2504179,20.8,27.5,170.96055,19.95,19.02,3.1,18.57
Iris pseudacorus,Halle,Iri_pse_Hal,NA,27.337091,55.33373125,91,89,75.9115875,19.075,8.2125,NA,16.56
Iris pseudacorus,Jena,Iri_pse_Jen,NA,32.822,123.364,78.6,NA,128.60316,12.9975,13.03875,NA,NA
Iris pseudacorus,Leipzig,Iri_pse_Lei,21454.91169,11.50758576,176.4102329,39.6,60.8,165.0067,20.525,12.00625,NA,20.63
Knautia arvensis,Jena,Kna_arv_Jen,NA,19.798,212.9512469,55.2,62.6,120.693045,21.27875,11.6975,0.4633,NA
Lamium album,Halle,Lam_alb_Hal,NA,31.011,175.281,27.59,26.48,90.32841,18.735,12.365,NA,NA
Lamium album,Jena,Lam_alb_Jen,NA,28.326,226.7591612,30.2,27.4,146.97504,18.51375,18.05,0.31,NA
Lamium galeobdolon,Halle,Lam_gal_Hal,150.0025,26.3722174,170.5627983,12,16.5,74.423125,13.98333333,10.45,NA,NA
Lathyrus pratensis,Jena,Lat_pra_Jen,64.64,24.274,301.668,64.1,64.9,84.04497188,31.2625,21.8328125,14.575,15.2
Lathyrus vernus,Halle,Lat_ver_Hal,NA,30.882,208.342,19.6,22.2,70.0427925,17.05625,9.465,NA,8.92
Lathyrus vernus,Jena,Lat_ver_Jen,1125.109,33.682,188.222,23,29,54.350145,24.31,14.02,15.89,10.51
Lathyrus vernus,Leipzig,Lat_ver_Lei,3191.000787,32.97327465,220.1169567,24.5,27.4,30.7473825,19.4075,10.73,14.3,17.52
Lavandula angustifolia,Halle,Lav_ang_Hal,NA,14.056,218.484,81.2,102.4,133.70646,26.2675,17.3975,1.04,NA
Lavandula angustifolia,Jena,Lav_ang_Jen,68.7294,15.484,218.376,49.8,62.6,81.91859688,25.73645833,16.30416667,1.216,17.99
Lavandula angustifolia,Leipzig,Lav_ang_Lei,165.0203348,15.09661844,205.5749572,49.4,69.4,58.8155325,27.23875,18.27875,1,39.22
Leonurus cardiaca,Halle,Leo_car_Hal,1456.943333,18.20319681,119.735314,105,106.3333333,NA,NA,NA,0.56,16.46
Leonurus cardiaca,Jena,Leo_car_Jen,1279.2694,24.396,249.304,196.8,197.8,190.097925,20.465,14.8925,0.84,15.67
Leonurus cardiaca,Leipzig,Leo_car_Lei,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA
Leonurus quinquelobatus,Leipzig,Leo_qui_Lei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucanthemum vulgare,Halle,Leu_vul_Hal,582.9738635,21.97546377,154.3504274,51.5,59.6,51.6709125,25.70625,10.6075,NA,18.31
Leucojum aestivum,Halle,Leu_aes_Hal,2114.615,15.86589786,134.8090021,57,61,34.447275,53.5,12.1125,NA,12.54
Leucojum vernum,Halle,Leu_ver_Hal,1972.321,18.97619787,81.9935065,22.8,26.2,23.47518,37.645,15.79,NA,14.14
Leucojum vernum,Leipzig,Leu_ver_Lei,1805.220045,23.5693295,113.2277186,21,NA,25.771665,33.65125,10.59125,NA,22.17
Linaria genistifolia,Halle,Lin_gen_Hal,NA,NA,NA,NA,NA,138.554595,20.4225,10.09,NA,NA
Linum perenne,Jena,Lin_per_Jen,15.552,19.23,229.77,53.5,56.25,127.837665,21.5025,10.71375,1.5556,10.39
Linum usitatissimum,Leipzig,Lin_usi_Lei,48.93036809,35.57447323,199.1289532,40,41.5,84.09813125,25.74895833,16.63854167,4.6,20.66
Lotus corniculatus,Halle,Lot_cor_Hal,345.4007889,24.08172558,253.6268936,24.4,25,126.56184,18.5375,12.41,NA,11.62
Lotus maritimus,Jena,Lot_mar_Jen,476.836,21.79333333,214.6933333,27.2,28.8,143.91306,20.02625,12.395,2.9304,12.16
Lunaria rediviva,Halle,Lun_red_Hal,NA,NA,NA,NA,NA,94.0283025,16.9375,11.9625,19.63,9.61
Lupinus polyphyllus,Halle,Lup_pol_Hal,NA,NA,NA,NA,NA,NA,NA,NA,12.59,NA
Lupinus polyphyllus,Leipzig,Lup_pol_Lei,9272.655291,18.11982968,181.3583742,49.2,77.5,148.8887775,18.92791667,12.68583333,16.2,19.68
Lychnis flos-cuculi,Halle,Lyc_flo_Hal,334.6196326,NA,NA,26.8,30,114.4415025,20.10625,13.8925,NA,NA
Lysichiton americanus,Leipzig,Lys_ame_Lei,78819.05482,33.80392375,75.09853015,62,64,42.102225,19.26458333,8.33125,NA,NA
Lysichiton camtschatcensis,Halle,Lys_cam_Hal,NA,22.3,116.7,36,22,10.2066,15.625,9.175,NA,10.7
Lysichiton camtschatcensis,Jena,Lys_cam_Jen,1827.845,14.845,135.96,19.5,NA,15.3099,22.1875,15.51875,NA,25.22
Medicago falcata,Halle,Med_fal_Hal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melissa officinalis,Halle,Mel_off_Hal,NA,21.534,330.008,82.4,89.6,165.602085,17.185,14.135,NA,23.23
Mentha longifolia,Halle,Men_lon_Hal,412.969,23.73445636,113.6595376,79.4,81.2,NA,NA,NA,NA,14.34
Menyanthes trifoliata,Halle,Men_tri_Hal,3215.4475,29.39983677,134.7218376,20.4,25.2,41.7194775,25.05875,13.3725,0.02,22.17
Menyanthes trifoliata,Jena,Men_tri_Jen,NA,20.6,175.47,15.5,20,NA,NA,NA,2.3375,NA
Menyanthes trifoliata,Leipzig,Men_tri_Lei,2342.256964,15.39369117,196.2924079,18.4,29.8,33.2990325,25.0175,13.69875,3.5,16.71
Mercurialis perennis,Jena,Mer_per_Jen,335.484,19.324,315.48,11.6,NA,45.0366225,35.17333333,23.1825,NA,16.56
Myriophyllum aquaticum,Leipzig,Myr_aqu_Lei,23.13708815,32.32347162,349.5066136,6.8,NA,NA,NA,NA,NA,37.29
Narcissus pseudonarcissus,Halle,Nar_pse_Hal,NA,12.67,149.228,NA,28,50.267505,45.4575,15.99,NA,16.31
Oenothera biennis,Jena,Oen_bie_Jen,1017.247,16.128,205.046,168.8,173.4,178.78561,18.13333333,13.48208333,NA,15.8
Oenothera fruticosa,Halle,Oen_fru_Hal,397.37,20.95018702,287.6153659,55.4,58.2,112.527765,18.15,10.06708333,0.13,19.27
Oenothera macrocarpa,Halle,Oen_mac_Hal,859.3916667,16.61568575,268.9161316,37.66666667,32,131.7927225,21.75875,11.52,NA,22.5
Origanum vulgare,Halle,Ori_vul_Hal,NA,NA,NA,NA,NA,357.8689125,15.36875,12.5,NA,NA
Origanum vulgare,Jena,Ori_vul_Jen,204.2333333,20.608,297.374,38.6,40.6,294.205245,16.8425,12.18125,0.081,25.16
Oxalis acetosella,Halle,Oxa_ace_Hal,NA,62.056,119.628,5.2,8.5,32.66112,13.3578125,9.0109375,0.98,10.75
Paeonia daurica,Halle,Pae_dau_Hal,12641.56,11.9298242,149.4105481,41.8,NA,NA,NA,NA,99.89,26.66
Paeonia daurica subsp. mlokosewitschii,Jena,Pae_dau_mlo_Jen,35220.02203,12.0529854,247.4270397,88.16666667,92.5,53.90360625,22.76041667,12.74375,121.6667,16.19
Paeonia daurica subsp. tomentosa,Halle,Pae_dau_tom_Hal,NA,NA,NA,NA,NA,NA,NA,NA,109.24,NA
Paeonia daurica subsp. wittmanniana,Halle,Pae_dau_wit_Hal,NA,NA,NA,NA,NA,26.792325,21.6,9.075,NA,NA
Paeonia daurica subsp. wittmanniana,Jena,Pae_dau_wit_Jen,49886.462,19.643142,293.494,67.4,72,68.129055,22.1225,12.7825,NA,18.05
Paeonia delavayi,Halle,Pae_del_Hal,NA,11.356,241.418,137.6,115.6,60.21894,19.9,9.86,326.47,14.43
Paeonia delavayi,Jena,Pae_del_Jen,31846.162,12.674402,205.522,132.2,145.4,51.4157475,20.3575,11.255,595.7,11.75
Paeonia officinalis,Halle,Pae_off_Hal,NA,12.106,239.88,46,48.6,53.07432,29.445,15.545,497.94,NA
Paeonia officinalis,Jena,Pae_off_Jen,30226.545,13.481158,261.494,46,53,38.78508,27.18,13.5175,132.3938,14.54
Paeonia officinalis,Leipzig,Pae_off_Lei,NA,9.656915453,374.7830918,50,52,40.571235,25.9975,9.0675,NA,22.29
Paeonia peregrina,Halle,Pae_per_Hal,NA,11.03,252.58,59.4,62.96,48.48135,35.04,17.035,175.52,NA
Paeonia peregrina,Jena,Pae_per_Jen,64697.96167,10.03022133,279.3166667,NA,NA,44.653875,25.021875,13.85625,179.1,17.77
Paeonia peregrina,Leipzig,Pae_per_Lei,10431.24939,13.37179832,321.3966919,47.5,56,29.2163925,32.7325,15.6425,NA,14.64
Papaver grande,Halle,Pap_gra_Hal,18082.78518,20.23814794,102.3072079,43,NA,15.3099,31.15,14.03125,NA,18.22
Penstemon grandiflorus,Leipzig,Pen_gra_Lei,NA,NA,330.8300484,21.3,56.8,97.47303,25.62875,16.7275,NA,51.7
Petasites hybridus,Jena,Pet_hyb_Jen,6665.498333,14.36333333,147.9533333,12,16.8,NA,NA,NA,NA,21.7
Phedimus spurius,Halle,Phe_spu_Hal,82.57113333,17.9468,62.392,15,16.2,41.591895,23.68625,13.8825,0.07,NA
Phedimus stoloniferus,Leipzig,Phe_sto_Lei,136.8035857,17.51207532,71.58638097,5.2,10.04,36.998925,24.6775,12.8475,NA,NA
Phedimus stoloniferus,Leipzig,Phe_sto_Lei,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
Phlomis russeliana,Halle,Phl_rus_Hal,8919.488,14.50268996,227.5933533,94.2,91.4,NA,NA,NA,8.62,18.5
Phlomis russeliana,Jena,Phl_rus_Jen,7756.544,11.956,267.452,109.4,106,195.5839725,22.74875,15.3475,9.05,17.82
Plantago lanceolata,Halle,Pla_lan_Hal,NA,22.402,103.622,26.4,39.4,113.548425,19.76,11.1625,1.21,NA
Plantago lanceolata,Jena,Pla_lan_Jen,1204.341,15.726,166.678,25.6,53.6,189.67265,18.18375,10.94541667,1.4464,17.42
Plantago lanceolata,Leipzig,Pla_lan_Lei,3314.159736,21.84459586,159.5806074,0.78,26.6,253.12368,15.5275,8.93875,0.6,15.5
Platycodon grandiflorus,Halle,Pla_gra_Hal,906.483,17.20420704,257.3765997,106.6,108.6,230.7967425,28.2525,15.145,1.03,15.78
Podophyllum peltatum,Halle,Pod_pel_Hal,NA,27.488,142.74,50.6,34.8,89.0610905,28.0425,16.36166667,0.02,14.91
Podophyllum peltatum,Leipzig,Pod_pel_Lei,15472.77909,21.4867116,198.8903438,29,25,33.8093625,18.69375,8.146875,NA,27.12
Polygonatum multiflorum,Halle,Pol_mul_Hal,NA,36.14,178.036,50.4,49.2,45.56517857,16.86095238,9.520238095,24.24,12.25
Polygonatum multiflorum,Jena,Pol_mul_Jen,2323.903,27.62,199.862,28.2,37.8,50.6502525,24.0675,10.9825,25.8,13.75
Polygonatum multiflorum,Leipzig,Pol_mul_Lei,2826.78001,40.14699899,175.2441443,49,48,43.2504675,18.325,7.8075,NA,19.79
Polygonatum verticillatum,Leipzig,Pol_ver_Lei,NA,NA,NA,NA,NA,NA,NA,NA,39.7,NA
Potentilla indica,Jena,Pot_ind_Jen,NA,22.14,291.345,22.25,23.5,74.6357625,17.6625,11.578125,NA,31.47
Primula acaulis,Halle,Pri_aca_Hal,NA,23.306,158.758,8.9,8.7,131.409975,25.4425,19.98,NA,NA
Primula acaulis,Jena,Pri_aca_Jen,196.2985,25.426,151.828,6.1,10,79.9942275,22.67791667,14.65041667,NA,20.24
Primula denticulata,Halle,Pri_den_Hal,NA,23.306,114.818,7.9,25.8,66.9808125,25.315,20.9275,0.05,16.38
Primula denticulata,Jena,Pri_den_Jen,1266.665,27.92,105.434,13.8,35.6,125.796345,30.4825,28.16625,0.057,NA
Primula denticulata,Leipzig,Pri_den_Lei,NA,23.92444516,94.00216744,4.5,16.4,43.122885,28.14708333,20.64,0.1,31.15
Primula veris,Halle,Pri_ver_Hal,NA,16.01,193.2733333,6.5,10.83333333,128.007775,26.07083333,21.63333333,NA,NA
Primula veris,Jena,Pri_ver_Jen,549.0220833,18.3575,157.575,15.75,28,78.59082,27.7525,20.50875,1.189,14.63
Prunella grandiflora,Halle,Pru_gra_Hal,NA,21.194,154.732,12.6,20.4,96.197205,29.3025,18.2775,2.15,17.74
Prunella grandiflora,Jena,Pru_gra_Jen,223.51375,20.2425,191.2425,8.5,13.25,113.4208425,20.90875,14.63,0.975,17.85
Prunella grandiflora,Leipzig,Pru_gra_Lei,291.4675174,14.36103309,218.179765,5,9.5,86.8836825,20.26625,14.21625,NA,21.56
Prunella vulgaris,Halle,Pru_vul_Hal,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.66
Prunella vulgaris,Jena,Pru_vul_Jen,NA,NA,NA,NA,NA,189.4600125,28.89375,19.775,0.7667,NA
Pulsatilla vulgaris,Halle,Pul_vul_Hal,765.665,19.16474813,195.3581918,11,NA,91.2214875,26.7375,17.1,NA,23.84
Pulsatilla vulgaris,Jena,Pul_vul_Jen,1075.007,13.772,196.476,24,30,53.58465,36.84791667,36.66875,3.25,24.49
Pulsatilla vulgaris,Leipzig,Pul_vul_Lei,3466.093426,13.70728818,209.3028748,34.3,52.1,70.170375,33.04875,23.73625,3.8,14.34
Puschkinia scilloides,Halle,Pus_sci_Hal,682.602,17.99389071,188.1577351,12.8,19.2,42.86772,36.1525,12.75,NA,13.54
Ranunculus acris,Halle,Ran_acr_Hal,NA,14.61,265.9066667,21.33333333,30,76.5495,36.44375,23.79375,2.08,NA
Ranunculus acris,Jena,Ran_acr_Jen,632.224,19.136,249.17,67.7,75.1,5.9963775,22.5625,11.9375,1.3667,17.14
Ranunculus bulbosus,Jena,Ran_bul_Jen,529.073,20.368,215.688,NA,NA,40.571235,20.05125,11.17916667,NA,15.05
Ranunculus lanuginosus,Jena,Ran_lan_Jen,644.345625,19.0925,179.135,11,37.5,NA,NA,NA,1.4,24.84
Rheum rhabarbarum,Jena,Rhe_rha_Jen,30844.575,11.6548325,92.06,62,86,59.963775,30.2875,18.9875,6.03,12.14
Roscoea purpurea,Leipzig,Ros_pur_Lei,NA,NA,176.3277162,19.8,42.8,37.8920025,25.795,9.945,NA,19.23
Rubus chamaemorus,Jena,Rub_cha_Jen,1458.39,13.5,354.7133333,7.166666667,NA,83.3539,28.1625,18.85833333,NA,28.41
Rumex acetosa,Jena,Rum_ace_Jen,1412.483,24.868,125.698,59.4,100,51.033,37.3425,24.12625,1.3159,16.34
Salvia amplexicaulis,Leipzig,Sal_amp_Lei,1529.430171,30.64495995,255.0324249,92.46,94.06,138.4270125,14.5175,8.16,0.9,17.3
Salvia nemorosa,Halle,Sal_nem_Hal,NA,NA,NA,NA,NA,302.370525,16.5875,11.9375,NA,NA
Salvia nemorosa,Jena,Sal_nem_Jen,708.138,23.958,176.278,88.2,102.2,NA,NA,NA,0.8571,13.51
Salvia officinalis,Halle,Sal_off_Hal,NA,24.442,184.616,49.1,64.5,NA,NA,NA,1.39,11.03
Salvia officinalis,Jena,Sal_off_Jen,1081.608,14.58066667,234.7473333,53.5,72.7,NA,NA,NA,NA,10.36
Salvia officinalis,Leipzig,Sal_off_Lei,1269.611798,4.086479245,1000,54,70,NA,NA,NA,8.3,10.17
Salvia patens,Jena,Sal_pat_Jen,NA,NA,NA,NA,NA,NA,NA,NA,1.568,NA
Salvia pratensis,Jena,Sal_pra_Jen,3805.471667,20.05,148.096,63.6,73.2,172.6191225,18.82625,18.9825,NA,8.58
Sanguisorba minor,Halle,San_min_Hal,NA,NA,NA,NA,NA,76.804665,25.6325,9.8825,NA,NA
Sanguisorba minor,Jena,San_min_Jen,NA,21.786,269.73,37.5,48.1,NA,NA,NA,5.1542,NA
Sanguisorba officinalis,Jena,San_off_Jen,NA,13.21,357.424,139.6,161,NA,NA,NA,NA,NA
Saponaria officinalis,Halle,Sap_off_Hal,NA,18.85,223.592,44.8,51.4,139.32009,29.2925,21.27,1.4,NA
Saponaria officinalis,Jena,Sap_off_Jen,717.177,14.702,246.156,76,85,140.595915,29.21125,18.47125,1.8462,12.58
Saponaria officinalis,Leipzig,Sap_off_Lei,909.6630875,18.23756878,329.2253037,33,36.6,42.4849725,19.1325,10.185,NA,24.24
Saxifraga paniculata,Halle,Sax_pan_Hal,NA,7.463333333,203.62,2,18,75.69895,26.6375,19.15833333,0.04,NA
Saxifraga paniculata,Jena,Sax_pan_Jen,15.16833333,7.224,253.236,13.4,19,80.12181,35.2425,28.1725,0.0538,69.44
Saxifraga paniculata,Leipzig,Sax_pan_Lei,501.9011836,11.96475799,184.0373486,1.1,21.5,87.011265,21.0675,12.24,1.2,51.13
Saxifraga rotundifolia,Halle,Sax_rot_Hal,704.417,18.058,129.778,8.6,55,80.12181,16.255,9.43,0.02,38.8
Scabiosa ochroleuca,Leipzig,Sca_och_Lei,501.9011836,23.14812132,206.2783858,52.6,79.9,110.1036975,20.1825,10.26875,1.8,38.77
Scopolia carniolica,Halle,Sco_car_Hal,NA,32.082,145.814,49,36.4,27.72793,19.88833333,9.011666667,NA,8.3
Scopolia carniolica,Jena,Sco_car_Jen,NA,26.98,179.4652655,31,23.33333333,37.849475,16.82916667,16.4,NA,NA
Scopolia carniolica,Leipzig,Sco_car_Lei,3849.911297,29.31422088,173.7044334,53.1,40.8,41.7194775,23.38,15.0075,NA,20.92
Securigera varia,Halle,Sec_var_Hal,1204.986011,22.15665779,260.4474064,48.4,49.2,96.0696225,17.3325,8.355,3.9,9.6
Securigera varia,Jena,Sec_var_Jen,NA,29.542,202.392,30.1,33.9,NA,NA,NA,2.6233,NA
Sempervivum tectorum,Jena,Sem_tec_Jen,29.827,4.232,229.654,2.3,14.5,NA,NA,NA,0.0348,85.6
Senecio nemorensis,Halle,Sen_nem_Hal,6184.014699,26.09146433,187.8340968,167.8,171.6,NA,NA,NA,0.55,12.34
Senecio nemorensis,Jena,Sen_nem_Jen,2105.061,21.107,199.268,108.9,111.5,37.08398,40.743625,29.38904167,0.2833,13.64
Silene coronaria,Halle,Sil_cor_Hal,1814.548,26.602,138.9412,74.6,79.8,38.019585,21.905,11.2175,0.46,17.37
Silene coronaria,Jena,Sil_cor_Jen,460.52375,19.1825,201.045,55.75,60.25,102.8633906,21.2671875,17.0984375,0.558,19.54
Silene coronaria,Leipzig,Sil_cor_Lei,1479.989155,12.72540427,216.6672829,47,53,NA,NA,NA,NA,13.21
Silene dioica,Halle,Sil_dio_Hal,678.383,31.1118,146.2738,82.8,87.6,73.48752,23.2425,12.1925,0.53,21.7
Silene nutans,Jena,Sil_nut_Jen,NA,NA,NA,22,35.5,79.9942275,23.63625,15.545,NA,NA
Silene nutans,Leipzig,Sil_nut_Lei,962.8661746,22.15953907,207.4136725,58,55,146.209545,21.8825,16.915,NA,13.82
Silene vulgaris,Halle,Sil_vul_Hal,NA,25.23,169.754,58.8,66.2,187.546275,22.9075,17.085,0.4,NA
Silene vulgaris,Jena,Sil_vul_Jen,215.997,28.936,129.41,46.7,50.9,142.38207,23.97375,12.69125,0.6,14.64
Silene vulgaris,Leipzig,Sil_vul_Lei,592.137167,29.38564161,145.7589046,58,63,147.6129525,22.42,15.9275,NA,24.81
Silphium integrifolium,Halle,Sil_int_Hal,NA,12.58,255.66,128,135.8,157.18164,28.1975,18.4725,6.56,NA
Silphium integrifolium,Jena,Sil_int_Jen,523.6058333,11.132,281.176,78.1,83.2,184.3567125,22.8275,15.2025,4.9421,21.7
Solanum dulcamara,Halle,Sol_dul_Hal,NA,23.276,214.992,68.6,65.2,110.486445,18.2675,11.6375,0.15,10.5
Solidago canadensis,Jena,Sol_can_Jen,344.4533333,18.9,347.778,175,185.4,176.9569275,17.9325,13.94,0.068,17.28
Solidago virgaurea,Halle,Sol_vir_Hal,NA,17.878,256.91,33.2,45,105.893475,21.09125,13.625,0.08,17.54
Solidago virgaurea,Jena,Sol_vir_Jen,257.47825,19.83,213.744,NA,NA,99.6419325,25.68375,19.2225,0.2064,12.38
Stachys officinalis,Jena,Sta_off_Jen,NA,NA,NA,46.6,54.1,117.120735,29.89125,20.7925,NA,NA
Tanacetum vulgare,Halle,Tan_vul_Hal,NA,14.926,265.364,107.8,110.6,107.2968825,21.84375,16.42625,0.09,11.66
Tanacetum vulgare,Jena,Tan_vul_Jen,324.9404537,21.156,246.878,124,127.8,119.2896375,23.07875,14.73625,0.06,16.83
Tanacetum vulgare,Leipzig,Tan_vul_Lei,5816.791235,36.46891056,383.4134615,99.3,105.6,NA,NA,NA,NA,15.03
Thalictrum minus,Jena,Tha_min_Jen,NA,20.209,305.47,107.8,154.6,113.548425,21.09,20.5625,1.18,NA
Thalictrum minus,Leipzig,Tha_min_Lei,5555.829271,17.77847571,368.2491766,82.5,107,343.8348375,13.00625,8.9125,NA,22.41
Thymus praecox,Jena,Thy_pra_Jen,14.47737778,24.07,254.712,12.8,16.6,168.664065,17.49125,10.6575,0.42,19.82
Thymus pulegioides,Jena,Thy_pul_Jen,5.186166667,22.174,288.26,16.2,17.4,215.9971725,18.31,11.515,0.0712,30.76
Thymus serpyllum,Halle,Thy_ser_Hal,NA,15.295,366.321,5.78,6.42,175.4259375,17.42125,14.2175,NA,29.03
Thymus serpyllum,Jena,Thy_ser_Jen,11.893,25.952,272.494,9.4,10.8,268.178415,17.09,12.2,0.248,33.28
Tragopogon orientalis,Halle,Tra_ori_Hal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trapa natans,Halle,Tra_nat_Hal,190.8143521,13.96945886,330.2065874,23,NA,244.192905,21.33,9.355,NA,29.05
Trapa natans,Jena,Tra_nat_Jen,447.338,9.856,243.536,7.8,5.5,258.73731,20.675,11.035,NA,31.09
Trapa natans,Leipzig,Tra_nat_Lei,291.0669916,15.61418908,228.4391459,32,NA,199.0287,15.76,8.01,NA,NA
Trillium sessile,Jena,Tri_ses_Jen,3113.37875,24.02,180.898,25.4,29.2,NA,NA,NA,16.62,11.16
Trillium sessile,Leipzig,Tri_ses_Lei,11372.79446,32.28682261,170.1264527,28,34,18.4994625,29.66,12.315,NA,23.69
Trollius europaeus,Halle,Tro_eur_Hal,NA,14.78,192.14,27.33333333,33,49.3319,36.95833333,29.325,0.04,12.57
Trollius europaeus,Jena,Tro_eur_Jen,NA,23.2,183.82,35,42.6,NA,NA,NA,0.2333,NA
Trollius europaeus,Leipzig,Tro_eur_Lei,3964.263756,12.5332546,238.2242132,16,32.4,89.9456625,33.055,19.81666667,NA,10.71
Tulipa saxatilis,Halle,Tul_sax_Hal,NA,14.0186,137.0348,33.2,NA,30.10947,49.365,21.1975,NA,34.7
Tulipa sylvestris,Halle,Tul_syl_Hal,NA,11.208,184.456,31,39.6,34.5748575,48.62625,20.25,7.33,15.36
Tulipa sylvestris,Jena,Tul_syl_Jen,1004.466,13.796,192.532,25,23.74,28.57848,45.9325,16.255,7.04,NA
Tussilago farfara,Halle,Tus_far_Hal,NA,18.472,125.592,4.9,NA,38.529915,45.025,32.6075,0.13,NA
Tussilago farfara,Leipzig,Tus_far_Lei,17728.84023,12.95232494,130.2963404,22.5,19.9,20.1155075,27.55416667,18.84958333,NA,13.99
Urtica dioica,Jena,Urt_dio_Jen,540.6053333,18.77,261.992,79,81.6,99.1316025,15.60583333,9.583333333,0.2,10.92
Urtica dioica,Leipzig,Urt_dio_Lei,1979.459124,48.23969523,191.0532537,106.5,105,113.548425,17.909375,11.34375,NA,14.42
Vaccinium intermedium_x,Jena,Vac_int_Jen,NA,NA,NA,18,15.5,160.498785,18.36,11.2775,0.3909,46.81
Vaccinium myrtillus,Jena,Vac_myr_Jen,62.98713636,7.997272727,440.3045455,17,15.8,NA,NA,NA,NA,39.92
Vaccinium myrtillus,Leipzig,Vac_myr_Lei,NA,NA,372.5806452,8,15,68.89455,18.025,13.5625,NA,NA
Vaccinium oxycoccos,Jena,Vac_oxy_Jen,20.981,7.12,508.954,11.2,12.4,NA,NA,NA,NA,86.78
Vaccinium oxycoccos,Leipzig,Vac_oxy_Lei,42.06156462,19.08816789,310.1331764,21,18,316.7873475,12.115,6.205,NA,12.59
Vaccinium uliginosum,Halle,Vac_uli_Hal,NA,15.75252918,400,84,93,72.0841125,20.2125,10.65,NA,23.2
Veratrum album,Halle,Ver_alb_Hal,NA,NA,NA,48.8,59.6,16.84089,27.2975,10.2275,3.21,14.6
Veratrum album,Jena,Ver_alb_Jen,11999.67167,17.3485684,159.066,65,104,20.668365,50.285,34.4975,4.55,18.99
Veratrum nigrum,Halle,Ver_nig_Hal,NA,13.77,188.05,49,131,32.0232075,24.9275,14.82375,13.52,23.43
