Botanical_garden,Pollinator,Total_visited_plant_richness,Total_plant_richness,percentage_vivited_plant_sp
Jena,Coccinella septempunctata,3,152,0.019736842105263157
Jena,Colletes daviesanus,4,152,0.02631578947368421
Jena,Cylindromyia brevicornis,2,152,0.013157894736842105
Jena,Ectemnius lituratus,1,152,0.006578947368421052
Jena,Entomophaga nigrohalterata,1,152,0.006578947368421052
Jena,Episyrphus balteatus,26,152,0.17105263157894737
Jena,Eristalis pertinax,1,152,0.006578947368421052
Jena,Eristalis tenax,2,152,0.013157894736842105
Jena,Eucera nigrescens,11,152,0.07236842105263158
Jena,Eupeodes corollae,16,152,0.10526315789473684
Jena,Eurychaeta palpalis,1,152,0.006578947368421052
Jena,Gymnomerus laevipes,2,152,0.013157894736842105
Jena,Gymnosoma clavatum,1,152,0.006578947368421052
Jena,Gymnosoma nudifrons,1,152,0.006578947368421052
Jena,Halictus scabiosae,3,152,0.019736842105263157
Jena,Halictus subauratus,5,152,0.03289473684210526
Jena,Halictus tumulorum,6,152,0.039473684210526314
Jena,Harmonia axyridis,1,152,0.006578947368421052
Jena,Hebia flavipes,1,152,0.006578947368421052
Jena,Hemipenthes maura,1,152,0.006578947368421052
Jena,Heriades truncorum,6,152,0.039473684210526314
Jena,Hoplitis adunca,1,152,0.006578947368421052
Jena,Hylaeus communis,4,152,0.02631578947368421
Jena,Hylaeus nigritus,5,152,0.03289473684210526
Jena,Hylaeus punctatus,7,152,0.046052631578947366
Jena,Hylaeus sinuatus,1,152,0.006578947368421052
Jena,Issoria lathonia,1,152,0.006578947368421052
Jena,Lasioglossum interruptum,1,152,0.006578947368421052
Jena,Lasioglossum morio,8,152,0.05263157894736842
Jena,Lasioglossum pallens,1,152,0.006578947368421052
Jena,Lasioglossum pauxillum,2,152,0.013157894736842105
Jena,Lasioglossum politum,2,152,0.013157894736842105
Jena,Leucophora personata,3,152,0.019736842105263157
Jena,Lucilia sericata,18,152,0.11842105263157894
Jena,Macroglossum stellatarum,3,152,0.019736842105263157
Jena,Macropis fulvipes,1,152,0.006578947368421052
Jena,Maniola jurtina,5,152,0.03289473684210526
Jena,Megachile alpicola,1,152,0.006578947368421052
Jena,Megachile centuncularis,1,152,0.006578947368421052
Jena,Megachile circumcincta,1,152,0.006578947368421052
Jena,Megachile ericetorum,4,152,0.02631578947368421
Jena,Megachile lagopoda,3,152,0.019736842105263157
Jena,Megachile maritima,3,152,0.019736842105263157
Jena,Megachile pilidens,1,152,0.006578947368421052
Jena,Megachile rotundata,1,152,0.006578947368421052
Jena,Megachile versicolor,2,152,0.013157894736842105
Jena,Megachile willughbiella,10,152,0.06578947368421052
Jena,Melecta albifrons,3,152,0.019736842105263157
Jena,Meliscaeva auricollis,1,152,0.006578947368421052
Jena,Minettia longipennis,1,152,0.006578947368421052
Jena,Myathropa florea,4,152,0.02631578947368421
Jena,Nomada zonata,1,152,0.006578947368421052
Jena,Oedemera lurida,2,152,0.013157894736842105
Jena,Osmia aurulenta,3,152,0.019736842105263157
Jena,Osmia bicornis,10,152,0.06578947368421052
Jena,Osmia brevicornis,1,152,0.006578947368421052
Jena,Osmia caerulescens,1,152,0.006578947368421052
Jena,Osmia cornuta,3,152,0.019736842105263157
Jena,Oxythyrea funesta,2,152,0.013157894736842105
Jena,Paragus constrictus,1,152,0.006578947368421052
Jena,Phasia barbifrons,1,152,0.006578947368421052
Jena,Phasia pusilla,2,152,0.013157894736842105
Jena,Pieris brassicae,2,152,0.013157894736842105
Jena,Pieris napi,4,152,0.02631578947368421
Jena,Pieris rapae,7,152,0.046052631578947366
Jena,Polistes dominula,5,152,0.03289473684210526
Jena,Polyommatus icarus,3,152,0.019736842105263157
Jena,Pyrrhocoris marginatus,1,152,0.006578947368421052
Jena,Sarcophaga haemorrhoa,1,152,0.006578947368421052
Jena,Sarcophaga incisilobata,1,152,0.006578947368421052
Jena,Scaeva pyrastri,3,152,0.019736842105263157
Jena,Sicus ferrugineus,2,152,0.013157894736842105
Jena,Sphaerophoria rueppellii,2,152,0.013157894736842105
Jena,Sphaerophoria scripta,26,152,0.17105263157894737
Jena,Sphex funerarius,1,152,0.006578947368421052
Jena,Stelis punctulatissima,1,152,0.006578947368421052
Jena,Syritta pipiens,2,152,0.013157894736842105
Jena,Syrphus vitripennis,8,152,0.05263157894736842
Jena,Tephritidae,1,152,0.006578947368421052
Jena,Thyreus orbatus,1,152,0.006578947368421052
Jena,Timarcha goettingensis,1,152,0.006578947368421052
Jena,Trichodes apiarius,1,152,0.006578947368421052
Jena,Vespa crabro,3,152,0.019736842105263157
Jena,Vespula germanica,6,152,0.039473684210526314
Jena,Volucella inanis,1,152,0.006578947368421052
Jena,Volucella pellucens,1,152,0.006578947368421052
Jena,Volucella zonaria,7,152,0.046052631578947366
Jena,Xylocopa violacea,9,152,0.05921052631578947
Leipzig,Aglais io,2,157,0.012738853503184714
Leipzig,Andrena bicolor,8,157,0.050955414012738856
Leipzig,Andrena chrysopus,1,157,0.006369426751592357
Leipzig,Andrena curvungula,1,157,0.006369426751592357
Leipzig,Andrena flavipes,7,157,0.044585987261146494
Leipzig,Andrena fulvago,1,157,0.006369426751592357
Leipzig,Andrena gravida,5,157,0.03184713375796178
Leipzig,Andrena hattorfiana,3,157,0.01910828025477707
Leipzig,Andrena labiata,2,157,0.012738853503184714
Leipzig,Andrena minutula,2,157,0.012738853503184714
Leipzig,Andrena minutuloides,3,157,0.01910828025477707
Leipzig,Andrena pilipes,2,157,0.012738853503184714
Leipzig,Anthidium manicatum,9,157,0.05732484076433121
Leipzig,Anthidium oblongatum,1,157,0.006369426751592357
Leipzig,Anthocharis cardamines,1,157,0.006369426751592357
Leipzig,Anthophora aestivalis,5,157,0.03184713375796178
Leipzig,Anthophora plumipes,26,157,0.16560509554140126
Leipzig,Anthophora quadrimaculata,4,157,0.025477707006369428
Leipzig,Apis mellifera,109,157,0.6942675159235668
Leipzig,Bellardia vulgaris,1,157,0.006369426751592357
Leipzig,Bombus bohemicus,1,157,0.006369426751592357
Leipzig,Bombus campestris,1,157,0.006369426751592357
Leipzig,Bombus hortorum,6,157,0.03821656050955414
Leipzig,Bombus hypnorum,7,157,0.044585987261146494
Leipzig,Bombus lapidarius,29,157,0.18471337579617833
Leipzig,Bombus pascuorum,30,157,0.1910828025477707
Leipzig,Bombus pratorum,7,157,0.044585987261146494
Leipzig,Bombus terrestris,31,157,0.19745222929936307
Leipzig,Bombus vestalis,15,157,0.09554140127388536
Leipzig,Bombylius discolor,6,157,0.03821656050955414
Leipzig,Bombylius major,13,157,0.08280254777070063
Leipzig,Bombylius venosus,4,157,0.025477707006369428
Leipzig,Botanophila depressa,1,157,0.006369426751592357
Leipzig,Botanophila striolata,3,157,0.01910828025477707
Leipzig,Calliphora vicina,1,157,0.006369426751592357
Leipzig,Ceratina cyanea,4,157,0.025477707006369428
Leipzig,Cerceris quinquefasciata,1,157,0.006369426751592357
Leipzig,Cerceris rybyensis,9,157,0.05732484076433121
Leipzig,Cetonia aurata,2,157,0.012738853503184714
Leipzig,Chelostoma rapunculi,2,157,0.012738853503184714
Leipzig,Chrysogaster virescens,2,157,0.012738853503184714
Leipzig,Coccinella septempunctata,7,157,0.044585987261146494
Leipzig,Coelioxys elongatus,2,157,0.012738853503184714
Leipzig,Colletes daviesanus,1,157,0.006369426751592357
Leipzig,Cydalima perspectalis,1,157,0.006369426751592357
Leipzig,Cylindromyia brevicornis,1,157,0.006369426751592357
Leipzig,Dalmannia marginata,1,157,0.006369426751592357
Leipzig,Dinetus pictus,1,157,0.006369426751592357
Leipzig,Dryas iulia,1,157,0.006369426751592357
Leipzig,Episyrphus balteatus,9,157,0.05732484076433121
Leipzig,Eristalis tenax,4,157,0.025477707006369428
Leipzig,Eucera nigrescens,5,157,0.03184713375796178
Leipzig,Eupeodes corollae,8,157,0.050955414012738856
Leipzig,Eurychaeta palpalis,1,157,0.006369426751592357
Leipzig,Graphosoma italicum,1,157,0.006369426751592357
Leipzig,Gymnomerus laevipes,1,157,0.006369426751592357
Leipzig,Gymnosoma nudifrons,1,157,0.006369426751592357
Leipzig,Halictus scabiosae,5,157,0.03184713375796178
Leipzig,Halictus subauratus,4,157,0.025477707006369428
Leipzig,Halictus tumulorum,1,157,0.006369426751592357
Leipzig,Hedychrum gerstaeckeri,1,157,0.006369426751592357
Leipzig,Heriades truncorum,1,157,0.006369426751592357
Leipzig,Holopyga ignicollis,2,157,0.012738853503184714
Leipzig,Hoplitis adunca,3,157,0.01910828025477707
Leipzig,Hylaeus brevicornis,1,157,0.006369426751592357
Leipzig,Hylaeus communis,1,157,0.006369426751592357
Leipzig,Hylaeus confusus,1,157,0.006369426751592357
Leipzig,Hylaeus gredleri,1,157,0.006369426751592357
Leipzig,Hylaeus hyalinatus,1,157,0.006369426751592357
Leipzig,Hylaeus nigritus,2,157,0.012738853503184714
Leipzig,Hylaeus punctatus,3,157,0.01910828025477707
Leipzig,Hylaeus styriacus,1,157,0.006369426751592357
Leipzig,Lapposyrphus lapponicus,1,157,0.006369426751592357
Leipzig,Lasioglossum calceatum,1,157,0.006369426751592357
Leipzig,Lasioglossum laticeps,12,157,0.07643312101910828
Leipzig,Lasioglossum leucozonium,2,157,0.012738853503184714
Leipzig,Lasioglossum minutissimum,3,157,0.01910828025477707
Leipzig,Lasioglossum morio,4,157,0.025477707006369428
Leipzig,Lasioglossum pallens,2,157,0.012738853503184714
Leipzig,Lasioglossum pauxillum,2,157,0.012738853503184714
Leipzig,Lasioglossum politum,2,157,0.012738853503184714
Leipzig,Lasioglossum pygmaeum,1,157,0.006369426751592357
Leipzig,Lasioglossum villosulum,2,157,0.012738853503184714
Leipzig,Lucilia sericata,22,157,0.14012738853503184
Leipzig,Lygaeus equestris,2,157,0.012738853503184714
Leipzig,Megachile circumcincta,1,157,0.006369426751592357
Leipzig,Megachile ericetorum,2,157,0.012738853503184714
Leipzig,Megachile lagopoda,4,157,0.025477707006369428
Leipzig,Megachile maritima,1,157,0.006369426751592357
Leipzig,Megachile rotundata,5,157,0.03184713375796178
Leipzig,Megachile willughbiella,1,157,0.006369426751592357
Leipzig,Melitta haemorrhoidalis,2,157,0.012738853503184714
Leipzig,Merodon equestris,4,157,0.025477707006369428
Leipzig,Microphthalma europaea,1,157,0.006369426751592357
Leipzig,Miltogramma punctata,1,157,0.006369426751592357
Leipzig,Myathropa florea,6,157,0.03821656050955414
Leipzig,Myopa testacea,2,157,0.012738853503184714
Leipzig,Nomada fabriciana,1,157,0.006369426751592357
Leipzig,Nomada flavoguttata,4,157,0.025477707006369428
Leipzig,Nysson maculosus,1,157,0.006369426751592357
Leipzig,Oedemera lurida,4,157,0.025477707006369428
Leipzig,Osmia aurulenta,2,157,0.012738853503184714
Leipzig,Osmia bicornis,4,157,0.025477707006369428
Leipzig,Osmia brevicornis,3,157,0.01910828025477707
Leipzig,Osmia caerulescens,2,157,0.012738853503184714
Leipzig,Osmia cornuta,6,157,0.03821656050955414
Leipzig,Oxythyrea funesta,4,157,0.025477707006369428
Leipzig,Philanthus triangulum,1,157,0.006369426751592357
Leipzig,Physocephala rufipes,1,157,0.006369426751592357
Leipzig,Pieris napi,5,157,0.03184713375796178
Leipzig,Pieris rapae,3,157,0.01910828025477707
Leipzig,Platystoma seminationis,1,157,0.006369426751592357
Leipzig,Polyommatus icarus,5,157,0.03184713375796178
Leipzig,Pseudovadonia livida,8,157,0.050955414012738856
Leipzig,Sicus ferrugineus,1,157,0.006369426751592357
Leipzig,Sphaerophoria scripta,9,157,0.05732484076433121
Leipzig,Sphecodes albilabris,2,157,0.012738853503184714
Leipzig,Sphecodes pellucidus,1,157,0.006369426751592357
Leipzig,Sphecodes puncticeps,1,157,0.006369426751592357
Leipzig,Sphex funerarius,1,157,0.006369426751592357
Leipzig,Stelis punctulatissima,1,157,0.006369426751592357
Leipzig,Tachina nupta,1,157,0.006369426751592357
Leipzig,Tiphia femorata,1,157,0.006369426751592357
Leipzig,Trichius gallicus,2,157,0.012738853503184714
Leipzig,Valgus hemipterus,2,157,0.012738853503184714
Leipzig,Villa modesta,3,157,0.01910828025477707
Leipzig,Volucella zonaria,7,157,0.044585987261146494
Leipzig,Xylocopa violacea,29,157,0.18471337579617833
