Botanical_garden,Plant,Week,Total_floral_abundance,Total_sampling_time
Halle,Taraxacum officinale,15,180,6
Halle,Taraxacum officinale,16,230,12
Halle,Taraxacum officinale,17,80,6
Halle,Teucrium scorodonia,26,20000,3
Halle,Thalictrum flavum,25,1000,3
Halle,Thymus vulgaris,21,30000,6
Halle,Trifolium rubens,24,1000,3
Halle,Tulipa sylvestris,16,160,18
Halle,Valeriana phu,22,4000,3
Halle,Verbena rigida,23,40,3
Halle,Verbena rigida,26,1650,3
Halle,Vincetoxicum hirundinaria,28,75,15
Halle,Vincetoxicum hirundinaria,29,20,15
Halle,Vincetoxicum hirundinaria,31,28,15
Halle,Vincetoxicum hirundinaria,32,32,15
Halle,Vincetoxicum hirundinaria,33,252,15
Halle,Vincetoxicum hirundinaria,34,250,15
Halle,Viola odorata,13,250,45
Halle,Viola odorata,14,100,15
Halle,Viscaria vulgaris,16,40,15
Halle,Viscaria vulgaris,17,200,15
Halle,Viscaria vulgaris,18,380,15
Halle,Viscaria vulgaris,19,500,15
Halle,Wisteria sinensis,20,7000,3
Halle,Zinnia elegans,33,200,3
Halle,Zinnia elegans,34,150,3
Jena,Acantholimon ulicinum,27,675,3
Jena,Acantholimon ulicinum,29,105,3
Jena,Achillea filipendulina,27,8,3
Jena,Achillea filipendulina,28,10000,3
Jena,Achillea filipendulina,29,2000,3
Jena,Achillea millefolium,24,90,15
Jena,Achillea millefolium,26,1400,3
Jena,Achillea millefolium,27,1000,15
Jena,Achillea millefolium,28,2200,15
Jena,Achillea millefolium,29,1218,15
Jena,Achillea millefolium,31,400,15
Jena,Achillea millefolium,32,300,15
Jena,Agapanthus africanus,31,200,3
Jena,Alkanna orientalis,20,300,3
Jena,Alkanna orientalis,22,138,3
Jena,Alkanna orientalis,23,120,3
Jena,Allium cernuum,25,1600,3
Jena,Allium tuberosum,33,1058,3
Jena,Allium ursinum,19,1150,15
Jena,Allium ursinum,20,300,15
Jena,Anthyllis vulneraria,23,1400,3
Jena,Anthyllis vulneraria,24,1000,3
Jena,Anthyllis vulneraria,25,1300,3
Jena,Aquilegia vulgaris,23,30,15
Jena,Arabis alpina,15,500,3
Jena,Asphodelus albus,20,116,15
Jena,Asphodelus albus,22,500,3
Jena,Aubrieta pinardii,15,600,3
Jena,Aubrieta pinardii,17,350,15
Jena,Aubrieta pinardii,18,300,3
Jena,Aubrieta pinardii,19,175,3
Jena,Baptisia australis,23,561,3
Jena,Baptisia australis,24,420,3
Jena,Bellis perennis,19,1000,3
Jena,Bergenia ciliata,15,50,3
Jena,Bergenia purpurascens,15,21,15
Jena,Betonica alopecuros,33,424,3
Jena,Betonica officinalis,27,296,15
Jena,Betonica officinalis,28,750,15
Jena,Betonica officinalis,29,322,15
Jena,Borago officinalis,25,175,3
Jena,Brassica oleracea,21,460,3
Jena,Brunnera macrophylla,17,380,15
Jena,Brunnera macrophylla,18,200,15
Jena,Brunnera macrophylla,19,420,15
Jena,Brunnera macrophylla,21,150,15
Jena,Brunnera macrophylla,22,23,15
Jena,Buddleja davidii,32,120,3
Jena,Campanula,26,120,3
Jena,Campanula,29,22,3
Jena,Campanula alliariifolia,27,300,3
Jena,Campanula alliariifolia,29,200,3
Jena,Campanula glomerata,23,280,6
Jena,Campanula lactiflora,26,130,3
Jena,Campanula lactiflora,27,344,3
Jena,Campanula persicifolia,24,63,3
Jena,Campanula pyramidalis,33,15,3
Jena,Campanula rapunculoides,25,34,3
Jena,Campanula rapunculoides,26,224,3
Jena,Campanula rotundifolia,23,73,30
Jena,Campanula rotundifolia,24,5,15
Jena,Cardamine pratensis,17,1200,15
Jena,Cardamine pratensis,18,800,3
Jena,Cardamine pratensis,19,15,3
Jena,Centaurea scabiosa,26,36,3
Jena,Centaurea stoebe,27,98,3
Jena,Centaurea subtilis,29,25,3
Jena,Cerastium arvense,20,225,3
Jena,Cerastium arvense,21,450,3
Jena,Chamaecytisus austriacus,26,120,3
Jena,Chamaecytisus hirsutus,27,220,3
Jena,Chelidonium majus,19,70,15
Jena,Chelidonium majus,20,68,15
Jena,Chelidonium majus,21,75,15
Jena,Cichorium intybus,31,40,3
Jena,Clematis recta,25,1350,15
Jena,Coronilla orientalis,24,41,3
Jena,Coronilla varia,26,1728,3
Jena,Coronilla varia,27,294,15
Jena,Coronilla varia,28,175,15
Jena,Coronilla varia,29,8000,15
Jena,Coronilla varia,31,120,15
Jena,Corydalis cava,14,470,9
Jena,Corydalis cava,15,1500,3
Jena,Cytisophyllum sessilifolium,20,5000,3
Jena,Cytisophyllum sessilifolium,21,6000,6
Jena,Cytisophyllum sessilifolium,22,500,3
Jena,Dasiphora fruticosa,33,110,3
Jena,Daucus carota,32,1800,3
Jena,Desmodium canadense,29,130,3
Jena,Dianthus petraeus,23,125,3
Jena,Dictamnus albus,24,144,15
Jena,Digitalis grandiflora,25,540,3
Jena,Digitalis obscura,25,10,3
Jena,Dracocephalum rupestre,28,70,3
Jena,Erigeron annuus,27,600,3
Jena,Erigeron annuus,31,200,3
Jena,Eriocapitella hupehensis,28,90,15
Jena,Eriocapitella hupehensis,29,157,15
Jena,Eriocapitella hupehensis,31,250,18
Jena,Eriocapitella hupehensis,32,120,15
Jena,Eriocapitella hupehensis,33,6,15
Jena,Euphorbia nicaeensis,25,1840,6
Jena,Eutrochium maculatum,31,50,3
Jena,Fagopyrum esculentum,33,2250,3
Jena,Fuchsia magellanica,32,83,3
Jena,Fuchsia magellanica,33,73,15
Jena,Galega officinalis,26,2400,3
Jena,Galega officinalis,27,750,15
Jena,Galega officinalis,28,500,15
Jena,Galega officinalis,29,775,15
Jena,Galega officinalis,31,80,15
Jena,Galega officinalis,32,100,15
Jena,Genista germanica,18,2500,3
Jena,Genista germanica,19,2500,3
Jena,Genista tinctoria,26,1500,3
Jena,Genista tinctoria,27,960,15
Jena,Geranium,23,200,3
Jena,Geranium molle,19,75,3
Jena,Geranium sanguineum,20,35,15
Jena,Geranium sanguineum,21,44,15
Jena,Geranium sanguineum,22,62,15
Jena,Geranium sanguineum,23,74,15
Jena,Geranium sanguineum,24,39,15
Jena,Geranium sanguineum,25,16,15
Jena,Geum rivale,18,50,15
Jena,Geum rivale,19,100,15
Jena,Geum rivale,20,120,15
Jena,Globularia cordifolia,20,60,3
Jena,Helichrysum arenarium,29,860,3
Jena,Hepatica nobilis,14,100,20
Jena,Hepatica nobilis,15,200,15
Jena,Hepatica nobilis,18,6,15
Jena,Heracleum sphondylium,31,110,3
Jena,Heuchera villosa,33,1500,3
Jena,Hieracium,31,30,3
Jena,Hypericum fragile,23,42,3
Jena,Hypericum hookerianum,27,50,3
Jena,Hypericum hookerianum,28,23,3
Jena,Hypericum olympicum,24,40,15
Jena,Hypericum olympicum,25,32,15
Jena,Hypericum perforatum,26,90,3
Jena,Hypericum perforatum,27,58,15
Jena,Hypericum perforatum,28,60,15
Jena,Iberis sempervirens,15,300,3
Jena,Iberis sempervirens,17,7000,30
Jena,Iberis sempervirens,18,4500,15
Jena,Iberis sempervirens,19,8000,15
Jena,Iberis sempervirens,20,2800,15
Jena,Iberis sempervirens,21,2250,15
Jena,Inula salicina,26,39,3
Jena,Ipheion uniflorum,17,200,15
Jena,Iris germanica,22,110,3
Jena,Iris pseudacorus,15,40,3
Jena,Jacobaea erucifolia,29,315,3
Jena,Knautia arvensis,32,1800,3
Jena,Lactuca macrophylla,33,300,3
Jena,Lactuca plumieri,32,750,3
Jena,Lamium album,20,100,15
Jena,Lamium album,21,150,15
Jena,Lamium album,22,540,15
Jena,Lamium galeobdolon,18,500,3
Jena,Lamium galeobdolon,19,1500,3
Jena,Lamium orvala,17,35,15
Jena,Lathyrus aureus,20,1600,3
Jena,Lathyrus aureus,21,500,6
Jena,Lathyrus niger,22,2000,9
Jena,Lathyrus pratensis,28,150,3
Jena,Lathyrus vernus,14,100,3
Jena,Lathyrus vernus,17,1235,45
Jena,Lathyrus vernus,18,1000,18
Jena,Lathyrus vernus,19,75,15
Jena,Lavandula angustifolia,26,2300,3
Jena,Lavandula angustifolia,27,9000,15
Jena,Lavandula angustifolia,28,12600,15
Jena,Lavandula angustifolia,29,11550,15
Jena,Lavandula angustifolia,31,1600,15
Jena,Lavandula angustifolia,32,350,15
Jena,Lavandula angustifolia,33,250,15
Jena,Leucanthemum vulgare,24,20,15
Jena,Leucanthemum vulgare,25,350,15
Jena,Leucanthemum vulgare,26,30,3
Jena,Limonium gmelini,32,1300,3
Jena,Lindelofia anchusoides,23,800,3
Jena,Linum perenne,21,95,15
Jena,Linum perenne,22,84,15
Jena,Linum perenne,23,114,15
Jena,Linum perenne,24,65,15
Jena,Linum perenne,25,13,15
