Species,Phenology,Voltinism,Comment,Reference1
Lasioglossum leucozonium,unimodal,univoltine,NA,https://www.wildbienen.de/eb-lleuc.htm
Anthrenus scrophulariae,unimodal,univoltine,NA,https://schaedlingskunde.de/schaedlinge/steckbriefe/kaefer/gefurchter-dickmaulruessler-otiorhynchus-sulcatus/gefurchter-dickmaulruessler-otiorhynchus-sulcatus/
Prosena siberita,unimodal,univoltine,NA,https://en.wikipedia.org/wiki/Prosena_siberita
Sphaerophoria rueppellii,uni_bimodal,NA,from_data,NA
Ceratina cyanea,unimodal,univoltine,NA,https://www.wildbienen.de/eb-ccyan.htm
Lapposyrphus lapponicus,uni_bimodal,NA,from_data,NA
Bombus soroeensis,unimodal,univoltine,NA,https://www.wildbienen.de/b-soroee.htm
Anthophora aestivalis,unimodal,univoltine,NA,https://www.wildbienen.de/eb-aaest.htm
Macropis fulvipes,unimodal,univoltine,NA,https://www.wildbienen.de/eb-mfulv.htm
Lasioglossum pauxillum,unimodal,univoltine,NA,https://www.wildbienen.de/eb-lpaux.htm
Hemipenthes maura,unimodal,NA,from_data,NA
Andrena pilipes,bimodal,bivoltine,NA,https://www.wildbienen.de/eb-apili.htm
Megachile rotundata,unimodal,univoltine,NA,https://www.wildbienen.de/eb-mrotu.htm
Lasioglossum pallens,unimodal,univoltine,NA,https://www.wildbienen.de/eb-lpall.htm
Lasioglossum fulvicorne,bimodal,univoltine,overwintered females,https://www.wildbienen.de/wba-kale.htm
Hylaeus brevicornis,unimodal,uni-bivoltine,NA,https://www.wildbienen.de/wba-kale.htm
Andrena curvungula,unimodal,univoltine,NA,https://www.wildbienen.de/eb-acurv.htm
Megachile pilidens,unimodal,univoltine,NA,https://www.wildbienen.de/eb-mpili.htm
Sphecodes monilicornis,uni_bimodal,univoltine,overwintered females,https://www.wildbienen.de/eb-smoni.htm
Lasioglossum politum,bimodal,bivoltine,NA,http://www.atlashymenoptera.net/page.aspx?id=95
Coelioxys afra,unimodal,univoltine,NA,https://www.wildbienen.de/eb-cafra.htm
Hylaeus nigritus,unimodal,univoltine,NA,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515492-190818/hylaeus-nigritus-.html
Pollenia vagabunda,uni_bimodal,NA,from_data,NA
Megachile circumcincta,unimodal,univoltine,NA,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515909-190818/megachile-circumcincta-.html
Lasioglossum laticeps,bimodal,univoltine,likely overwintered females,https://www.wildbienen.de/wba-kale.htm
Lasioglossum villosulum,bimodal,univoltine,overwintered females,https://www.wildbienen.de/wba-kale.htm
Bombylius venosus,unimodal,univoltine,from_data and by checking other bombylius,NA
Dinetus pictus,unimodal,NA,from_data,NA
Gymnosoma nudifrons,unimodal,NA,from_data,NA
Ancistrocerus gazella,unimodal,univoltine,NA,https://bwars.com/wasp/vespidae/eumeninae/ancistrocerus-gazella
Cerceris quadricincta,unimodal,NA,from_data,NA
Megachile lagopoda,unimodal,univoltine,NA,https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515912-190818/megachile-lagopoda-.html
Gymnomerus laevipes,unimodal,univoltine,NA,https://bwars.com/index.php/wasp/vespidae/eumeninae/gymnomerus-laevipes
Lasioglossum interruptum,bimodal,univoltine,overwintered females,https://www.wildbienen.de/eb-lniti.htm
Osmia brevicornis,unimodal,univoltine,NA,https://www.wildbienen.de/eb-obrev.htm
Andrena fulvago,unimodal,univoltine,NA,https://www.wildbienen.de/eb-afago.htm
Nomada flavoguttata,uni_bimodal,uni-bivoltine,depending on host,https://www.wildbienen.de/eb-nflag.htm
Megachile versicolor,unimodal,univoltine,NA,https://www.wildbienen.de/eb-mrotu.htm
Hylaeus confusus,uni_bimodal,uni-bivoltine,partially bivoltine,https://www.wildbienen.de/eb-hconf.htm
Cerceris quinquefasciata,unimodal,univoltine,from_data and by checking other spp from the genus,NA
Phasia barbifrons,unimodal,NA,from_data,NA
Nysson maculosus,unimodal,univoltine,from_data and by checking other spp from the genus,https://bwars.com/wasp/crabronidae/nyssoninae/nysson-spinosus
Hylaeus punctatus,unimodal,univoltine,NA,https://www.wildbienen.de/eb-hylae.htm
Lasioglossum nitidulum,bimodal,univoltine,overwintered females,https://www.wildbienen.de/eb-lniti.htm
Phasia pusilla,bimodal,bivoltine,from_data and by checking other spp from the genus,10.11646/zootaxa.276.1.1
Bombus subterraneus,unimodal,univoltine,overwintered females,https://www.wildbienen.de/b-subter.htm
Chrysogaster virescens,unimodal,univoltine,from_data,NA
Coelioxys aurolimbatus,unimodal,univoltine,NA,https://www.wildbienen.de/eb-cauro.htm
Thyreus orbatus,unimodal,univoltine,NA,https://www.wildbienen.de/eb-torba.htm
Miltogramma punctata,unimodal,univoltine,parasite of a univoltine bee,https://bwars.com/index.php/bee/colletidae/colletes-daviesanus
Andrena minutuloides,uni_bimodal,uni-bivoltine,NA,https://www.wildbienen.de/eb-nflag.htm
Coelioxys elongatus,unimodal,univoltine,from_data and by checking other spp from the genus,https://www.wildbienen.de/eb-celon.htm
Sphecodes pellucidus,uni_bimodal,uni-bivoltine,overwintered females,https://www.wildbienen.de/eb-spell.htm
Lasioglossum minutissimum,bimodal,univoltine,from_data and by checking other spp from the genus,NA
Hedychrum gerstaeckeri,unimodal,univoltine,from_data and by checking other spp from the genus,https://bwars.com/wasp/chrysididae/elampinae/hedychrum-rutilans
Sphecodes ferruginatus,unimodal,univoltine,overwintered females,https://www.wildbienen.de/eb-lpaux.htm
Miltogramma germari,unimodal,NA,from_data,NA
Pollenia amentaria,uni_bimodal,NA,from_data,NA
Coelioxys rufescens,unimodal,univoltine,NA,https://www.wildbienen.de/eb-crufe.htm
Pollenia pediculata,uni_bimodal,NA,from_data,NA
Bellardia viarum,uni_bimodal,NA,from_data,NA
Lasioglossum nitidiusculum,bimodal,univoltine,NA,https://www.wildbienen.de/eb-smini.htm
Megachile alpicola,uni_bimodal,uni-bivoltine,NA,https://www.wildbienen.de/eb-coeli.htm
Andrena chrysopus,unimodal,univoltine,NA,https://www.wildbienen.info/steckbriefe/andrena_chrysopus.php
Botanophila striolata,unimodal,univoltine,NA,https://fr.wikipedia.org/wiki/Botanophila
Andrena gelriae,unimodal,univoltine,NA,https://tb.plazi.org/GgServer/html/0D122CEAEEA15B569D1499B89A734371
Eurychaeta palpalis,unimodal,univoltine,NA,https://www.gbif.org/es/species/1504840/metrics
Leucophora personata,unimodal,univoltine,NA,https://www.gbif.org/es/species/5077791/metrics
Dasysyrphus albostriatus,unimodal,univoltine,NA,https://www.gbif.org/es/species/1542111/metrics
Cylindromyia brevicornis,unimodal,univoltine,NA,https://www.gbif.org/es/species/1473651/metrics
Entomophaga nigrohalterata,unimodal,univoltine,NA,https://www.gbif.org/es/species/1478649/metrics
Litophasia hyalipennis,unimodal,univoltine,NA,https://www.gbif.org/es/species/1462994/metrics
Sphecodes puncticeps,unimodal,univoltine,NA,https://www.gbif.org/species/1351481
Sarcophaga subvicina,unimodal,univoltine,NA,https://www.gbif.org/species/4518758/metrics
Trichopsomyia flavitarsis,unimodal,univoltine,NA,https://www.gbif.org/es/species/1538647/metrics
Sarcophaga incisilobata,unimodal,univoltine,NA,https://www.gbif.org/es/species/4518769/metrics
Bombus cryptarum,unimodal,univoltine,NA,https://www.gbif.org/es/species/5870368/metrics
Merziella longirostris,unimodal,univoltine,NA,https://www.gbif.org/es/species/9724739/metrics
Nomada fucata,unimodal,univoltine,NA,https://www.gbif.org/es/species/1343957/metrics
Andrena strohmella,unimodal,univoltine,NA,https://www.gbif.org/es/species/8221007/metrics
Crossocerus podagricus,unimodal,univoltine,NA,https://www.gbif.org/es/species/4494906/metrics
Microphthalma europaea,,univoltine,NA,https://www.gbif.org/es/species/1466205
Lasioglossum pygmaeum,,univoltine,NA,https://www.gbif.org/es/species/1354645/metrics
