Plant_genus,Pollinator_genus,Total_interactions,Botanical_garden,Week,Sample
Pycnanthemum,Pieris,38,Leipzig,29,1
Pycnanthemum,Polyommatus,2,Leipzig,29,1
Pycnanthemum,Sphecodes,2,Leipzig,29,1
Pycnanthemum,Xylocopa,1,Leipzig,29,1
Salvia,Apis,1,Leipzig,29,1
Salvia,Bombus,13,Leipzig,29,1
Salvia,Hylaeus,1,Leipzig,29,1
Salvia,Lasioglossum,1,Leipzig,29,1
Salvia,Pieris,5,Leipzig,29,1
Tanacetum,Aglais,1,Leipzig,29,1
Tanacetum,Anthidium,4,Leipzig,29,1
Tanacetum,Apis,63,Leipzig,29,1
Tanacetum,Bombus,2196,Leipzig,29,1
Tanacetum,Cerceris,3,Leipzig,29,1
Tanacetum,Hylaeus,203,Leipzig,29,1
Tanacetum,Lasioglossum,156,Leipzig,29,1
Tanacetum,Lucilia,5,Leipzig,29,1
Tanacetum,Megachile,11,Leipzig,29,1
Tanacetum,Myathropa,18,Leipzig,29,1
Tanacetum,Pieris,362,Leipzig,29,1
Tanacetum,Polyommatus,13,Leipzig,29,1
Tanacetum,Sphecodes,10,Leipzig,29,1
Tanacetum,Xylocopa,3,Leipzig,29,1
Veronica,Apis,3,Leipzig,29,1
Veronica,Bombus,132,Leipzig,29,1
Veronica,Hylaeus,9,Leipzig,29,1
Veronica,Lasioglossum,6,Leipzig,29,1
Veronica,Myathropa,1,Leipzig,29,1
Veronica,Pieris,23,Leipzig,29,1
Anthericum,Anthidium,1,Leipzig,29,2
Anthericum,Apis,2,Leipzig,29,2
Anthericum,Bombus,118,Leipzig,29,2
Anthericum,Eupeodes,1,Leipzig,29,2
Anthericum,Hylaeus,11,Leipzig,29,2
Anthericum,Lasioglossum,5,Leipzig,29,2
Anthericum,Pieris,25,Leipzig,29,2
Anthericum,Sphecodes,1,Leipzig,29,2
Centaurea,Bombus,21,Leipzig,29,2
Centaurea,Hylaeus,3,Leipzig,29,2
Centaurea,Lasioglossum,4,Leipzig,29,2
Centaurea,Pieris,5,Leipzig,29,2
Centranthus,Anthidium,1,Leipzig,29,2
Centranthus,Apis,4,Leipzig,29,2
Centranthus,Bombus,78,Leipzig,29,2
Centranthus,Hylaeus,7,Leipzig,29,2
Centranthus,Lasioglossum,8,Leipzig,29,2
Centranthus,Pieris,21,Leipzig,29,2
Cephalaria,Bombus,5,Leipzig,29,2
Cephalaria,Hylaeus,1,Leipzig,29,2
Cichorium,Bombus,25,Leipzig,29,2
Cichorium,Hylaeus,1,Leipzig,29,2
Cichorium,Lasioglossum,1,Leipzig,29,2
Cichorium,Pieris,1,Leipzig,29,2
Cichorium,Sphecodes,1,Leipzig,29,2
Echinacea,Bombus,28,Leipzig,29,2
Echinacea,Lasioglossum,1,Leipzig,29,2
Echinacea,Pieris,4,Leipzig,29,2
Hypericum,Bombus,6,Leipzig,29,2
Hypericum,Pieris,1,Leipzig,29,2
Lavandula,Anthidium,4,Leipzig,29,2
Lavandula,Apis,25,Leipzig,29,2
Lavandula,Bombus,1204,Leipzig,29,2
Lavandula,Cerceris,3,Leipzig,29,2
Lavandula,Hylaeus,116,Leipzig,29,2
Lavandula,Lasioglossum,78,Leipzig,29,2
Lavandula,Lucilia,4,Leipzig,29,2
Lavandula,Megachile,8,Leipzig,29,2
Lavandula,Myathropa,3,Leipzig,29,2
Lavandula,Philanthus,1,Leipzig,29,2
Lavandula,Pieris,185,Leipzig,29,2
Lavandula,Polyommatus,7,Leipzig,29,2
Lavandula,Sphecodes,5,Leipzig,29,2
Lavandula,Xylocopa,2,Leipzig,29,2
Lomelosia,Apis,2,Leipzig,29,2
Lomelosia,Bombus,13,Leipzig,29,2
Lomelosia,Hylaeus,2,Leipzig,29,2
Lomelosia,Lasioglossum,1,Leipzig,29,2
Lomelosia,Pieris,3,Leipzig,29,2
Lomelosia,Polyommatus,1,Leipzig,29,2
Monarda,Aglais,1,Leipzig,29,2
Monarda,Apis,8,Leipzig,29,2
Monarda,Bombus,347,Leipzig,29,2
Monarda,Hylaeus,36,Leipzig,29,2
Monarda,Lasioglossum,33,Leipzig,29,2
Monarda,Myathropa,5,Leipzig,29,2
Monarda,Philanthus,2,Leipzig,29,2
Monarda,Pieris,48,Leipzig,29,2
Monarda,Polyommatus,2,Leipzig,29,2
Monarda,Sphecodes,3,Leipzig,29,2
Monarda,Xylocopa,1,Leipzig,29,2
Pycnanthemum,Anthidium,2,Leipzig,29,2
Pycnanthemum,Apis,6,Leipzig,29,2
Pycnanthemum,Bombus,263,Leipzig,29,2
Pycnanthemum,Hylaeus,21,Leipzig,29,2
Pycnanthemum,Lasioglossum,27,Leipzig,29,2
Pycnanthemum,Lucilia,2,Leipzig,29,2
Pycnanthemum,Megachile,1,Leipzig,29,2
Pycnanthemum,Myathropa,3,Leipzig,29,2
Pycnanthemum,Pieris,38,Leipzig,29,2
Pycnanthemum,Polyommatus,2,Leipzig,29,2
Pycnanthemum,Sphecodes,2,Leipzig,29,2
Pycnanthemum,Xylocopa,1,Leipzig,29,2
Salvia,Apis,1,Leipzig,29,2
Salvia,Bombus,13,Leipzig,29,2
Salvia,Hylaeus,1,Leipzig,29,2
Salvia,Lasioglossum,1,Leipzig,29,2
Salvia,Pieris,5,Leipzig,29,2
Tanacetum,Aglais,1,Leipzig,29,2
Tanacetum,Anthidium,4,Leipzig,29,2
Tanacetum,Apis,63,Leipzig,29,2
Tanacetum,Bombus,2196,Leipzig,29,2
Tanacetum,Cerceris,3,Leipzig,29,2
Tanacetum,Hylaeus,203,Leipzig,29,2
Tanacetum,Lasioglossum,156,Leipzig,29,2
Tanacetum,Lucilia,5,Leipzig,29,2
Tanacetum,Megachile,11,Leipzig,29,2
Tanacetum,Myathropa,18,Leipzig,29,2
Tanacetum,Pieris,362,Leipzig,29,2
Tanacetum,Polyommatus,13,Leipzig,29,2
Tanacetum,Sphecodes,10,Leipzig,29,2
Tanacetum,Xylocopa,3,Leipzig,29,2
Veronica,Apis,3,Leipzig,29,2
Veronica,Bombus,132,Leipzig,29,2
Veronica,Hylaeus,9,Leipzig,29,2
Veronica,Lasioglossum,6,Leipzig,29,2
Veronica,Myathropa,1,Leipzig,29,2
Veronica,Pieris,23,Leipzig,29,2
Anthericum,Anthidium,1,Leipzig,29,3
Anthericum,Apis,2,Leipzig,29,3
Anthericum,Bombus,118,Leipzig,29,3
Anthericum,Eupeodes,1,Leipzig,29,3
Anthericum,Hylaeus,11,Leipzig,29,3
Anthericum,Lasioglossum,5,Leipzig,29,3
Anthericum,Pieris,25,Leipzig,29,3
Anthericum,Sphecodes,1,Leipzig,29,3
Centaurea,Bombus,21,Leipzig,29,3
Centaurea,Hylaeus,3,Leipzig,29,3
Centaurea,Lasioglossum,4,Leipzig,29,3
Centaurea,Pieris,5,Leipzig,29,3
Centranthus,Anthidium,1,Leipzig,29,3
Centranthus,Apis,4,Leipzig,29,3
Centranthus,Bombus,78,Leipzig,29,3
Centranthus,Hylaeus,7,Leipzig,29,3
Centranthus,Lasioglossum,8,Leipzig,29,3
Centranthus,Pieris,21,Leipzig,29,3
Cephalaria,Bombus,5,Leipzig,29,3
Cephalaria,Hylaeus,1,Leipzig,29,3
Cichorium,Bombus,25,Leipzig,29,3
Cichorium,Hylaeus,1,Leipzig,29,3
Cichorium,Lasioglossum,1,Leipzig,29,3
Cichorium,Pieris,1,Leipzig,29,3
Cichorium,Sphecodes,1,Leipzig,29,3
Echinacea,Bombus,28,Leipzig,29,3
Echinacea,Lasioglossum,1,Leipzig,29,3
Echinacea,Pieris,4,Leipzig,29,3
Hypericum,Bombus,6,Leipzig,29,3
Hypericum,Pieris,1,Leipzig,29,3
Lavandula,Anthidium,4,Leipzig,29,3
Lavandula,Apis,25,Leipzig,29,3
Lavandula,Bombus,1204,Leipzig,29,3
Lavandula,Cerceris,3,Leipzig,29,3
Lavandula,Hylaeus,116,Leipzig,29,3
Lavandula,Lasioglossum,78,Leipzig,29,3
Lavandula,Lucilia,4,Leipzig,29,3
Lavandula,Megachile,8,Leipzig,29,3
Lavandula,Myathropa,3,Leipzig,29,3
Lavandula,Philanthus,1,Leipzig,29,3
Lavandula,Pieris,185,Leipzig,29,3
Lavandula,Polyommatus,7,Leipzig,29,3
Lavandula,Sphecodes,5,Leipzig,29,3
Lavandula,Xylocopa,2,Leipzig,29,3
Lomelosia,Apis,2,Leipzig,29,3
Lomelosia,Bombus,13,Leipzig,29,3
Lomelosia,Hylaeus,2,Leipzig,29,3
Lomelosia,Lasioglossum,1,Leipzig,29,3
Lomelosia,Pieris,3,Leipzig,29,3
Lomelosia,Polyommatus,1,Leipzig,29,3
Monarda,Aglais,1,Leipzig,29,3
Monarda,Apis,8,Leipzig,29,3
Monarda,Bombus,347,Leipzig,29,3
Monarda,Hylaeus,36,Leipzig,29,3
Monarda,Lasioglossum,33,Leipzig,29,3
Monarda,Myathropa,5,Leipzig,29,3
Monarda,Philanthus,2,Leipzig,29,3
Monarda,Pieris,48,Leipzig,29,3
Monarda,Polyommatus,2,Leipzig,29,3
Monarda,Sphecodes,3,Leipzig,29,3
Monarda,Xylocopa,1,Leipzig,29,3
Pycnanthemum,Anthidium,2,Leipzig,29,3
Pycnanthemum,Apis,6,Leipzig,29,3
Pycnanthemum,Bombus,263,Leipzig,29,3
Pycnanthemum,Hylaeus,21,Leipzig,29,3
Pycnanthemum,Lasioglossum,27,Leipzig,29,3
Pycnanthemum,Lucilia,2,Leipzig,29,3
Pycnanthemum,Megachile,1,Leipzig,29,3
Pycnanthemum,Myathropa,3,Leipzig,29,3
Pycnanthemum,Pieris,38,Leipzig,29,3
Pycnanthemum,Polyommatus,2,Leipzig,29,3
Pycnanthemum,Sphecodes,2,Leipzig,29,3
Pycnanthemum,Xylocopa,1,Leipzig,29,3
Salvia,Apis,1,Leipzig,29,3
Salvia,Bombus,13,Leipzig,29,3
Salvia,Hylaeus,1,Leipzig,29,3
Salvia,Lasioglossum,1,Leipzig,29,3
Salvia,Pieris,5,Leipzig,29,3
Tanacetum,Aglais,1,Leipzig,29,3
Tanacetum,Anthidium,4,Leipzig,29,3
Tanacetum,Apis,63,Leipzig,29,3
Tanacetum,Bombus,2196,Leipzig,29,3
Tanacetum,Cerceris,3,Leipzig,29,3
Tanacetum,Hylaeus,203,Leipzig,29,3
Tanacetum,Lasioglossum,156,Leipzig,29,3
Tanacetum,Lucilia,5,Leipzig,29,3
Tanacetum,Megachile,11,Leipzig,29,3
Tanacetum,Myathropa,18,Leipzig,29,3
Tanacetum,Pieris,362,Leipzig,29,3
Tanacetum,Polyommatus,13,Leipzig,29,3
Tanacetum,Sphecodes,10,Leipzig,29,3
Tanacetum,Xylocopa,3,Leipzig,29,3
Veronica,Apis,3,Leipzig,29,3
Veronica,Bombus,132,Leipzig,29,3
Veronica,Hylaeus,9,Leipzig,29,3
Veronica,Lasioglossum,6,Leipzig,29,3
Veronica,Myathropa,1,Leipzig,29,3
Veronica,Pieris,23,Leipzig,29,3
Anthericum,Anthidium,1,Leipzig,29,4
Anthericum,Apis,2,Leipzig,29,4
Anthericum,Bombus,118,Leipzig,29,4
Anthericum,Eupeodes,1,Leipzig,29,4
Anthericum,Hylaeus,11,Leipzig,29,4
Anthericum,Lasioglossum,5,Leipzig,29,4
Anthericum,Pieris,25,Leipzig,29,4
Anthericum,Sphecodes,1,Leipzig,29,4
Centaurea,Bombus,21,Leipzig,29,4
Centaurea,Hylaeus,3,Leipzig,29,4
Centaurea,Lasioglossum,4,Leipzig,29,4
Centaurea,Pieris,5,Leipzig,29,4
Centranthus,Anthidium,1,Leipzig,29,4
Centranthus,Apis,4,Leipzig,29,4
Centranthus,Bombus,78,Leipzig,29,4
Centranthus,Hylaeus,7,Leipzig,29,4
Centranthus,Lasioglossum,8,Leipzig,29,4
Centranthus,Pieris,21,Leipzig,29,4
Cephalaria,Bombus,5,Leipzig,29,4
Cephalaria,Hylaeus,1,Leipzig,29,4
Cichorium,Bombus,25,Leipzig,29,4
Cichorium,Hylaeus,1,Leipzig,29,4
Cichorium,Lasioglossum,1,Leipzig,29,4
Cichorium,Pieris,1,Leipzig,29,4
Cichorium,Sphecodes,1,Leipzig,29,4
Echinacea,Bombus,28,Leipzig,29,4
Echinacea,Lasioglossum,1,Leipzig,29,4
Echinacea,Pieris,4,Leipzig,29,4
Hypericum,Bombus,6,Leipzig,29,4
Hypericum,Pieris,1,Leipzig,29,4
Lavandula,Anthidium,4,Leipzig,29,4
Lavandula,Apis,25,Leipzig,29,4
Lavandula,Bombus,1204,Leipzig,29,4
Lavandula,Cerceris,3,Leipzig,29,4
Lavandula,Hylaeus,116,Leipzig,29,4
Lavandula,Lasioglossum,78,Leipzig,29,4
Lavandula,Lucilia,4,Leipzig,29,4
Lavandula,Megachile,8,Leipzig,29,4
Lavandula,Myathropa,3,Leipzig,29,4
Lavandula,Philanthus,1,Leipzig,29,4
Lavandula,Pieris,185,Leipzig,29,4
Lavandula,Polyommatus,7,Leipzig,29,4
Lavandula,Sphecodes,5,Leipzig,29,4
Lavandula,Xylocopa,2,Leipzig,29,4
Lomelosia,Apis,2,Leipzig,29,4
Lomelosia,Bombus,13,Leipzig,29,4
Lomelosia,Hylaeus,2,Leipzig,29,4
Lomelosia,Lasioglossum,1,Leipzig,29,4
Lomelosia,Pieris,3,Leipzig,29,4
Lomelosia,Polyommatus,1,Leipzig,29,4
Monarda,Aglais,1,Leipzig,29,4
Monarda,Apis,8,Leipzig,29,4
Monarda,Bombus,347,Leipzig,29,4
Monarda,Hylaeus,36,Leipzig,29,4
Monarda,Lasioglossum,33,Leipzig,29,4
Monarda,Myathropa,5,Leipzig,29,4
Monarda,Philanthus,2,Leipzig,29,4
Monarda,Pieris,48,Leipzig,29,4
Monarda,Polyommatus,2,Leipzig,29,4
Monarda,Sphecodes,3,Leipzig,29,4
Monarda,Xylocopa,1,Leipzig,29,4
Pycnanthemum,Anthidium,2,Leipzig,29,4
Pycnanthemum,Apis,6,Leipzig,29,4
Pycnanthemum,Bombus,263,Leipzig,29,4
Pycnanthemum,Hylaeus,21,Leipzig,29,4
Pycnanthemum,Lasioglossum,27,Leipzig,29,4
Pycnanthemum,Lucilia,2,Leipzig,29,4
Pycnanthemum,Megachile,1,Leipzig,29,4
Pycnanthemum,Myathropa,3,Leipzig,29,4
Pycnanthemum,Pieris,38,Leipzig,29,4
Pycnanthemum,Polyommatus,2,Leipzig,29,4
Pycnanthemum,Sphecodes,2,Leipzig,29,4
Pycnanthemum,Xylocopa,1,Leipzig,29,4
Salvia,Apis,1,Leipzig,29,4
Salvia,Bombus,13,Leipzig,29,4
Salvia,Hylaeus,1,Leipzig,29,4
Salvia,Lasioglossum,1,Leipzig,29,4
Salvia,Pieris,5,Leipzig,29,4
Tanacetum,Aglais,1,Leipzig,29,4
Tanacetum,Anthidium,4,Leipzig,29,4
Tanacetum,Apis,63,Leipzig,29,4
Tanacetum,Bombus,2196,Leipzig,29,4
Tanacetum,Cerceris,3,Leipzig,29,4
Tanacetum,Hylaeus,203,Leipzig,29,4
Tanacetum,Lasioglossum,156,Leipzig,29,4
Tanacetum,Lucilia,5,Leipzig,29,4
Tanacetum,Megachile,11,Leipzig,29,4
Tanacetum,Myathropa,18,Leipzig,29,4
Tanacetum,Pieris,362,Leipzig,29,4
Tanacetum,Polyommatus,13,Leipzig,29,4
Tanacetum,Sphecodes,10,Leipzig,29,4
Tanacetum,Xylocopa,3,Leipzig,29,4
Veronica,Apis,3,Leipzig,29,4
Veronica,Bombus,132,Leipzig,29,4
Veronica,Hylaeus,9,Leipzig,29,4
Veronica,Lasioglossum,6,Leipzig,29,4
Veronica,Myathropa,1,Leipzig,29,4
Veronica,Pieris,23,Leipzig,29,4
Anthericum,Anthidium,1,Leipzig,29,5
Anthericum,Apis,2,Leipzig,29,5
Anthericum,Bombus,118,Leipzig,29,5
Anthericum,Eupeodes,1,Leipzig,29,5
Anthericum,Hylaeus,11,Leipzig,29,5
Anthericum,Lasioglossum,5,Leipzig,29,5
Anthericum,Pieris,25,Leipzig,29,5
Anthericum,Sphecodes,1,Leipzig,29,5
Centaurea,Bombus,21,Leipzig,29,5
Centaurea,Hylaeus,3,Leipzig,29,5
Centaurea,Lasioglossum,4,Leipzig,29,5
Centaurea,Pieris,5,Leipzig,29,5
Centranthus,Anthidium,1,Leipzig,29,5
Centranthus,Apis,4,Leipzig,29,5
Centranthus,Bombus,78,Leipzig,29,5
Centranthus,Hylaeus,7,Leipzig,29,5
Centranthus,Lasioglossum,8,Leipzig,29,5
Centranthus,Pieris,21,Leipzig,29,5
Cephalaria,Bombus,5,Leipzig,29,5
Cephalaria,Hylaeus,1,Leipzig,29,5
Cichorium,Bombus,25,Leipzig,29,5
Cichorium,Hylaeus,1,Leipzig,29,5
Cichorium,Lasioglossum,1,Leipzig,29,5
Cichorium,Pieris,1,Leipzig,29,5
Cichorium,Sphecodes,1,Leipzig,29,5
Echinacea,Bombus,28,Leipzig,29,5
Echinacea,Lasioglossum,1,Leipzig,29,5
Echinacea,Pieris,4,Leipzig,29,5
Hypericum,Bombus,6,Leipzig,29,5
Hypericum,Pieris,1,Leipzig,29,5
Lavandula,Anthidium,4,Leipzig,29,5
Lavandula,Apis,25,Leipzig,29,5
Lavandula,Bombus,1204,Leipzig,29,5
Lavandula,Cerceris,3,Leipzig,29,5
Lavandula,Hylaeus,116,Leipzig,29,5
Lavandula,Lasioglossum,78,Leipzig,29,5
Lavandula,Lucilia,4,Leipzig,29,5
Lavandula,Megachile,8,Leipzig,29,5
Lavandula,Myathropa,3,Leipzig,29,5
Lavandula,Philanthus,1,Leipzig,29,5
Lavandula,Pieris,185,Leipzig,29,5
Lavandula,Polyommatus,7,Leipzig,29,5
Lavandula,Sphecodes,5,Leipzig,29,5
Lavandula,Xylocopa,2,Leipzig,29,5
Lomelosia,Apis,2,Leipzig,29,5
Lomelosia,Bombus,13,Leipzig,29,5
Lomelosia,Hylaeus,2,Leipzig,29,5
Lomelosia,Lasioglossum,1,Leipzig,29,5
Lomelosia,Pieris,3,Leipzig,29,5
Lomelosia,Polyommatus,1,Leipzig,29,5
Monarda,Aglais,1,Leipzig,29,5
Monarda,Apis,8,Leipzig,29,5
Monarda,Bombus,347,Leipzig,29,5
Monarda,Hylaeus,36,Leipzig,29,5
Monarda,Lasioglossum,33,Leipzig,29,5
Monarda,Myathropa,5,Leipzig,29,5
Monarda,Philanthus,2,Leipzig,29,5
Monarda,Pieris,48,Leipzig,29,5
Monarda,Polyommatus,2,Leipzig,29,5
Monarda,Sphecodes,3,Leipzig,29,5
Monarda,Xylocopa,1,Leipzig,29,5
Pycnanthemum,Anthidium,2,Leipzig,29,5
Pycnanthemum,Apis,6,Leipzig,29,5
Pycnanthemum,Bombus,263,Leipzig,29,5
Pycnanthemum,Hylaeus,21,Leipzig,29,5
Pycnanthemum,Lasioglossum,27,Leipzig,29,5
Pycnanthemum,Lucilia,2,Leipzig,29,5
Pycnanthemum,Megachile,1,Leipzig,29,5
Pycnanthemum,Myathropa,3,Leipzig,29,5
Pycnanthemum,Pieris,38,Leipzig,29,5
Pycnanthemum,Polyommatus,2,Leipzig,29,5
Pycnanthemum,Sphecodes,2,Leipzig,29,5
Pycnanthemum,Xylocopa,1,Leipzig,29,5
Salvia,Apis,1,Leipzig,29,5
Salvia,Bombus,13,Leipzig,29,5
Salvia,Hylaeus,1,Leipzig,29,5
Salvia,Lasioglossum,1,Leipzig,29,5
Salvia,Pieris,5,Leipzig,29,5
Tanacetum,Aglais,1,Leipzig,29,5
Tanacetum,Anthidium,4,Leipzig,29,5
Tanacetum,Apis,63,Leipzig,29,5
Tanacetum,Bombus,2196,Leipzig,29,5
Tanacetum,Cerceris,3,Leipzig,29,5
Tanacetum,Hylaeus,203,Leipzig,29,5
Tanacetum,Lasioglossum,156,Leipzig,29,5
Tanacetum,Lucilia,5,Leipzig,29,5
Tanacetum,Megachile,11,Leipzig,29,5
Tanacetum,Myathropa,18,Leipzig,29,5
Tanacetum,Pieris,362,Leipzig,29,5
Tanacetum,Polyommatus,13,Leipzig,29,5
Tanacetum,Sphecodes,10,Leipzig,29,5
Tanacetum,Xylocopa,3,Leipzig,29,5
Veronica,Apis,3,Leipzig,29,5
Veronica,Bombus,132,Leipzig,29,5
Veronica,Hylaeus,9,Leipzig,29,5
Veronica,Lasioglossum,6,Leipzig,29,5
Veronica,Myathropa,1,Leipzig,29,5
Veronica,Pieris,23,Leipzig,29,5
Anthericum,Anthidium,1,Leipzig,29,6
Anthericum,Apis,2,Leipzig,29,6
Anthericum,Bombus,118,Leipzig,29,6
Anthericum,Eupeodes,1,Leipzig,29,6
Anthericum,Hylaeus,11,Leipzig,29,6
Anthericum,Lasioglossum,5,Leipzig,29,6
Anthericum,Pieris,25,Leipzig,29,6
Anthericum,Sphecodes,1,Leipzig,29,6
Centaurea,Bombus,21,Leipzig,29,6
Centaurea,Hylaeus,3,Leipzig,29,6
Centaurea,Lasioglossum,4,Leipzig,29,6
Centaurea,Pieris,5,Leipzig,29,6
Centranthus,Anthidium,1,Leipzig,29,6
Centranthus,Apis,4,Leipzig,29,6
Centranthus,Bombus,78,Leipzig,29,6
Centranthus,Hylaeus,7,Leipzig,29,6
Centranthus,Lasioglossum,8,Leipzig,29,6
Centranthus,Pieris,21,Leipzig,29,6
Cephalaria,Bombus,5,Leipzig,29,6
Cephalaria,Hylaeus,1,Leipzig,29,6
Cichorium,Bombus,25,Leipzig,29,6
Cichorium,Hylaeus,1,Leipzig,29,6
Cichorium,Lasioglossum,1,Leipzig,29,6
Cichorium,Pieris,1,Leipzig,29,6
Cichorium,Sphecodes,1,Leipzig,29,6
Echinacea,Bombus,28,Leipzig,29,6
Echinacea,Lasioglossum,1,Leipzig,29,6
Echinacea,Pieris,4,Leipzig,29,6
Hypericum,Bombus,6,Leipzig,29,6
Hypericum,Pieris,1,Leipzig,29,6
Lavandula,Anthidium,4,Leipzig,29,6
Lavandula,Apis,25,Leipzig,29,6
Lavandula,Bombus,1204,Leipzig,29,6
Lavandula,Cerceris,3,Leipzig,29,6
Lavandula,Hylaeus,116,Leipzig,29,6
Lavandula,Lasioglossum,78,Leipzig,29,6
Lavandula,Lucilia,4,Leipzig,29,6
Lavandula,Megachile,8,Leipzig,29,6
Lavandula,Myathropa,3,Leipzig,29,6
Lavandula,Philanthus,1,Leipzig,29,6
Lavandula,Pieris,185,Leipzig,29,6
Lavandula,Polyommatus,7,Leipzig,29,6
Lavandula,Sphecodes,5,Leipzig,29,6
Lavandula,Xylocopa,2,Leipzig,29,6
Lomelosia,Apis,2,Leipzig,29,6
Lomelosia,Bombus,13,Leipzig,29,6
Lomelosia,Hylaeus,2,Leipzig,29,6
Lomelosia,Lasioglossum,1,Leipzig,29,6
Lomelosia,Pieris,3,Leipzig,29,6
Lomelosia,Polyommatus,1,Leipzig,29,6
Monarda,Aglais,1,Leipzig,29,6
Monarda,Apis,8,Leipzig,29,6
Monarda,Bombus,347,Leipzig,29,6
Monarda,Hylaeus,36,Leipzig,29,6
Monarda,Lasioglossum,33,Leipzig,29,6
Monarda,Myathropa,5,Leipzig,29,6
Monarda,Philanthus,2,Leipzig,29,6
Monarda,Pieris,48,Leipzig,29,6
Monarda,Polyommatus,2,Leipzig,29,6
Monarda,Sphecodes,3,Leipzig,29,6
Monarda,Xylocopa,1,Leipzig,29,6
Pycnanthemum,Anthidium,2,Leipzig,29,6
Pycnanthemum,Apis,6,Leipzig,29,6
Pycnanthemum,Bombus,263,Leipzig,29,6
Pycnanthemum,Hylaeus,21,Leipzig,29,6
Pycnanthemum,Lasioglossum,27,Leipzig,29,6
Pycnanthemum,Lucilia,2,Leipzig,29,6
Pycnanthemum,Megachile,1,Leipzig,29,6
Pycnanthemum,Myathropa,3,Leipzig,29,6
Pycnanthemum,Pieris,38,Leipzig,29,6
Pycnanthemum,Polyommatus,2,Leipzig,29,6
Pycnanthemum,Sphecodes,2,Leipzig,29,6
Pycnanthemum,Xylocopa,1,Leipzig,29,6
Salvia,Apis,1,Leipzig,29,6
Salvia,Bombus,13,Leipzig,29,6
Salvia,Hylaeus,1,Leipzig,29,6
Salvia,Lasioglossum,1,Leipzig,29,6
Salvia,Pieris,5,Leipzig,29,6
Tanacetum,Aglais,1,Leipzig,29,6
Tanacetum,Anthidium,4,Leipzig,29,6
Tanacetum,Apis,63,Leipzig,29,6
Tanacetum,Bombus,2196,Leipzig,29,6
Tanacetum,Cerceris,3,Leipzig,29,6
Tanacetum,Hylaeus,203,Leipzig,29,6
Tanacetum,Lasioglossum,156,Leipzig,29,6
Tanacetum,Lucilia,5,Leipzig,29,6
Tanacetum,Megachile,11,Leipzig,29,6
Tanacetum,Myathropa,18,Leipzig,29,6
Tanacetum,Pieris,362,Leipzig,29,6
Tanacetum,Polyommatus,13,Leipzig,29,6
Tanacetum,Sphecodes,10,Leipzig,29,6
Tanacetum,Xylocopa,3,Leipzig,29,6
Veronica,Apis,3,Leipzig,29,6
Veronica,Bombus,132,Leipzig,29,6
Veronica,Hylaeus,9,Leipzig,29,6
Veronica,Lasioglossum,6,Leipzig,29,6
Veronica,Myathropa,1,Leipzig,29,6
Veronica,Pieris,23,Leipzig,29,6
Anthericum,Anthidium,1,Leipzig,29,7
Anthericum,Apis,2,Leipzig,29,7
Anthericum,Bombus,118,Leipzig,29,7
Anthericum,Eupeodes,1,Leipzig,29,7
Anthericum,Hylaeus,11,Leipzig,29,7
Anthericum,Lasioglossum,5,Leipzig,29,7
Anthericum,Pieris,25,Leipzig,29,7
Anthericum,Sphecodes,1,Leipzig,29,7
Centaurea,Bombus,21,Leipzig,29,7
Centaurea,Hylaeus,3,Leipzig,29,7
Centaurea,Lasioglossum,4,Leipzig,29,7
Centaurea,Pieris,5,Leipzig,29,7
Centranthus,Anthidium,1,Leipzig,29,7
Centranthus,Apis,4,Leipzig,29,7
Centranthus,Bombus,78,Leipzig,29,7
Centranthus,Hylaeus,7,Leipzig,29,7
Centranthus,Lasioglossum,8,Leipzig,29,7
Centranthus,Pieris,21,Leipzig,29,7
Cephalaria,Bombus,5,Leipzig,29,7
Cephalaria,Hylaeus,1,Leipzig,29,7
Cichorium,Bombus,25,Leipzig,29,7
Cichorium,Hylaeus,1,Leipzig,29,7
Cichorium,Lasioglossum,1,Leipzig,29,7
Cichorium,Pieris,1,Leipzig,29,7
Cichorium,Sphecodes,1,Leipzig,29,7
Echinacea,Bombus,28,Leipzig,29,7
Echinacea,Lasioglossum,1,Leipzig,29,7
Echinacea,Pieris,4,Leipzig,29,7
Hypericum,Bombus,6,Leipzig,29,7
Hypericum,Pieris,1,Leipzig,29,7
Lavandula,Anthidium,4,Leipzig,29,7
Lavandula,Apis,25,Leipzig,29,7
Lavandula,Bombus,1204,Leipzig,29,7
Lavandula,Cerceris,3,Leipzig,29,7
Lavandula,Hylaeus,116,Leipzig,29,7
Lavandula,Lasioglossum,78,Leipzig,29,7
Lavandula,Lucilia,4,Leipzig,29,7
Lavandula,Megachile,8,Leipzig,29,7
Lavandula,Myathropa,3,Leipzig,29,7
Lavandula,Philanthus,1,Leipzig,29,7
Lavandula,Pieris,185,Leipzig,29,7
Lavandula,Polyommatus,7,Leipzig,29,7
Lavandula,Sphecodes,5,Leipzig,29,7
Lavandula,Xylocopa,2,Leipzig,29,7
Lomelosia,Apis,2,Leipzig,29,7
Lomelosia,Bombus,13,Leipzig,29,7
Lomelosia,Hylaeus,2,Leipzig,29,7
Lomelosia,Lasioglossum,1,Leipzig,29,7
Lomelosia,Pieris,3,Leipzig,29,7
Lomelosia,Polyommatus,1,Leipzig,29,7
Monarda,Aglais,1,Leipzig,29,7
Monarda,Apis,8,Leipzig,29,7
Monarda,Bombus,347,Leipzig,29,7
