Plant_family,Pollinator_guild,SES,mean_trait_matching,median_trait_matching,sd_trait_matching,n_trait_pairs,n_plant_taxa,n_pollinator_taxa,Association
Brassicaceae,Megachilidae,-1.26020192029795,0.02106169110074035,0.015699292313532245,0.017419864096285445,28,1,28,Avoidance
Brassicaceae,Non-bee Hymenoptera,-1.5366849976400145,0.008571991707383243,0.004313979916520483,0.010758060436056099,22,1,22,Avoidance
Brassicaceae,Other Diptera,-7.112927372962655,0.006146454850280291,0.0025388445793690585,0.010526517733089675,41,1,41,Avoidance
Brassicaceae,Syrphids,-1.610909812711389,0.024195549988341027,0.008287456507415539,0.030967977257942925,20,1,20,Avoidance
Campanulaceae,Andrenidae,-4.137217854986359,1.242740104974313e-4,1.8850338474179525e-5,2.0989387348520295e-4,30,2,15,Avoidance
Campanulaceae,Apidae,17.118713333553835,0.004052213921198775,1.3040725786344138e-5,0.017699645785771496,60,2,30,Preference
Campanulaceae,Bombylids,-0.2505413427410291,0.001465421933649601,2.5873225969823114e-4,0.0019995082803576465,10,2,5,Avoidance
Campanulaceae,Coleoptera,-1.1549952898240268,7.298479678952238e-4,4.756656151337465e-6,0.002318594427142857,28,2,14,Avoidance
Campanulaceae,Colletidae,-21.550463282662133,5.112028606511969e-5,7.681585156094887e-6,9.724459089927067e-5,20,2,10,Avoidance
Campanulaceae,Halictidae,5.8462734380223464,4.790741777612363e-5,8.078021443505867e-6,9.818733231179058e-5,46,2,23,Preference
Campanulaceae,Lepidoptera,-4.3418514247599775,9.722530456438279e-5,7.99625715667062e-5,1.157512490860474e-4,4,2,2,Avoidance
Campanulaceae,Megachilidae,17.68553906175385,4.5451273576826154e-4,2.4193692059913883e-5,8.807235345058004e-4,56,2,28,Preference
Campanulaceae,Melittidae,0.983616032182657,1.7789149574224314e-4,1.0420301104992465e-4,2.1092817164592828e-4,6,2,3,Avoidance
Campanulaceae,Non-bee Hymenoptera,-5.857104680143434,1.4980568321731183e-4,7.5457918814330874e-6,3.979256082731971e-4,44,2,22,Avoidance
Campanulaceae,Other Diptera,-9.177166103564646,1.0825145768004826e-4,5.789411403425171e-6,3.961110616893474e-4,82,2,41,Avoidance
Campanulaceae,Syrphids,3.8486239314942936,6.554723311742371e-4,1.0821424328420598e-5,0.0016562577372364851,40,2,20,Avoidance
Caprifoliaceae,Andrenidae,23.744159071697347,0.19975316028524306,0.11551780678352469,0.22132829480395308,30,2,15,Preference
Caprifoliaceae,Apidae,-13.573671856422918,0.334183624368894,0.10025290267077155,0.36970455215844333,60,2,30,Avoidance
Caprifoliaceae,Bombylids,-2.325009093416281,0.39215145465887813,0.2765047583996093,0.4238629310381457,10,2,5,Avoidance
Caprifoliaceae,Coleoptera,9.601973307903014,0.2048720452697886,0.0666924132487812,0.28771535440709056,28,2,14,Preference
Caprifoliaceae,Colletidae,-15.875444659950379,0.1407997050503162,0.08122215622069157,0.16777614797692697,20,2,10,Avoidance
Caprifoliaceae,Halictidae,29.841812475601422,0.1406420462918643,0.08289136583303626,0.16004699274124076,46,2,23,Preference
Caprifoliaceae,Lepidoptera,20.89947195985271,0.20495936588483038,0.1930960869124248,0.23745825294224904,4,2,2,Preference
Caprifoliaceae,Megachilidae,-8.935262954625749,0.2819700196720242,0.126863910970267,0.30627546430707436,56,2,28,Avoidance
Caprifoliaceae,Melittidae,-2.2694652164030624,0.24497191559018472,0.21043585342156074,0.27100701959384926,6,2,3,Avoidance
Caprifoliaceae,Non-bee Hymenoptera,-8.400021022380367,0.18678961087626092,0.08063730608618996,0.21994104275845425,44,2,22,Avoidance
Caprifoliaceae,Other Diptera,-13.236853945708862,0.15244432790193177,0.07235710283764071,0.18935734931057563,82,2,41,Avoidance
Caprifoliaceae,Syrphids,4.636869251420235,0.25527036537412673,0.09316387985349517,0.31191901231179703,40,2,20,Avoidance
Caryophyllaceae,Andrenidae,-7.066293036167117,0.05093524549574236,5.000319660878428e-5,0.08902054172032779,90,6,15,Avoidance
Caryophyllaceae,Apidae,-21.076115504562885,0.1286136600198036,2.4483549799169936e-4,0.22531301885029129,180,6,30,Avoidance
Caryophyllaceae,Bombylids,-13.149417440554414,0.1455735371174775,5.544791116923265e-4,0.22836412445874654,30,6,5,Avoidance
Caryophyllaceae,Coleoptera,-5.916358968250703,0.06548432792245301,4.083735600248544e-5,0.15744567397106277,84,6,14,Avoidance
Caryophyllaceae,Colletidae,-3.4402553197622803,0.03194845704919835,1.7829731004944136e-5,0.06111086689093268,60,6,10,Avoidance
Caryophyllaceae,Halictidae,46.52136528695046,0.03152494700198369,2.17328032017347e-5,0.05861790341285355,138,6,23,Preference
Caryophyllaceae,Lepidoptera,0.5044573591247369,0.050867215063216877,1.1957012705023025e-4,0.08352235438369532,12,6,2,Avoidance
Caryophyllaceae,Megachilidae,-8.666371848075594,0.08584028118552549,1.335873566931343e-4,0.14615148273198247,168,6,28,Avoidance
Caryophyllaceae,Melittidae,-0.5461148898482479,0.06602838198811736,1.5846365110144166e-4,0.10638320099907991,18,6,3,Avoidance
Caryophyllaceae,Non-bee Hymenoptera,21.829738253291342,0.048066771688660005,4.705765277086578e-5,0.09327704659007333,132,6,22,Preference
Caryophyllaceae,Other Diptera,-1.980090565453107,0.03705608237434044,2.2423633995263466e-5,0.07924681256824971,246,6,41,Avoidance
Caryophyllaceae,Syrphids,-20.913062511773227,0.08121761959427261,1.088407724037112e-4,0.16080067658667255,120,6,20,Avoidance
Cistaceae,Andrenidae,-2.43740495350151,1.0808853402168171e-16,1.9678176622454417e-17,2.1418985266869447e-16,15,1,15,Avoidance
Cistaceae,Apidae,23.81982915382432,9.60689631864376e-12,3.0745951600193156e-15,4.297557688075385e-11,30,1,30,Preference
Cistaceae,Bombylids,-0.1431617469845403,1.8751771679797855e-14,6.506129743775027e-15,2.12026661278848e-14,5,1,5,Avoidance
Cistaceae,Coleoptera,-0.32336689480759767,2.5983887596525586e-14,3.991404624904475e-18,7.730777848814858e-14,14,1,14,Avoidance
Cistaceae,Colletidae,-9.114758771445521,1.887725512788699e-17,8.010234637248371e-19,3.038029370641244e-17,10,1,10,Avoidance
Cistaceae,Halictidae,-0.883529020304841,1.9766661090451328e-17,1.2294183952479027e-18,4.634772198500926e-17,23,1,23,Avoidance
Cistaceae,Lepidoptera,-1.5431882285980418,3.0695039118677544e-17,3.0695039118677544e-17,1.569023611827427e-17,2,1,2,Avoidance
Cistaceae,Megachilidae,-9.668414417701147,2.799588997420986e-15,2.4971692750595847e-16,7.947496497808703e-15,28,1,28,Avoidance
Cistaceae,Melittidae,-0.7865875450689532,1.1864829430020342e-16,1.6022458859932878e-16,7.310587670715255e-17,3,1,3,Avoidance
Cistaceae,Non-bee Hymenoptera,-4.812947507363183,4.216096109788009e-16,6.620798549603063e-18,1.3475129861510046e-15,22,1,22,Avoidance
Cistaceae,Other Diptera,-13.814203084200878,4.329829645914402e-16,1.6170130696882574e-18,1.8353881555161004e-15,41,1,41,Avoidance
Cistaceae,Syrphids,-1.3804357298381644,1.1752556980549247e-14,4.291193283200662e-17,3.395101383598789e-14,20,1,20,Avoidance
Fabaceae,Andrenidae,25.705484809762414,0.044679483115049566,0.01778923823516077,0.06756362297124989,90,6,15,Preference
