Botanical_garden,Plant_family,Week,Total_floral_abundance_family,Total_sampling_time_family
Leipzig,Asparagaceae,16,695,6
Leipzig,Asparagaceae,17,9,3
Leipzig,Asparagaceae,18,40,3
Leipzig,Asparagaceae,19,350,3
Leipzig,Asparagaceae,20,1505,21
Leipzig,Asparagaceae,21,120,15
Leipzig,Asparagaceae,26,125,15
Leipzig,Asparagaceae,27,480,15
Leipzig,Asparagaceae,28,465,15
Leipzig,Asparagaceae,29,320,15
Leipzig,Asphodelaceae,23,130,15
Leipzig,Asphodelaceae,24,150,15
Leipzig,Asteraceae,12,150,10
Leipzig,Asteraceae,14,84,18
Leipzig,Asteraceae,15,70,15
Leipzig,Asteraceae,16,150,21
Leipzig,Asteraceae,17,11,18
Leipzig,Asteraceae,21,150,24
Leipzig,Asteraceae,22,280,24
Leipzig,Asteraceae,23,80,15
Leipzig,Asteraceae,24,18,15
Leipzig,Asteraceae,25,280,15
Leipzig,Asteraceae,26,351,27
Leipzig,Asteraceae,27,92,9
Leipzig,Asteraceae,28,4700,21
Leipzig,Asteraceae,29,6179,24
Leipzig,Asteraceae,31,2836,24
Leipzig,Asteraceae,32,1398,12
Leipzig,Asteraceae,33,4730,9
Leipzig,Asteraceae,34,4425,9
Leipzig,Balsaminaceae,34,76,3
Leipzig,Berberidaceae,15,800,3
Leipzig,Berberidaceae,17,800,3
Leipzig,Boraginaceae,18,405,6
Leipzig,Boraginaceae,19,148,6
Leipzig,Boraginaceae,20,240,3
Leipzig,Boraginaceae,21,830,6
Leipzig,Boraginaceae,22,300,3
Leipzig,Boraginaceae,23,625,3
Leipzig,Boraginaceae,25,200,6
Leipzig,Brassicaceae,16,240,3
Leipzig,Brassicaceae,18,320,18
Leipzig,Brassicaceae,19,8000,18
Leipzig,Brassicaceae,20,10220,6
Leipzig,Brassicaceae,21,230,15
Leipzig,Brassicaceae,27,58,3
Leipzig,Campanulaceae,26,150,3
Leipzig,Campanulaceae,31,180,15
Leipzig,Campanulaceae,32,48,15
Leipzig,Caprifoliaceae,17,360,6
Leipzig,Caprifoliaceae,20,1200,3
Leipzig,Caprifoliaceae,21,1400,6
Leipzig,Caprifoliaceae,23,4500,3
Leipzig,Caprifoliaceae,24,1950,18
Leipzig,Caprifoliaceae,25,2500,18
Leipzig,Caprifoliaceae,26,1250,15
Leipzig,Caprifoliaceae,27,1610,18
Leipzig,Caprifoliaceae,28,290,6
Leipzig,Caprifoliaceae,29,337,21
Leipzig,Caprifoliaceae,31,58,3
Leipzig,Caprifoliaceae,32,170,18
Leipzig,Caprifoliaceae,33,308,21
Leipzig,Caprifoliaceae,34,370,36
Leipzig,Caryophyllaceae,21,3200,15
Leipzig,Caryophyllaceae,22,2598,21
Leipzig,Caryophyllaceae,26,107,30
Leipzig,Caryophyllaceae,27,151,33
Leipzig,Caryophyllaceae,28,860,3
Leipzig,Caryophyllaceae,31,3100,6
Leipzig,Cistaceae,20,80,15
Leipzig,Cistaceae,21,60,15
Leipzig,Cistaceae,22,50,15
Leipzig,Cistaceae,24,8,15
Leipzig,Convolvulaceae,28,220,6
Leipzig,Crassulaceae,23,686,3
Leipzig,Ericaceae,15,580,9
Leipzig,Ericaceae,16,160,3
Leipzig,Ericaceae,17,800,3
Leipzig,Ericaceae,18,150,3
Leipzig,Ericaceae,19,620,3
Leipzig,Euphorbiaceae,15,380,3
Leipzig,Euphorbiaceae,16,400,3
Leipzig,Euphorbiaceae,24,3400,3
Leipzig,Euphorbiaceae,25,8660,6
Leipzig,Euphorbiaceae,27,7000,3
Leipzig,Fabaceae,16,100,15
Leipzig,Fabaceae,17,150,15
Leipzig,Fabaceae,18,150,15
Leipzig,Fabaceae,19,75,15
Leipzig,Fabaceae,20,175,3
Leipzig,Fabaceae,21,750,3
Leipzig,Fabaceae,23,6000,3
Leipzig,Fabaceae,24,14760,6
Leipzig,Fabaceae,25,250,3
Leipzig,Fabaceae,26,560,3
Leipzig,Fabaceae,31,1200,3
Leipzig,Geraniaceae,19,60,3
Leipzig,Geraniaceae,20,200,3
Leipzig,Geraniaceae,21,710,18
Leipzig,Geraniaceae,22,130,15
Leipzig,Geraniaceae,23,170,15
Leipzig,Geraniaceae,24,185,15
Leipzig,Geraniaceae,33,120,3
Leipzig,Grossulariaceae,12,1000,5
Leipzig,Hypericaceae,23,300,15
Leipzig,Hypericaceae,24,800,15
Leipzig,Hypericaceae,25,780,15
Leipzig,Hypericaceae,26,65,15
Leipzig,Hypericaceae,27,56,15
Leipzig,Hypericaceae,28,32,15
Leipzig,Hypericaceae,29,10,15
Leipzig,Lamiaceae,12,25,5
Leipzig,Lamiaceae,15,4,3
Leipzig,Lamiaceae,18,320,3
Leipzig,Lamiaceae,19,860,6
Leipzig,Lamiaceae,20,113,18
Leipzig,Lamiaceae,21,6700,9
Leipzig,Lamiaceae,22,800,9
Leipzig,Lamiaceae,23,1798,21
Leipzig,Lamiaceae,24,1420,18
Leipzig,Lamiaceae,25,5490,12
Leipzig,Lamiaceae,26,11210,24
Leipzig,Lamiaceae,27,8300,15
Leipzig,Lamiaceae,28,18200,21
Leipzig,Lamiaceae,29,5018,24
Leipzig,Lamiaceae,31,17000,3
Leipzig,Lamiaceae,32,17580,9
Leipzig,Lamiaceae,33,10000,3
Leipzig,Lamiaceae,34,120000,3
Leipzig,Limnanthaceae,20,315,3
Leipzig,Limnanthaceae,21,4000,3
Leipzig,Limnanthaceae,22,4200,3
Leipzig,Lythraceae,31,2200,3
Leipzig,Lythraceae,33,9595,6
Leipzig,Lythraceae,34,2600,3
Leipzig,Menyanthaceae,19,200,15
Leipzig,Oleaceae,17,400,3
Leipzig,Paeoniaceae,18,15,3
Leipzig,Paeoniaceae,19,22,15
Leipzig,Paeoniaceae,20,12,15
Leipzig,Papaveraceae,16,600,3
Leipzig,Papaveraceae,22,12,3
Leipzig,Plantaginaceae,18,150,3
Leipzig,Plantaginaceae,24,1910,21
Leipzig,Plantaginaceae,25,280,15
Leipzig,Plantaginaceae,26,120,15
Leipzig,Plantaginaceae,27,38,15
Leipzig,Plantaginaceae,29,376,6
Leipzig,Primulaceae,16,980,30
Leipzig,Primulaceae,17,430,30
Leipzig,Primulaceae,18,240,30
Leipzig,Primulaceae,19,20,15
Leipzig,Ranunculaceae,12,300,15
Leipzig,Ranunculaceae,14,250,15
Leipzig,Ranunculaceae,15,267,90
Leipzig,Ranunculaceae,16,212,48
Leipzig,Ranunculaceae,17,100,45
Leipzig,Ranunculaceae,18,89,45
Leipzig,Ranunculaceae,19,327,45
Leipzig,Ranunculaceae,20,124,30
Leipzig,Ranunculaceae,21,120,15
Leipzig,Ranunculaceae,22,80,15
Leipzig,Ranunculaceae,23,840,30
Leipzig,Ranunculaceae,25,40,15
Leipzig,Ranunculaceae,26,18,15
Leipzig,Ranunculaceae,27,16,3
Leipzig,Ranunculaceae,28,28,15
Leipzig,Ranunculaceae,31,110,15
Leipzig,Ranunculaceae,32,110,15
Leipzig,Ranunculaceae,33,500,15
Leipzig,Ranunculaceae,34,250,15
Leipzig,Rosaceae,18,30,3
Leipzig,Rosaceae,19,14,15
Leipzig,Rosaceae,21,280,3
Leipzig,Rosaceae,23,290,6
Leipzig,Rosaceae,24,155,6
Leipzig,Rosaceae,25,383,9
Leipzig,Rutaceae,23,140,15
Leipzig,Rutaceae,24,75,15
Leipzig,Rutaceae,25,11,15
Leipzig,Rutaceae,32,500000,3
Leipzig,Saxifragaceae,16,160,15
Leipzig,Scrophulariaceae,27,120,3
Leipzig,Solanaceae,14,140,15
Leipzig,Solanaceae,27,1400,3
Leipzig,Solanaceae,28,220,3
Leipzig,Tropaeolaceae,34,850,3
Leipzig,Verbenaceae,32,120,3
Leipzig,Violaceae,19,2700,3
Leipzig,Violaceae,20,800,3
Leipzig,Violaceae,23,880,3
