Pollinator_accepted_name,Pollinator_genus,Pollinator_family,Pollinator_order,gardens
Coelioxys aurolimbatus,Coelioxys,Megachilidae,Hymenoptera,H
Coelioxys elongatus,Coelioxys,Megachilidae,Hymenoptera,HL
Coelioxys rufescens,Coelioxys,Megachilidae,Hymenoptera,H
Heriades truncorum,Heriades,Megachilidae,Hymenoptera,HJL
Hoplitis adunca,Hoplitis,Megachilidae,Hymenoptera,HJL
Megachile alpicola,Megachile,Megachilidae,Hymenoptera,J
Megachile centuncularis,Megachile,Megachilidae,Hymenoptera,HJ
Megachile circumcincta,Megachile,Megachilidae,Hymenoptera,JL
Megachile ericetorum,Megachile,Megachilidae,Hymenoptera,HJL
Megachile lagopoda,Megachile,Megachilidae,Hymenoptera,HJL
Megachile maritima,Megachile,Megachilidae,Hymenoptera,HJL
Megachile pilidens,Megachile,Megachilidae,Hymenoptera,HJ
Megachile rotundata,Megachile,Megachilidae,Hymenoptera,HJL
Megachile versicolor,Megachile,Megachilidae,Hymenoptera,J
Megachile willughbiella,Megachile,Megachilidae,Hymenoptera,HJL
Osmia aurulenta,Osmia,Megachilidae,Hymenoptera,HJL
Osmia bicolor,Osmia,Megachilidae,Hymenoptera,H
Osmia bicornis,Osmia,Megachilidae,Hymenoptera,HJL
Osmia brevicornis,Osmia,Megachilidae,Hymenoptera,HJL
Osmia caerulescens,Osmia,Megachilidae,Hymenoptera,HJL
Osmia cornuta,Osmia,Megachilidae,Hymenoptera,HJL
Pseudoanthidium nanum,Pseudoanthidium,Megachilidae,Hymenoptera,L
Stelis punctulatissima,Stelis,Megachilidae,Hymenoptera,JL
Macropis fulvipes,Macropis,Melittidae,Hymenoptera,J
Melitta haemorrhoidalis,Melitta,Melittidae,Hymenoptera,L
Melitta nigricans,Melitta,Melittidae,Hymenoptera,H
Sapygina decemguttata,Sapygina,Sapygidae,Hymenoptera,H
Scolia hirta,Scolia,Scoliidae,Hymenoptera,H
Ammophila sabulosa,Ammophila,Sphecidae,Hymenoptera,H
Sphex funerarius,Sphex,Sphecidae,Hymenoptera,HJL
Tiphia femorata,Tiphia,Tiphiidae,Hymenoptera,HL
Ancistrocerus claripennis,Ancistrocerus,Vespidae,Hymenoptera,H
Ancistrocerus gazella,Ancistrocerus,Vespidae,Hymenoptera,H
Ancistrocerus nigricornis,Ancistrocerus,Vespidae,Hymenoptera,H
Dolichovespula saxonica,Dolichovespula,Vespidae,Hymenoptera,H
Vespa crabro,Vespa,Vespidae,Hymenoptera,HJ
Vespula germanica,Vespula,Vespidae,Hymenoptera,HJ
Anthomyia procellaris,Anthomyia,Anthomyiidae,Diptera,H
Botanophila depressa,Botanophila,Anthomyiidae,Diptera,L
Botanophila striolata,Botanophila,Anthomyiidae,Diptera,JL
Leucophora personata,Leucophora,Anthomyiidae,Diptera,J
Bombylius discolor,Bombylius,Bombyliidae,Diptera,HJL
Bombylius major,Bombylius,Bombyliidae,Diptera,HJL
Bombylius venosus,Bombylius,Bombyliidae,Diptera,HJL
Hemipenthes maura,Hemipenthes,Bombyliidae,Diptera,J
Hemipenthes morio,Hemipenthes,Bombyliidae,Diptera,H
Villa modesta,Villa,Bombyliidae,Diptera,L
Bellardia viarum,Bellardia,Calliphoridae,Diptera,H
Bellardia vulgaris,Bellardia,Calliphoridae,Diptera,HL
Calliphora vicina,Calliphora,Calliphoridae,Diptera,L
Eurychaeta palpalis,Eurychaeta,Calliphoridae,Diptera,HJL
Lucilia sericata,Lucilia,Calliphoridae,Diptera,HJL
Dalmannia marginata,Dalmannia,Conopidae,Diptera,L
Merziella longirostris,Merziella,Conopidae,Diptera,H
Myopa testacea,Myopa,Conopidae,Diptera,L
Physocephala rufipes,Physocephala,Conopidae,Diptera,HL
Sicus ferrugineus,Sicus,Conopidae,Diptera,HJL
Minettia longipennis,Minettia,Lauxaniidae,Diptera,J
Graphomya maculata,Graphomya,Muscidae,Diptera,H
Platystoma seminationis,Platystoma,Platystomatidae,Diptera,L
Pollenia amentaria,Pollenia,Polleniidae,Diptera,H
Pollenia pediculata,Pollenia,Polleniidae,Diptera,H
Pollenia vagabunda,Pollenia,Polleniidae,Diptera,H
Miltogramma germari,Miltogramma,Sarcophagidae,Diptera,H
Miltogramma punctata,Miltogramma,Sarcophagidae,Diptera,HL
Sarcophaga haemorrhoa,Sarcophaga,Sarcophagidae,Diptera,J
Sarcophaga incisilobata,Sarcophaga,Sarcophagidae,Diptera,HJ
Sarcophaga subvicina,Sarcophaga,Sarcophagidae,Diptera,H
Cheilosia aerea,Cheilosia,Syrphidae,Diptera,L
Cheilosia pagana,Cheilosia,Syrphidae,Diptera,J
Cheilosia ruffipes,Cheilosia,Syrphidae,Diptera,HJL
Dasysyrphus albostriatus,Dasysyrphus,Syrphidae,Diptera,J
Episyrphus balteatus,Episyrphus,Syrphidae,Diptera,HJL
Eristalinus aeneus,Eristalinus,Syrphidae,Diptera,H
Eristalis pertinax,Eristalis,Syrphidae,Diptera,HJ
Eristalis tenax,Eristalis,Syrphidae,Diptera,HJL
Eupeodes corollae,Eupeodes,Syrphidae,Diptera,HJL
Lapposyrphus lapponicus,Lapposyrphus,Syrphidae,Diptera,L
Meliscaeva auricollis,Meliscaeva,Syrphidae,Diptera,J
Merodon equestris,Merodon,Syrphidae,Diptera,L
Myathropa florea,Myathropa,Syrphidae,Diptera,HJL
Paragus constrictus,Paragus,Syrphidae,Diptera,J
Scaeva pyrastri,Scaeva,Syrphidae,Diptera,HJ
Sphaerophoria rueppellii,Sphaerophoria,Syrphidae,Diptera,J
Sphaerophoria scripta,Sphaerophoria,Syrphidae,Diptera,HJL
Syritta pipiens,Syritta,Syrphidae,Diptera,HJ
Syrphus vitripennis,Syrphus,Syrphidae,Diptera,HJ
Trichopsomyia flavitarsis,Trichopsomyia,Syrphidae,Diptera,H
Volucella inanis,Volucella,Syrphidae,Diptera,J
Volucella pellucens,Volucella,Syrphidae,Diptera,J
Volucella zonaria,Volucella,Syrphidae,Diptera,JL
Cylindromyia brevicornis,Cylindromyia,Tachinidae,Diptera,HJL
Entomophaga nigrohalterata,Entomophaga,Tachinidae,Diptera,HJ
Gymnosoma clavatum,Gymnosoma,Tachinidae,Diptera,HJ
Gymnosoma nudifrons,Gymnosoma,Tachinidae,Diptera,JL
Hebia flavipes,Hebia,Tachinidae,Diptera,J
Litophasia hyalipennis,Litophasia,Tachinidae,Diptera,H
Microphthalma europaea,Microphthalma,Tachinidae,Diptera,L
Nowickia ferox,Nowickia,Tachinidae,Diptera,H
Phasia barbifrons,Phasia,Tachinidae,Diptera,J
Phasia pusilla,Phasia,Tachinidae,Diptera,J
Prosena siberita,Prosena,Tachinidae,Diptera,H
Tachina fera,Tachina,Tachinidae,Diptera,H
Tachina nupta,Tachina,Tachinidae,Diptera,HL
Anthaxia nitidula,Anthaxia,Buprestidae,Coleoptera,H
Pseudovadonia livida,Pseudovadonia,Cerambycidae,Coleoptera,HL
Stenurella melanura,Stenurella,Cerambycidae,Coleoptera,H
Timarcha goettingensis,Timarcha,Chrysomelidae,Coleoptera,J
Trichodes apiarius,Trichodes,Cleridae,Coleoptera,J
Coccinella septempunctata,Coccinella,Coccinellidae,Coleoptera,HJL
Harmonia axyridis,Harmonia,Coccinellidae,Coleoptera,HJ
Anthrenus scrophulariae,Anthrenus,Dermestidae,Coleoptera,H
Anthrenus verbasci,Anthrenus,Dermestidae,Coleoptera,HJ
Malachius bipustulatus,Malachius,Melyridae,Coleoptera,H
Oedemera femorata,Oedemera,Oedemeridae,Coleoptera,H
Oedemera lurida,Oedemera,Oedemeridae,Coleoptera,HJL
Oedemera podagrariae,Oedemera,Oedemeridae,Coleoptera,H
Cetonia aurata,Cetonia,Scarabaeidae,Coleoptera,HJL
Oxythyrea funesta,Oxythyrea,Scarabaeidae,Coleoptera,HJL
Trichius gallicus,Trichius,Scarabaeidae,Coleoptera,HL
Tropinota hirta,Tropinota,Scarabaeidae,Coleoptera,H
Valgus hemipterus,Valgus,Scarabaeidae,Coleoptera,HL
Cydalima perspectalis,Cydalima,Crambidae,Lepidoptera,L
Aricia agestis,Aricia,Lycaenidae,Lepidoptera,J
Polyommatus icarus,Polyommatus,Lycaenidae,Lepidoptera,HJL
Autographa gamma,Autographa,Noctuidae,Lepidoptera,J
Aglais io,Aglais,Nymphalidae,Lepidoptera,HJL
Aglais urticae,Aglais,Nymphalidae,Lepidoptera,H
Argynnis paphia,Argynnis,Nymphalidae,Lepidoptera,J
Dryas iulia,Dryas,Nymphalidae,Lepidoptera,L
Issoria lathonia,Issoria,Nymphalidae,Lepidoptera,J
Maniola jurtina,Maniola,Nymphalidae,Lepidoptera,HJ
Polygonia c-album,Polygonia,Nymphalidae,Lepidoptera,H
Anthocharis cardamines,Anthocharis,Pieridae,Lepidoptera,HJL
Gonepteryx rhamni,Gonepteryx,Pieridae,Lepidoptera,H
Pieris brassicae,Pieris,Pieridae,Lepidoptera,J
Pieris napi,Pieris,Pieridae,Lepidoptera,HJL
Pieris rapae,Pieris,Pieridae,Lepidoptera,HJL
Macroglossum stellatarum,Macroglossum,Sphingidae,Lepidoptera,HJ
Lygaeus equestris,Lygaeus,Lygaeidae,Hemiptera,L
Carpocoris fuscispinus,Carpocoris,Pentatomidae,Hemiptera,J
Graphosoma italicum,Graphosoma,Pentatomidae,Hemiptera,L
Pyrrhocoris apterus,Pyrrhocoris,Pyrrhocoridae,Hemiptera,H
Pyrrhocoris marginatus,Pyrrhocoris,Pyrrhocoridae,Hemiptera,J
