Botanical_garden,Plant_family,Plant,Individual,Week,Total_floral_abundance_family,Total_sampling_time_family
Jena,Boraginaceae,Brunnera macrophylla,FocalNA,19,420,15
Jena,Boraginaceae,Brunnera macrophylla,FocalNA,21,150,15
Jena,Boraginaceae,Brunnera macrophylla,FocalNA,22,23,15
Jena,Boraginaceae,Lindelofia anchusoides,Random_census7,23,800,3
Jena,Boraginaceae,Symphytum bulbosum,Random_census4,15,320,3
Jena,Boraginaceae,Symphytum officinale,Random_census7,25,500,3
Jena,Brassicaceae,Arabis alpina,Random_census1,15,500,3
Jena,Brassicaceae,Aubrieta pinardii,Random_census4,17,350,15
Jena,Brassicaceae,Aubrieta pinardii,Random_census4,18,300,3
Jena,Brassicaceae,Aubrieta pinardii,Random_census6,15,600,3
Jena,Brassicaceae,Aubrieta pinardii,Random_census8,19,175,3
Jena,Brassicaceae,Brassica oleracea,Random_census2,21,460,3
Jena,Brassicaceae,Cardamine pratensis,Random_census3,17,1200,15
Jena,Brassicaceae,Cardamine pratensis,Random_census3,18,800,3
Jena,Brassicaceae,Cardamine pratensis,Random_census9,19,15,3
Jena,Brassicaceae,Iberis sempervirens,FocalNA,17,4000,15
Jena,Brassicaceae,Iberis sempervirens,FocalNA,18,4500,15
Jena,Brassicaceae,Iberis sempervirens,FocalNA,19,8000,15
Jena,Brassicaceae,Iberis sempervirens,FocalNA,20,2800,15
Jena,Brassicaceae,Iberis sempervirens,FocalNA,21,2250,15
Jena,Brassicaceae,Iberis sempervirens,Random_census4,17,3000,15
Jena,Brassicaceae,Iberis sempervirens,Random_census7,15,300,3
Jena,Campanulaceae,Campanula alliariifolia,Random_census2,27,300,3
Jena,Campanulaceae,Campanula alliariifolia,Random_census9,29,200,3
Jena,Campanulaceae,Campanula glomerata,Random_census9,23,90,3
Jena,Campanulaceae,Campanula lactiflora,Random_census8,26,130,3
Jena,Campanulaceae,Campanula lactiflora,Random_census9,27,344,3
Jena,Campanulaceae,Campanula persicifolia,Random_census10,24,63,3
Jena,Campanulaceae,Campanula pyramidalis,Random_census5,33,15,3
Jena,Campanulaceae,Campanula rapunculoides,Random_census4,26,224,3
Jena,Campanulaceae,Campanula rapunculoides,Random_census5,25,34,3
Jena,Campanulaceae,Campanula rotundifolia,FocalNA,23,73,30
Jena,Campanulaceae,Campanula sp,Random_census3,26,120,3
Jena,Campanulaceae,Campanula sp,Random_census3,29,22,3
Jena,Caprifoliaceae,Knautia arvensis,Random_census5,32,1800,3
Jena,Caprifoliaceae,Lomelosia albocincta,Random_census7,29,20,3
Jena,Caprifoliaceae,Lonicera floribunda,Random_census4,21,3000,3
Jena,Caprifoliaceae,Lonicera floribunda,Random_census7,20,2500,3
Jena,Caprifoliaceae,Scabiosa canescens,Random_census3,31,140,3
Jena,Caryophyllaceae,Cerastium arvense,Random_census5,21,450,3
Jena,Caryophyllaceae,Cerastium arvense,Random_census8,20,225,3
Jena,Caryophyllaceae,Dianthus petraeus,Random_census10,23,125,3
Jena,Caryophyllaceae,Silene nutans,FocalNA,22,100,15
Jena,Caryophyllaceae,Silene nutans,FocalNA,23,72,15
Jena,Caryophyllaceae,Silene viscaria,FocalNA,20,600,15
Jena,Caryophyllaceae,Silene viscaria,FocalNA,21,1000,15
Jena,Caryophyllaceae,Silene viscaria,FocalNA,22,12,15
Jena,Crassulaceae,Phedimus aizoon,Random_census3,25,1000,3
Jena,Ericaceae,Rhododendron saluenense,Random_census7,18,560,3
Jena,Euphorbiaceae,Euphorbia nicaeensis,Random_census11,25,1440,3
Jena,Euphorbiaceae,Euphorbia nicaeensis,Random_census2,25,400,3
Jena,Fabaceae,Anthyllis vulneraria,Random_census6,24,1000,3
Jena,Fabaceae,Anthyllis vulneraria,Random_census8,23,1400,3
Jena,Fabaceae,Anthyllis vulneraria,Random_census9,25,1300,3
Jena,Fabaceae,Baptisia australis,Random_census5,23,561,3
Jena,Fabaceae,Baptisia australis,Random_census7,24,420,3
Jena,Fabaceae,Chamaecytisus austriacus,Random_census9,26,120,3
Jena,Fabaceae,Chamaecytisus hirsutus,Random_census8,27,220,3
Jena,Fabaceae,Coronilla orientalis,Random_census1,24,41,3
Jena,Fabaceae,Coronilla varia,FocalNA,26,1728,3
Jena,Fabaceae,Coronilla varia,FocalNA,27,294,15
Jena,Fabaceae,Coronilla varia,FocalNA,28,175,15
Jena,Fabaceae,Coronilla varia,FocalNA,29,8000,15
Jena,Fabaceae,Coronilla varia,FocalNA,31,120,15
Jena,Fabaceae,Cytisophyllum sessilifolium,Random_census1,21,5000,3
Jena,Fabaceae,Cytisophyllum sessilifolium,Random_census3,20,5000,3
Jena,Fabaceae,Cytisophyllum sessilifolium,Random_census6,21,1000,3
Jena,Fabaceae,Cytisophyllum sessilifolium,Random_census8,22,500,3
Jena,Fabaceae,Desmodium canadense,Random_census1,29,130,3
Jena,Fabaceae,Galega officinalis,FocalNA,26,2400,3
Jena,Fabaceae,Galega officinalis,FocalNA,27,750,15
Jena,Fabaceae,Galega officinalis,FocalNA,28,500,15
Jena,Fabaceae,Galega officinalis,FocalNA,29,775,15
Jena,Fabaceae,Galega officinalis,FocalNA,31,80,15
Jena,Fabaceae,Galega officinalis,FocalNA,32,100,15
Jena,Fabaceae,Genista germanica,Random_census3,19,2500,3
Jena,Fabaceae,Genista germanica,Random_census9,18,2500,3
Jena,Fabaceae,Genista tinctoria,FocalNA,26,1500,3
Jena,Fabaceae,Genista tinctoria,FocalNA,27,960,15
Jena,Fabaceae,Lathyrus aureus,Random_census10,21,200,3
Jena,Fabaceae,Lathyrus aureus,Random_census7,21,300,3
Jena,Fabaceae,Lathyrus aureus,Random_census9,20,1600,3
Jena,Fabaceae,Lathyrus niger,Random_census1,22,400,3
Jena,Fabaceae,Lathyrus niger,Random_census3,22,600,3
Jena,Fabaceae,Lathyrus niger,Random_census7,22,1000,3
Jena,Fabaceae,Lathyrus pratensis,Random_census7,28,150,3
Jena,Fabaceae,Lathyrus vernus,FocalNA,17,175,15
Jena,Fabaceae,Lathyrus vernus,FocalNA,18,100,15
Jena,Fabaceae,Lathyrus vernus,FocalNA,19,75,15
Jena,Fabaceae,Lathyrus vernus,Random_census1,14,100,3
Jena,Fabaceae,Lathyrus vernus,Random_census5,17,160,15
Jena,Fabaceae,Lathyrus vernus,Random_census7,17,900,15
Jena,Fabaceae,Lathyrus vernus,Random_census8,18,900,3
Jena,Fabaceae,Lotus maritimus,FocalNA,23,30,15
Jena,Fabaceae,Lotus maritimus,FocalNA,27,21,15
Jena,Fabaceae,Medicago sativa,Random_census3,32,600,3
Jena,Fabaceae,Medicago sativa,Random_census4,27,800,3
Jena,Fabaceae,Spartium junceum,Random_census1,26,200,3
Jena,Fabaceae,Spartium junceum,Random_census4,23,750,3
Jena,Fabaceae,Trifolium pratense,Random_census1,28,1155,3
Jena,Fabaceae,Trifolium pratense,Random_census2,33,540,3
Jena,Fabaceae,Trifolium pratense,Random_census5,27,1950,3
Jena,Fabaceae,Trifolium pratense,Random_census6,29,1496,3
Jena,Fabaceae,Trifolium pratense,Random_census7,26,1500,3
Jena,Fabaceae,Trifolium pratense,Random_census8,26,1500,3
Jena,Fabaceae,Trifolium pratense,Random_census9,21,12500,3
Jena,Fabaceae,Trifolium pratense,Random_census9,22,500,3
Jena,Fabaceae,Trifolium rubens,Random_census8,24,1600,3
Jena,Fabaceae,Trifolium sp,Random_census8,24,3840,3
Jena,Fabaceae,Vicia sepium,Random_census5,18,15,3
Jena,Fabaceae,Vicia sepium,Random_census8,20,65,3
Jena,Geraniaceae,Geranium molle,Random_census2,19,75,3
Jena,Geraniaceae,Geranium sanguineum,FocalNA,20,35,15
Jena,Geraniaceae,Geranium sanguineum,FocalNA,21,44,15
Jena,Geraniaceae,Geranium sanguineum,FocalNA,22,62,15
Jena,Geraniaceae,Geranium sanguineum,FocalNA,23,74,15
Jena,Geraniaceae,Geranium sanguineum,FocalNA,24,39,15
Jena,Geraniaceae,Geranium sanguineum,FocalNA,25,16,15
Jena,Geraniaceae,Geranium sp,Random_census2,23,200,3
Jena,Hydrangeaceae,Philadelphus pekinensis,Random_census10,20,135,3
Jena,Hydrangeaceae,Philadelphus pekinensis,Random_census2,22,3500,3
Jena,Hydrangeaceae,Philadelphus pekinensis,Random_census8,21,750,3
Jena,Hydrophyllaceae,Phacelia tanacetifolia,Random_census3,24,1224,3
Jena,Hypericaceae,Hypericum fragile,Random_census9,23,42,3
Jena,Hypericaceae,Hypericum hookerianum,Random_census10,27,50,3
Jena,Hypericaceae,Hypericum hookerianum,Random_census8,28,23,3
Jena,Hypericaceae,Hypericum olympicum,FocalNA,24,40,15
Jena,Hypericaceae,Hypericum olympicum,FocalNA,25,32,15
Jena,Hypericaceae,Hypericum perforatum,FocalNA,26,90,3
Jena,Hypericaceae,Hypericum perforatum,FocalNA,27,58,15
Jena,Hypericaceae,Hypericum perforatum,FocalNA,28,60,15
Jena,Iridaceae,Iris germanica,Random_census4,22,110,3
Jena,Iridaceae,Iris pseudacorus,Random_census9,15,40,3
Jena,Lamiaceae,Betonica alopecuros,Random_census4,33,424,3
Jena,Lamiaceae,Betonica officinalis,FocalNA,27,296,15
Jena,Lamiaceae,Betonica officinalis,FocalNA,28,750,15
Jena,Lamiaceae,Betonica officinalis,FocalNA,29,322,15
Jena,Lamiaceae,Dracocephalum rupestre,Random_census10,28,70,3
Jena,Lamiaceae,Lamium album,FocalNA,20,100,15
Jena,Lamiaceae,Lamium album,FocalNA,21,150,15
Jena,Lamiaceae,Lamium album,FocalNA,22,540,15
Jena,Lamiaceae,Lamium galeobdolon,Random_census1,18,500,3
Jena,Lamiaceae,Lamium galeobdolon,Random_census6,19,1500,3
Jena,Lamiaceae,Lamium orvala,Random_census2,17,35,15
Jena,Lamiaceae,Lavandula angustifolia,FocalNA,26,2300,3
Jena,Lamiaceae,Lavandula angustifolia,FocalNA,27,9000,15
Jena,Lamiaceae,Lavandula angustifolia,FocalNA,28,12600,15
Jena,Lamiaceae,Lavandula angustifolia,FocalNA,29,11550,15
Jena,Lamiaceae,Lavandula angustifolia,FocalNA,31,1600,15
Jena,Lamiaceae,Lavandula angustifolia,FocalNA,32,350,15
Jena,Lamiaceae,Lavandula angustifolia,FocalNA,33,250,15
Jena,Lamiaceae,Origanum vulgare,FocalNA,28,1190,15
Jena,Lamiaceae,Origanum vulgare,FocalNA,29,320,15
Jena,Lamiaceae,Origanum vulgare,FocalNA,31,250,15
Jena,Lamiaceae,Origanum vulgare,FocalNA,32,180,15
Jena,Lamiaceae,Origanum vulgare,FocalNA,33,20,15
Jena,Lamiaceae,Salvia nutans,Random_census1,25,850,3
Jena,Lamiaceae,Salvia pratensis,FocalNA,22,254,15
Jena,Lamiaceae,Salvia pratensis,FocalNA,24,22,15
Jena,Lamiaceae,Satureja parnassica,Random_census9,32,900,3
Jena,Lamiaceae,Scutellaria altissima,Random_census2,24,320,3
Jena,Lamiaceae,Scutellaria cordifolia,Random_census8,25,1134,3
Jena,Lamiaceae,Scutellaria cordifolia,Random_census9,24,3000,3
Jena,Lamiaceae,Teucrium canadense,Random_census9,28,95,3
Jena,Lamiaceae,Teucrium chamaedrys,Random_census2,28,100,3
Jena,Linaceae,Linum perenne,FocalNA,21,95,15
Jena,Linaceae,Linum perenne,FocalNA,22,84,15
Jena,Linaceae,Linum perenne,FocalNA,23,114,15
Jena,Linaceae,Linum perenne,FocalNA,24,65,15
Jena,Linaceae,Linum perenne,FocalNA,25,13,15
Jena,Linaceae,Linum perenne,FocalNA,32,10,3
Jena,Linaceae,Linum perenne,Random_census1,32,50,3
Jena,Malvaceae,Malva thuringiaca,Random_census4,28,38,3
Jena,Malvaceae,Tilia henryana,Random_census7,32,300,3
Jena,Malvaceae,Tilia henryana,Random_census8,32,300,3
Jena,Onagraceae,Fuchsia magellanica,FocalNA,32,83,3
Jena,Onagraceae,Fuchsia magellanica,FocalNA,33,73,15
Jena,Paeoniaceae,Paeonia daurica,FocalNA,22,63,15
Jena,Paeoniaceae,Paeonia daurica,FocalNA,23,67,15
Jena,Paeoniaceae,Paeonia daurica,Random_census10,18,2500,3
Jena,Paeoniaceae,Paeonia daurica,Random_census7,19,50,3
Jena,Paeoniaceae,Paeonia delavayi,FocalNA,19,50,15
Jena,Paeoniaceae,Paeonia delavayi,FocalNA,20,16,15
Jena,Paeoniaceae,Paeonia delavayi,FocalNA,21,35,15
Jena,Paeoniaceae,Paeonia mascula,Random_census6,17,37,15
Jena,Paeoniaceae,Paeonia officinalis,FocalNA,18,4,15
Jena,Paeoniaceae,Paeonia officinalis,FocalNA,19,23,15
Jena,Papaveraceae,Chelidonium majus,FocalNA,19,70,15
Jena,Papaveraceae,Chelidonium majus,FocalNA,20,68,15
Jena,Papaveraceae,Chelidonium majus,FocalNA,21,75,15
Jena,Papaveraceae,Corydalis cava,Random_census3,14,300,3
Jena,Papaveraceae,Corydalis cava,Random_census3,15,1500,3
Jena,Papaveraceae,Corydalis cava,Random_census4,14,20,3
Jena,Papaveraceae,Corydalis cava,Random_census5,14,150,3
Jena,Papaveraceae,Papaver nudicaule,Random_census3,23,27,3
Jena,Papaveraceae,Papaver nudicaule,Random_census5,22,17,3
Jena,Papaveraceae,Papaver somniferum,Random_census4,24,26,3
Jena,Papaveraceae,Papaver sp,Random_census5,24,30,3
Jena,Plantaginaceae,Digitalis grandiflora,Random_census4,25,540,3
Jena,Plantaginaceae,Digitalis obscura,Random_census2,25,10,3
Jena,Plantaginaceae,Globularia cordifolia,Random_census5,20,60,3
Jena,Plumbaginaceae,Acantholimon ulicinum,Random_census1,27,675,3
Jena,Plumbaginaceae,Acantholimon ulicinum,Random_census9,29,105,3
Jena,Plumbaginaceae,Limonium gmelini,Random_census6,32,1300,3
Jena,Polemoniaceae,Phlox paniculata,Random_census6,31,60,3
Jena,Polygonaceae,Fagopyrum esculentum,Random_census3,33,2250,3
Jena,Primulaceae,Lysimachia vulgaris,Random_census5,26,828,3
Jena,Primulaceae,Lysimachia vulgaris,Random_census6,28,120,3
Jena,Primulaceae,Primula denticulata,FocalNA,14,300,15
Jena,Primulaceae,Primula veris,FocalNA,17,175,15
Jena,Primulaceae,Primula veris,FocalNA,18,125,15
Jena,Primulaceae,Primula vulgaris,FocalNA,14,20,15
Jena,Primulaceae,Primula vulgaris,FocalNA,15,15,15
Jena,Ranunculaceae,Anemone hupehensis,FocalNA,28,90,15
Jena,Ranunculaceae,Anemone hupehensis,FocalNA,29,157,15
Jena,Ranunculaceae,Anemone hupehensis,FocalNA,31,130,15
Jena,Ranunculaceae,Anemone hupehensis,FocalNA,32,120,15
Jena,Ranunculaceae,Anemone hupehensis,FocalNA,33,6,15
Jena,Ranunculaceae,Anemone hupehensis,Random_census2,31,120,3
Jena,Ranunculaceae,Aquilegia vulgaris,FocalNA,23,30,15
Jena,Ranunculaceae,Clematis recta,FocalNA,25,1350,15
Jena,Ranunculaceae,Hepatica nobilis,FocalNA,14,100,20
Jena,Ranunculaceae,Hepatica nobilis,FocalNA,18,6,15
Jena,Ranunculaceae,Pulsatilla vulgaris,FocalNA,14,12,15
Jena,Ranunculaceae,Ranunculus ficaria,Random_census2,14,50,3
Jena,Ranunculaceae,Ranunculus sp,Random_census6,18,15,3
Jena,Ranunculaceae,Ranunculus sp,Random_census8,20,15,3
Jena,Ranunculaceae,Ranunculus sp,Random_census9,19,100,3
Jena,Rosaceae,Geum rivale,FocalNA,18,50,15
Jena,Rosaceae,Geum rivale,FocalNA,19,100,15
Jena,Rosaceae,Geum rivale,FocalNA,20,120,15
Jena,Rosaceae,Potentilla fruticosa,Random_census7,33,110,3
Jena,Rosaceae,Rosa spinosissima,Random_census3,21,213,3
Jena,Rosaceae,Spiraea chamaedryfolia,Random_census6,20,3500,3
Jena,Rutaceae,Dictamnus albus,FocalNA,24,144,15
Jena,Saxifragaceae,Bergenia ciliata,Random_census5,15,50,3
Jena,Saxifragaceae,Bergenia purpurascens,FocalNA,15,21,15
Jena,Saxifragaceae,Heuchera villosa,Random_census9,33,1500,3
Jena,Scrophulariaceae,Buddleja davidii,Random_census10,32,120,3
Jena,Scrophulariaceae,Scrophularia versicolor,Random_census5,19,500,3
Jena,Scrophulariaceae,Verbascum phoeniceum,Random_census2,18,750,3
Leipzig,Acanthaceae,Thunbergia alata,Random_census5,34,48,3
Leipzig,Alismataceae,Alisma plantago-aquatica,Random_census10,23,800,3
Leipzig,Alismataceae,Alisma plantago-aquatica,Random_census10,24,800,3
Leipzig,Amaryllidaceae,Allium senescens,Random_census9,31,180,3
Leipzig,Amaryllidaceae,Allium ursinum,FocalNA,19,2250,15
Leipzig,Amaryllidaceae,Allium ursinum,FocalNA,20,385,15
Leipzig,Amaryllidaceae,Allium ursinum,Random_census2,20,500,3
Leipzig,Apiaceae,Ferulago aucheri,Random_census7,26,12000,3
Leipzig,Apiaceae,Ferulago aucheri,Random_census9,25,2600,3
Leipzig,Apiaceae,Ligusticum lucidum,Random_census1,33,6500,3
Leipzig,Apiaceae,Seseli montanum,Random_census9,33,130,3
Leipzig,Apocynaceae,Vinca minor,FocalNA,14,120,15
Leipzig,Apocynaceae,Vinca minor,FocalNA,15,130,15
Leipzig,Apocynaceae,Vinca minor,FocalNA,16,260,15
Leipzig,Apocynaceae,Vinca minor,FocalNA,17,280,15
Leipzig,Apocynaceae,Vinca minor,FocalNA,18,300,15
Leipzig,Apocynaceae,Vinca minor,FocalNA,19,450,15
Leipzig,Apocynaceae,Vinca minor,FocalNA,20,80,15
Leipzig,Apocynaceae,Vinca minor,Random_census3,14,120,5
Leipzig,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,21,380,15
Leipzig,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,22,300,15
Leipzig,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,23,110,15
Leipzig,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,24,110,15
Leipzig,Apocynaceae,Vincetoxicum hirundinaria,FocalNA,25,130,15
Leipzig,Asparagaceae,Anthericum ramosum,FocalNA,26,125,15
Leipzig,Asparagaceae,Anthericum ramosum,FocalNA,27,480,15
Leipzig,Asparagaceae,Anthericum ramosum,FocalNA,28,465,15
Leipzig,Asparagaceae,Anthericum ramosum,FocalNA,29,320,15
Leipzig,Asparagaceae,Convallaria majalis,FocalNA,20,185,15
Leipzig,Asparagaceae,Convallaria majalis,FocalNA,21,120,15
Leipzig,Asparagaceae,Muscari botryoides,Random_census1,14,40,5
Leipzig,Asparagaceae,Muscari botryoides,Random_census1,15,10,3
Leipzig,Asparagaceae,Muscari botryoides,Random_census2,17,9,3
Leipzig,Asparagaceae,Muscari botryoides,Random_census2,18,40,3
Leipzig,Asparagaceae,Muscari botryoides,Random_census3,16,80,3
Leipzig,Asparagaceae,Muscari botryoides,Random_census5,12,250,5
Leipzig,Asparagaceae,Muscari botryoides,Random_census7,15,30,3
Leipzig,Asparagaceae,Muscari botryoides,Random_census8,16,615,3
Leipzig,Asparagaceae,Polygonatum biflorum,Random_census5,19,350,3
Leipzig,Asparagaceae,Polygonatum biflorum,Random_census6,20,660,3
Leipzig,Asparagaceae,Polygonatum biflorum,Random_census7,20,660,3
Leipzig,Asparagaceae,Scilla luciliae,Random_census1,12,1000,5
Leipzig,Asparagaceae,Scilla luciliae,Random_census4,12,5000,5
Leipzig,Asphodelaceae,Hemerocallis dumortieri,FocalNA,23,130,15
Leipzig,Asphodelaceae,Hemerocallis dumortieri,FocalNA,24,150,15
Leipzig,Asteraceae,Achillea filipendulina,Random_census6,26,70,3
Leipzig,Asteraceae,Achillea filipendulina,Random_census7,27,8,3
Leipzig,Asteraceae,Anaphalis margaritacea,Random_census4,32,860,3
Leipzig,Asteraceae,Aster mongolicus,Random_census9,34,195,3
Leipzig,Asteraceae,Bellis perennis,Random_census2,16,60,3
Leipzig,Asteraceae,Carduus sp,Random_census2,26,60,3
Leipzig,Asteraceae,Carlina vulgaris,Random_census1,32,250,3
Leipzig,Asteraceae,Centaurea nigra,Random_census3,32,220,3
Leipzig,Asteraceae,Centaurea sadleriana,Random_census6,31,60,3
Leipzig,Asteraceae,Centaurea scabiosa,Random_census1,29,68,3
Leipzig,Asteraceae,Centaurea scabiosa,Random_census10,33,55,3
Leipzig,Asteraceae,Centaurea scabiosa,Random_census4,26,120,3
Leipzig,Asteraceae,Centaurea scabiosa,Random_census6,27,46,3
Leipzig,Asteraceae,Cichorium intybus,Random_census2,29,56,3
Leipzig,Asteraceae,Cirsium vulgare,Random_census7,32,68,3
Leipzig,Asteraceae,Echinacea angustifolia,Random_census5,33,75,3
Leipzig,Asteraceae,Echinacea angustifolia,Random_census7,29,55,3
Leipzig,Asteraceae,Echinops pungens,Random_census7,31,96,3
Leipzig,Asteraceae,Helichrysum italicum,Random_census7,28,2000,3
Leipzig,Asteraceae,Hieracium murorum,Random_census7,21,50,3
Leipzig,Asteraceae,Hypochaeris maculata,Random_census4,22,30,3
Leipzig,Asteraceae,Inula oculus-christi,Random_census1,27,38,3
Leipzig,Asteraceae,Klasea radiata,Random_census4,31,2200,3
Leipzig,Asteraceae,Leucanthemum vulgare,Random_census2,14,4,3
Leipzig,Asteraceae,Leucanthemum vulgare,Random_census2,22,20,3
Leipzig,Asteraceae,Leucanthemum vulgare,Random_census4,21,30,3
Leipzig,Asteraceae,Leucanthemum vulgare,Random_census5,21,20,3
Leipzig,Asteraceae,Psephellus dealbatus,FocalNA,21,50,15
Leipzig,Asteraceae,Psephellus dealbatus,FocalNA,22,180,15
Leipzig,Asteraceae,Psephellus dealbatus,FocalNA,23,80,15
Leipzig,Asteraceae,Psephellus dealbatus,FocalNA,24,18,15
Leipzig,Asteraceae,Psephellus dealbatus,FocalNA,25,280,15
Leipzig,Asteraceae,Psephellus dealbatus,FocalNA,26,3,15
Leipzig,Asteraceae,Rhaponticoides ruthenica,Random_census8,28,1100,3
Leipzig,Asteraceae,Silphium integrifolium,Random_census3,34,4000,3
Leipzig,Asteraceae,Silphium integrifolium,Random_census4,33,4600,3
Leipzig,Asteraceae,Tanacetum coccineum,Random_census5,22,50,3
Leipzig,Asteraceae,Tanacetum vulgare,FocalNA,28,1600,15
Leipzig,Asteraceae,Tanacetum vulgare,FocalNA,29,6000,15
Leipzig,Asteraceae,Tanacetum vulgare,FocalNA,31,480,15
Leipzig,Asteraceae,Taraxacum officinale,Random_census1,16,50,3
Leipzig,Asteraceae,Taraxacum officinale,Random_census4,17,6,3
Leipzig,Asteraceae,Taraxacum sonchoides,Random_census1,26,98,3
Leipzig,Asteraceae,Tussilago farfara,FocalNA,12,150,10
Leipzig,Asteraceae,Tussilago farfara,FocalNA,14,80,15
Leipzig,Asteraceae,Tussilago farfara,FocalNA,15,70,15
Leipzig,Asteraceae,Tussilago farfara,FocalNA,16,40,15
Leipzig,Asteraceae,Tussilago farfara,FocalNA,17,5,15
Leipzig,Asteraceae,Vernonia fasciculata,Random_census4,34,230,3
Leipzig,Balsaminaceae,Impatiens balsamina,Random_census8,34,76,3
Leipzig,Berberidaceae,Berberis aquifolium,Random_census6,15,800,3
Leipzig,Berberidaceae,Berberis aquifolium,Random_census7,17,800,3
Leipzig,Boraginaceae,Anchusa officinalis,Random_census1,19,130,3
Leipzig,Boraginaceae,Anchusa officinalis,Random_census4,21,80,3
Leipzig,Boraginaceae,Anchusa officinalis,Random_census5,20,240,3
Leipzig,Boraginaceae,Anchusa officinalis,Random_census7,18,55,3
Leipzig,Boraginaceae,Echium vulgare,Random_census1,25,100,3
Leipzig,Boraginaceae,Symphytum bulbosum,Random_census3,19,18,3
Leipzig,Boraginaceae,Symphytum bulbosum,Random_census5,18,350,3
Leipzig,Boraginaceae,Symphytum officinale,Random_census1,21,750,3
Leipzig,Boraginaceae,Symphytum officinale,Random_census1,25,100,3
Leipzig,Boraginaceae,Symphytum officinale,Random_census8,23,625,3
Leipzig,Boraginaceae,Symphytum officinale,Random_census9,22,300,3
Leipzig,Brassicaceae,Aethionema grandiflorum,Random_census9,20,10000,3
Leipzig,Brassicaceae,Aurinia saxatilis,Random_census3,18,120,3
Leipzig,Brassicaceae,Erysimum pulchellum,Random_census9,27,58,3
Leipzig,Brassicaceae,Iberis sempervirens,FocalNA,18,200,15
Leipzig,Brassicaceae,Iberis sempervirens,FocalNA,19,5000,15
Leipzig,Brassicaceae,Iberis sempervirens,FocalNA,21,230,15
Leipzig,Brassicaceae,Iberis sempervirens,Random_census7,16,240,3
Leipzig,Brassicaceae,Iberis sempervirens,Random_census8,19,3000,3
Leipzig,Brassicaceae,Lunaria rediviva,Random_census3,20,220,3
Leipzig,Campanulaceae,Campanula alliariifolia,Random_census3,26,150,3
Leipzig,Campanulaceae,Platycodon grandiflorus,FocalNA,31,180,15
Leipzig,Campanulaceae,Platycodon grandiflorus,FocalNA,32,48,15
Leipzig,Caprifoliaceae,Centranthus ruber,FocalNA,24,750,15
Leipzig,Caprifoliaceae,Centranthus ruber,FocalNA,25,750,15
Leipzig,Caprifoliaceae,Centranthus ruber,FocalNA,26,1250,15
Leipzig,Caprifoliaceae,Centranthus ruber,FocalNA,27,950,15
Leipzig,Caprifoliaceae,Centranthus ruber,FocalNA,29,250,15
Leipzig,Caprifoliaceae,Centranthus ruber,FocalNA,34,85,15
Leipzig,Caprifoliaceae,Cephalaria gigantea,Random_census5,31,58,3
Leipzig,Caprifoliaceae,Cephalaria procera,Random_census1,28,230,3
Leipzig,Caprifoliaceae,Cephalaria uralensis,Random_census10,29,25,3
Leipzig,Caprifoliaceae,Knautia arvensis,Random_census4,21,1200,3
Leipzig,Caprifoliaceae,Knautia arvensis,Random_census5,20,1200,3
Leipzig,Caprifoliaceae,Knautia arvensis,Random_census7,24,1200,3
Leipzig,Caprifoliaceae,Knautia dipsacifolia,Random_census8,21,200,3
Leipzig,Caprifoliaceae,Knautia macedonica,Random_census2,23,4500,3
Leipzig,Caprifoliaceae,Knautia macedonica,Random_census4,25,1750,3
Leipzig,Caprifoliaceae,Lomelosia cretica,Random_census3,27,660,3
Leipzig,Caprifoliaceae,Lomelosia cretica,Random_census9,29,62,3
Leipzig,Caprifoliaceae,Lomelosia olgae,Random_census1,34,65,3
Leipzig,Caprifoliaceae,Lomelosia olgae,Random_census2,32,80,3
Leipzig,Caprifoliaceae,Scabiosa ochroleuca,FocalNA,32,90,15
Leipzig,Caprifoliaceae,Scabiosa ochroleuca,FocalNA,33,136,15
Leipzig,Caprifoliaceae,Scabiosa ochroleuca,FocalNA,34,90,15
Leipzig,Caprifoliaceae,Scabiosa triandra,Random_census9,28,60,3
Leipzig,Caprifoliaceae,Succisa pratensis,Random_census2,34,130,3
Leipzig,Caprifoliaceae,Succisa pratensis,Random_census3,33,86,3
Leipzig,Caprifoliaceae,Succisa pratensis,Random_census4,33,86,3
Leipzig,Caprifoliaceae,Weigela florida,Random_census6,17,180,3
Leipzig,Caprifoliaceae,Weigela florida,Random_census7,17,180,3
Leipzig,Caryophyllaceae,Saponaria sicula,Random_census2,31,1600,3
Leipzig,Caryophyllaceae,Saponaria sicula,Random_census4,28,860,3
Leipzig,Caryophyllaceae,Silene coronaria,FocalNA,26,95,15
Leipzig,Caryophyllaceae,Silene coronaria,FocalNA,27,90,15
Leipzig,Caryophyllaceae,Silene coronaria,Random_census8,27,53,3
Leipzig,Caryophyllaceae,Silene latifolia,Random_census2,22,18,3
Leipzig,Caryophyllaceae,Silene nutans,Random_census8,22,80,3
Leipzig,Caryophyllaceae,Silene schafta,Random_census1,31,1500,3
Leipzig,Caryophyllaceae,Silene viscaria,FocalNA,21,3200,15
Leipzig,Caryophyllaceae,Silene viscaria,FocalNA,22,2500,15
Leipzig,Caryophyllaceae,Silene vulgaris,FocalNA,26,12,15
Leipzig,Caryophyllaceae,Silene vulgaris,FocalNA,27,8,15
