Botanical_garden,Species,Number_unique_spp,Replicate,Method,Time,Date,Floral_unit,Nectar_length_microcap,Opened_florets,Observer,Reference_nectar
Halle,Anemonoides sylvestris,32,2,unbagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
Halle,Anemonoides sylvestris,32,3,unbagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
Jena,Paeonia delavayi,33,1,unbagged,11:00,22/05/2023,flower,144,NA,JB Lanuza & J Naumann,NA
Jena,Paeonia delavayi,33,2,unbagged,11:00,22/05/2023,flower,542,NA,JB Lanuza & J Naumann,NA
Jena,Paeonia delavayi,33,3,unbagged,11:00,22/05/2023,flower,635,NA,JB Lanuza & J Naumann,NA
Jena,Chelidonium majus,34,1,unbagged,12:00,17/05/2023,flower,0,NA,JB Lanuza,NA
Jena,Chelidonium majus,34,2,unbagged,12:00,17/05/2023,flower,0,NA,JB Lanuza,NA
Jena,Chelidonium majus,34,3,unbagged,12:00,17/05/2023,flower,0,NA,JB Lanuza,NA
Jena,Chelidonium majus,34,4,unbagged,12:00,17/05/2023,flower,0,NA,JB Lanuza,NA
Jena,Chelidonium majus,34,5,unbagged,12:00,17/05/2023,flower,0,NA,JB Lanuza,NA
Jena,Asphodelus albus,35,1,unbagged,17:00,17/05/2023,flower,3.91,NA,JB Lanuza,NA
Jena,Asphodelus albus,35,2,unbagged,17:00,17/05/2023,flower,9.2,NA,JB Lanuza,NA
Jena,Asphodelus albus,35,3,unbagged,17:00,17/05/2023,flower,6.43,NA,JB Lanuza,NA
Jena,Asphodelus albus,35,4,unbagged,17:00,17/05/2023,flower,7.52,NA,JB Lanuza,NA
Jena,Asphodelus albus,35,5,unbagged,17:00,17/05/2023,flower,14.69,NA,JB Lanuza,NA
Jena,Linum perenne,36,1,bagged,12:00,17/05/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Jena,Linum perenne,36,2,bagged,12:00,17/05/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Jena,Linum perenne,36,3,bagged,12:00,17/05/2023,flower,0,NA,JB Lanuza & J Naumann,NA
Leipzig,Geranium sanguineum,37,1,bagged,12:30,31/05/2023,flower,1.46,NA,JB Lanuza & J Naumann,NA
Leipzig,Geranium sanguineum,37,2,bagged,12:30,31/05/2023,flower,2.27,NA,JB Lanuza & J Naumann,NA
Leipzig,Geranium sanguineum,37,3,bagged,12:30,31/05/2023,flower,0.91,NA,JB Lanuza & J Naumann,NA
Leipzig,Convallaria majalis,38,1,unbagged,14:00,25/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Convallaria majalis,38,2,unbagged,14:00,25/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Convallaria majalis,38,3,unbagged,14:00,25/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Convallaria majalis,38,4,unbagged,14:00,25/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Convallaria majalis,38,5,unbagged,14:00,25/05/2023,flower,0,NA,JB Lanuza,NA
Halle,Aconitum lycoctonum,39,1,bagged,14:00,26/05/2023,flower,66.88,NA,JB Lanuza,NA
Halle,Aconitum lycoctonum,39,2,bagged,14:00,26/05/2023,flower,35.02,NA,JB Lanuza,NA
Halle,Aconitum lycoctonum,39,3,bagged,14:00,26/05/2023,flower,24.44,NA,JB Lanuza,NA
Halle,Dictamnus albus,40,1,bagged,14:00,02/06/2023,flower,162.71,NA,JB Lanuza,NA
Halle,Dictamnus albus,40,2,bagged,14:00,02/06/2023,flower,197.35,NA,JB Lanuza,NA
Halle,Persicaria bistorta,41,1,bagged,12:00,26/05/2023,flower,0.95,NA,JB Lanuza,NA
Halle,Persicaria bistorta,41,2,bagged,12:00,26/05/2023,flower,0.3,NA,JB Lanuza,NA
Halle,Persicaria bistorta,41,3,bagged,12:00,26/05/2023,flower,1.26,NA,JB Lanuza,NA
Halle,Persicaria bistorta,41,4,bagged,12:00,26/05/2023,flower,1.15,NA,JB Lanuza,NA
Halle,Persicaria bistorta,41,5,bagged,12:00,26/05/2023,flower,0.95,NA,JB Lanuza,NA
Jena,Vincetoxicum hirundinaria,42,1,bagged,12:30,05/06/2023,flower,1.93,NA,JB Lanuza & J Naumann,NA
Jena,Vincetoxicum hirundinaria,42,2,bagged,12:30,05/06/2023,flower,4.05,NA,JB Lanuza & J Naumann,NA
Jena,Vincetoxicum hirundinaria,42,3,bagged,12:30,05/06/2023,flower,3.83,NA,JB Lanuza & J Naumann,NA
Leipzig,Helianthemum nummularium,43,1,bagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Helianthemum nummularium,43,2,bagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Helianthemum nummularium,43,3,bagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Helianthemum nummularium,43,4,bagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Helianthemum nummularium,43,5,bagged,12:00,30/05/2023,flower,0,NA,JB Lanuza,NA
Halle,Salvia officinalis,44,1,bagged,16:00,02/06/2023,flower,25.40,NA,JB Lanuza,NA
Halle,Salvia officinalis,44,2,bagged,16:00,02/06/2023,flower,10.98,NA,JB Lanuza,NA
Halle,Salvia officinalis,44,3,bagged,16:00,02/06/2023,flower,28.18,NA,JB Lanuza,NA
Halle,Lotus corniculatus,45,1,bagged,17:00,02/06/2023,flower,3.56,NA,JB Lanuza,NA
Halle,Lotus corniculatus,45,2,bagged,17:00,02/06/2023,flower,2.29,NA,JB Lanuza,NA
Halle,Lotus corniculatus,45,3,bagged,17:00,02/06/2023,flower,10.33,NA,JB Lanuza,NA
Jena,Campanula rotundifolia,46,3,unbagged,10:30,05/06/2023,flower,2.51,NA,JB Lanuza,NA
Jena,Campanula rotundifolia,46,3,unbagged,10:30,05/06/2023,flower,5.86,NA,JB Lanuza,NA
Jena,Campanula rotundifolia,46,3,unbagged,10:30,05/06/2023,flower,3.65,NA,JB Lanuza,NA
Jena,Lotus maritimus,47,1,unbagged,16:00,12/06/2023,flower,102,NA,JB Lanuza,NA
Jena,Lotus maritimus,47,2,unbagged,16:00,12/06/2023,flower,28,NA,JB Lanuza,NA
Jena,Lotus maritimus,47,3,unbagged,16:00,12/06/2023,flower,128,NA,JB Lanuza,NA
Halle,Gratiola officinalis,48,1,bagged,15:00,06/06/2023,flower,4.93,NA,JB Lanuza,NA
Halle,Gratiola officinalis,48,2,bagged,15:00,06/06/2023,flower,9.36,NA,JB Lanuza,NA
Halle,Gratiola officinalis,48,3,bagged,15:00,06/06/2023,flower,11.38,NA,JB Lanuza,NA
Halle,Solanum dulcamara,49,1,bagged,16:00,08/08/2023,flower,0,NA,JB Lanuza,NA
Halle,Solanum dulcamara,49,2,bagged,16:00,08/08/2023,flower,0,NA,JB Lanuza,NA
Halle,Solanum dulcamara,49,3,bagged,16:00,08/08/2023,flower,0,NA,JB Lanuza,NA
Leipzig,Hemerocallis dumortieri,50,1,bagged,16:00,14/06/2023,flower,32.81,NA,JB Lanuza,NA
Leipzig,Hemerocallis dumortieri,50,2,bagged,16:00,14/06/2023,flower,68.77,NA,JB Lanuza,NA
Leipzig,Hemerocallis dumortieri,50,3,bagged,16:00,14/06/2023,flower,84,NA,JB Lanuza,NA
