Botanical_garden,Species,Number_unique_spp,Plant_height_mm,Info,Flower_number,Flower_inflorescence,Flower_width,Flower_length,Floral_tube_length,Floral_tube_width,Flower_colour,Symmetry,Flower_shape,Flower_orientation,Flowering_start,Flowering_end,Flower_life_start,Flower_life_end,Flower_life_span_days,Flower_life_span_days_ref,Pistil_number,Pistil_length,Style_length,Ovary_length,Stigma_length,Stamen_number,Stamen_length,Filament_length,Anther_length,Herkogamy_above,Herkogamy_length,Herkogamy_width,Ovule_number/flower,Ovule_number/floral_unit,Ovule_length,Ovule_width,Ovule_image,Ovule_ref
Jena,Silene nutans,55,450,Flower,NA,NA,NA,NA,NA,NA,white,Actinomorphic,tubular,Horizontal-Upward,28/05/2023,10/06/2023,06/06/2023,08/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Jena,Silene nutans,55,450,Flower,NA,NA,NA,NA,NA,NA,white,Actinomorphic,tubular,Horizontal-Upward,28/05/2023,10/06/2023,06/06/2023,08/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Halle,Hypericum perforatum,56,670,Flower,528,9,24.70,5.7,0,24.70,yellow,Actinomorphic,dish,Horizontal-Upward,10/05/2023,15/07/2023,28/06/2023,29/06/2023,to_calculate,NA,1,7.1,5.5,2.79,0.2,43,9.51,8.95,0.56,none,0.3,0.2,132,132,0.25,0.15,https://www.dropbox.com/scl/fi/ypls3uwek4z5cwd3uba9i/HYPE.JPG?rlkey=ovoe34hrkx9ktywudn5gjpsy1&dl=0,NA
Halle,Hypericum perforatum,56,NA,Flower,NA,NA,NA,NA,NA,NA,yellow,Actinomorphic,dish,Horizontal-Upward,10/05/2023,15/07/2023,28/06/2023,29/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.1,NA,NA
Halle,Hypericum perforatum,56,NA,Flower,NA,NA,NA,NA,NA,NA,yellow,Actinomorphic,dish,Horizontal-Upward,10/05/2023,15/07/2023,28/06/2023,29/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Hypericum olympicum,57,330,Flower,537,4,33,17,0,33,yellow,Actinomorphic,dish,Horizontal-Upward,31/05/2023,12/07/2023,20/05/2023,21/05/2023,to_calculate,NA,1,21,20.92,3.12,0.8,80,21.95,20.99,0.56,none,4,2.65,198,198,0.4,0.16,https://www.dropbox.com/scl/fi/ioaar7wemht4htx6sdgoy/HYOL.JPG?rlkey=turqb2c9vvwallxos8n1hallp&dl=0,NA
Leipzig,Hypericum olympicum,57,NA,Flower,NA,NA,NA,NA,NA,NA,yellow,Actinomorphic,dish,Horizontal-Upward,31/05/2023,12/07/2023,20/05/2023,21/05/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Hypericum olympicum,57,NA,Flower,NA,NA,NA,NA,NA,NA,yellow,Actinomorphic,dish,Horizontal-Upward,31/05/2023,12/07/2023,20/05/2023,21/05/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Clematis recta,58,1200,Flower,1500,30,16.25,1.8,0,16.25,white,Actinomorphic,dish,Upward,07/06/2023,01/07/2023,20/06/2023,29/06/2023,to_calculate,NA,6,4.81,3.3,0.7,0.9,33,6.22,4.1,2.12,none,0,0,10,10,0.25,0.2,https://www.dropbox.com/scl/fi/63lvl5jh3cyeb69zjyaya/CLRE.JPG?rlkey=r8po34ugug3s07ij07yerrjdr&dl=0,NA
Jena,Clematis recta,58,NA,Flower,NA,NA,NA,NA,NA,NA,white,Actinomorphic,dish,Upward,07/06/2023,01/07/2023,20/06/2023,29/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Clematis recta,58,NA,Flower,NA,NA,NA,NA,NA,NA,white,Actinomorphic,dish,Upward,07/06/2023,01/07/2023,20/06/2023,29/06/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
