Botanical_garden,Species,Number_unique_spp,Plant_height_mm,Info,Flower_number,Flower_inflorescence,Flower_width,Flower_length,Floral_tube_length,Floral_tube_width,Flower_colour,Symmetry,Flower_shape,Flower_orientation,Flowering_start,Flowering_end,Flower_life_start,Flower_life_end,Flower_life_span_days,Flower_life_span_days_ref,Pistil_number,Pistil_length,Style_length,Ovary_length,Stigma_length,Stamen_number,Stamen_length,Filament_length,Anther_length,Herkogamy_above,Herkogamy_length,Herkogamy_width,Ovule_number/flower,Ovule_number/floral_unit,Ovule_length,Ovule_width,Ovule_image,Ovule_ref
Leipzig,Anemone hupehensis ,70,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Actinomorphic,dish,Horizontal-Upward,28/06/2023,NA,06/07/2023,11/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Anemone hupehensis ,70,NA,Flower,NA,NA,NA,NA,NA,NA,pink,Actinomorphic,dish,Horizontal-Upward,28/06/2023,NA,06/07/2023,11/07/2023,to_calculate,NA,NA,NA,NA, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Galega officinalis,71,730,Flower,1020,6,8.58,10.87,3.49,1.2,white,Zygomorphic,papilionaceus,Horizontal,17/06/2023,NA,19/07/2023,23/07/2023,to_calculate,NA,1,9.08,2.73,6.35,0.2,6,9.08,8.88,0.2,none,0,1.4,7,7,0.4,0.2,https://www.dropbox.com/scl/fi/zyizwgj81sdx8bez38euq/GAOF.JPG?rlkey=9zzgx8c7teimszzt2zqekknc7&dl=0,NA
Jena,Galega officinalis,71,NA,Flower,NA,NA,NA,NA,NA,NA,white,Zygomorphic,papilionaceus,Horizontal,17/06/2023,NA,20/07/2023,24/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0.5,0.3,NA,NA
Jena,Galega officinalis,71,NA,Flower,NA,NA,NA,NA,NA,NA,white,Zygomorphic,papilionaceus,Horizontal,17/06/2023,NA,20/07/2023,24/07/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.3,NA,NA
Halle,Platycodon grandiflorus,72,940,Flower,300,7,65.99,46.03,0,65.99,white-blue,Actinomorphic,bowl,Horizontal,26/06/2023,NA,9/08/2023,13/08/2023,to_calculate,NA,1,22.03,12.11,7.64,2.15,5,14.66,7.51,7.72,stigma,2.80,0,300,300,0.5,0.3,https://www.dropbox.com/scl/fi/cch3lihabta0ni156h2di/PLGR.JPG?rlkey=h5blwcy52p9c7nvmu7bjbabjl&dl=0,NA
Halle,Platycodon grandiflorus,72,NA,Flower,NA,NA,NA,NA,NA,NA,white-blue,Actinomorphic,bowl,Horizontal,26/06/2023,NA,9/08/2023,14/08/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Platycodon grandiflorus,72,NA,Flower,NA,NA,NA,NA,NA,NA,white-blue,Actinomorphic,bowl,Horizontal,26/06/2023,NA,NA,NA,to_calculate,NA,NA,NA,N A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jena,Betonica officinalis,73,860,Flower,510,85,9.71,17.09,10.7,2.14,purple,Zygomorphic,tubular,Horizontal,08/07/2023,NA,21/07/2023,28/07/2023,to_calculate,NA,1,15.19,13.79,0.6,0.83,4,4.84,3.94,0.9,stigma,0.6,1,4,4,0.5,0.4,https://www.dropbox.com/scl/fi/ma4o2mmud7orm4bp94ckn/BEOF.JPG?rlkey=wd303ty2kcbt9u95kab2pu2ys&dl=0,NA
Jena,Betonica officinalis,73,NA,Flower,NA,NA,NA,NA,NA,NA,NA,Zygomorphic,tubular,Horizontal,08/07/2023,NA,21/07/2023,28/07/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0.5,0.5,NA,NA
Jena,Betonica officinalis,73,NA,Flower,NA,NA,NA,NA,NA,NA,NA,Zygomorphic,tubular,Horizontal,08/07/2023,NA,21/07/2023,28/07/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
Jena,Origanum vulgare,74,560,Flower,1000,75,6.42,6.02,5.5,0.83,white-pink,Zygomorphic,tubular,Horizontal-Upward,28/06/2023,NA,20/07/2023,24/07/2023,to_calculate,NA,1,9.56,7.5,0.2,0.2,4,4,3.4,0.6,none,0,1.49,4,4,0.2,0.1,https://www.dropbox.com/scl/fi/rjeg4cwjn7oozmmtcdvdb/ORVU.JPG?rlkey=s5a2gwra6l7viyqrhvvghtxq1&dl=0,NA
Jena,Origanum vulgare,74,NA,Flower,NA,NA,NA,NA,NA,NA,NA,Zygomorphic,tubular,Horizontal-Upward,28/06/2023,NA,20/07/2023,24/07/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
Jena,Origanum vulgare,74,NA,Flower,NA,NA,NA,NA,NA,NA,NA,Zygomorphic,tubular,Horizontal-Upward,28/06/2023,NA,20/07/2023,24/07/2023,to_calculate,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
Jena,Achillea millefolium,75,660,Capitulum,200,100,4.99,4.75,3,0.5,white,Actinomorphic,tubular,Upward,NA,NA,18/07/2023,13/08/2023,to_calculate,NA,25,4.2,3.5,0.5,0.2,5,1.4,0.3,1.1,none,0,0,1,25,0.9,0.4,https://www.dropbox.com/scl/fi/vevgff8ngibr4rs5pqpvx/ACMI.JPG?rlkey=7k6z509hlvpktxpolau5lo6vk&dl=0,NA
Jena,Achillea millefolium,75,NA,Capitulum,NA,NA,NA,NA,NA,NA,NA,Actinomorphic,tubular,Upward,NA,NA,18/07/2023,13/08/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,NA,NA
Jena,Achillea millefolium,75,NA,Capitulum,NA,NA,NA,NA,NA,NA,NA,Actinomorphic,tubular,Upward,NA,NA,18/07/2023,16/08/2023,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Tanacetum vulgare,76,1000,Capitulum,500,35,9.5,7,3,1.2,yellow,Actinomorphic,capitulum,Upward,NA,NA,,,to_calculate,NA,279,6,3.5,2.5,1.5,5,2,0.5,1.5,none,0,0,1,279,1.2,0.6,https://www.dropbox.com/scl/fi/die2yarlpu54rhj9na61w/TAVU.JPG?rlkey=3h1ycuqh3fo8d9tvfc20ei20y&dl=0,NA
Halle,Tanacetum vulgare,76,NA,Capitulum,NA,NA,NA,NA,NA,NA,yellow,Actinomorphic,capitulum,Upward,NA,NA,,,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Tanacetum vulgare,76,NA,Capitulum,NA,NA,NA,NA,NA,NA,yellow,Actinomorphic,capitulum,Upward,NA,NA,,,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Leucanthemum vulgare,77,900,Capitulum,140,1,40,7,2.5,0.7,white and yellow,Actinomorphic,capitulum,Upward,NA,NA,,,to_calculate,NA,260,3,1.7,1.2,0.1,5,2,1,1,anther,0.3,0,1,260,0.5,0.3,https://www.dropbox.com/scl/fi/xyzsbaqgfnsqovcx475oe/LEVU.JPG?rlkey=wls48xsg9m38mgsxa1hps75mh&dl=0,NA
Halle,Leucanthemum vulgare,77,NA,Capitulum,NA,NA,NA,NA,NA,NA,white and yellow,Actinomorphic,capitulum,Upward,NA,NA,,,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halle,Leucanthemum vulgare,77,NA,Capitulum,NA,NA,NA,NA,NA,NA,white and yellow,Actinomorphic,capitulum,Upward,NA,NA,,,to_calculate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leipzig,Scabiosa ochroleuca,78,840,Capitulum,126,28,28.90,10.67,10.51,1.59,white yellowish,Actinomorphic,capitulum,Upward,NA,NA,09/09/2023,,to_calculate,NA,27,6.39,4.72,0.76,0.91,4,10.68,8.63,2.05,anther,4.28,0.48,1,27,0.9,0.5,https://www.dropbox.com/scl/fi/le4536mstlc6g4ghdc21c/SCOC.JPG?rlkey=h4icrxhmoradickjlyi8zg80d&dl=0,NA
Leipzig,Scabiosa ochroleuca,78,750,Capitulum,145,38,24.58,13.13,13.25,3.16,white yellowish,Actinomorphic,capitulum,Upward,NA,NA,09/09/2023,,to_calculate,NA,NA,5.98,4.63,0.7,0.65,4,12.03,10.08,1.95,anther,5.64,0.74,NA,NA,NA,NA,NA,NA
Leipzig,Scabiosa ochroleuca,78,830,Capitulum,109,36,17.24,13.25,7.88,0.78,white yellowish,Actinomorphic,capitulum,Upward,NA,NA,09/09/2023,,to_calculate,NA,NA,NA,NA,NA,NA,4,12.08,10.24,1.84,anther,NA,NA,NA,NA,NA,NA,NA,NA
