Garden,Date,Doy,Species,Initial vegetative growth,Young leaves unfolding,Flowers opening,Flowering intensity,Ripe fruits,Senescence,Senescence intensity,Maintenance,Remarks
Halle,06.01.2023,6,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,06.01.2023,6,Lathyrus vernus,y,y,no,,no,no,,,
Halle,06.01.2023,6,Trollius europaeus,no,no,no,,no,no,,,
Halle,06.01.2023,6,Anemone hupenhensis,no,no,no,,y,y,100,,
Halle,06.01.2023,6,Carex sylvatica,no,y,no,,no,y,5,,
Halle,06.01.2023,6,Anemone nemorosa,no,no,no,,no,no,,,
Halle,06.01.2023,6,Corydalis solida,no,no,no,,no,no,,,
Halle,06.01.2023,6,Hepatica transsilvanica,no,no,no,,no,y,30,covered natural,
Halle,06.01.2023,6,Arum italicum,no,y,no,,no,no,,,
Halle,06.01.2023,6,Hepatica nobilis,no,no,no,,no,no,,,
Halle,06.01.2023,6,Asarum europaeum,no,no,no,,no,no,,covered natural,
Halle,06.01.2023,6,Polygonatum multiflorum,no,no,no,,no,no,,,
Halle,06.01.2023,6,Convallaria majalis,no,no,no,,no,no,,,
Halle,06.01.2023,6,Leucojum vernum,no,no,no,,no,no,,,
Halle,06.01.2023,6,Crocus speciosus,y,y,no,,no,no,,,
Halle,06.01.2023,6,Fragaria vesca,no,y,no,,no,y,30,covered natural,
Halle,06.01.2023,6,Leucojum aestivum,no,no,no,,no,no,,,
Halle,06.01.2023,6,Galanthus ikariae,y,y,no,,no,no,,,
Halle,06.01.2023,6,Colchicum autumnale,no,no,no,,no,no,,,
Halle,06.01.2023,6,Galanthus plicatus,y,y,no,,no,no,,,
Halle,10.01.2023,10,Podophyllum peltatum,y,no,no,,no,no,,,
Halle,10.01.2023,10,Lathyrus vernus,y,y,no,,no,no,,,
Halle,10.01.2023,10,Trollius europaeus,no,no,no,,no,no,,,
Halle,10.01.2023,10,Anemone hupenhensis,no,no,no,,no,no,,,
Halle,10.01.2023,10,Carex sylvatica,no,y,no,,no,y,5,,
Halle,10.01.2023,10,Anemone nemorosa,no,no,no,,no,no,,,
Halle,10.01.2023,10,Corydalis solida,no,no,no,,no,no,,,
Halle,10.01.2023,10,Hepatica transsilvanica,no,no,no,,no,y,30,,
